day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00001
114,0.00002
115,0.00005
116,0.00011
117,0.00024
118,0.00047
119,0.00087
120,0.00151
121,0.00247
122,0.00381
123,0.00555
124,0.00876
125,0.01217
126,0.01417
127,0.01564
128,0.01638
129,0.01634
130,0.01559
131,0.01426
132,0.01253
133,0.01060
134,0.00865
135,0.00681
136,0.00519
137,0.00389
138,0.00300
139,0.00259
140,0.00279
141,0.00374
142,0.00564
143,0.00871
144,0.01318
145,0.01925
146,0.02686
147,0.03592
148,0.04623
149,0.05763
150,0.07006
151,0.08365
152,0.09876
153,0.11589
154,0.13553
155,0.15792
156,0.18291
157,0.20980
158,0.23751
159,0.26484
160,0.30359
161,0.34159
162,0.36975
163,0.40321
164,0.44401
165,0.49302
166,0.54969
167,0.61212
168,0.67748
169,0.74257
170,0.80430
171,0.86006
172,0.90792
173,0.94653
174,0.97506
175,0.99300
176,1.00000
177,0.99582
178,0.97997
179,0.95276
180,0.91563
181,0.87075
182,0.82143
183,0.77187
184,0.72652
185,0.68935
186,0.66307
187,0.64872
188,0.64558
189,0.65157
190,0.66391
191,0.67983
192,0.69716
193,0.71454
194,0.73127
195,0.75347
196,0.76964
197,0.77331
198,0.76924
199,0.75643
200,0.73537
201,0.70824
202,0.67864
203,0.65088
204,0.62903
205,0.61606
206,0.61318
207,0.61972
208,0.63339
209,0.65100
210,0.66919
211,0.68520
212,0.69712
213,0.70473
214,0.70872
215,0.71020
216,0.71022
217,0.70950
218,0.70829
219,0.70648
220,0.70386
221,0.70036
222,0.69618
223,0.69186
224,0.68805
225,0.68528
226,0.68368
227,0.68285
228,0.68190
229,0.67966
230,0.67509
231,0.66289
232,0.64579
233,0.63175
234,0.61598
235,0.59845
236,0.57911
237,0.55823
238,0.53657
239,0.51543
240,0.49642
241,0.48104
242,0.47033
243,0.46457
244,0.46325
245,0.46525
246,0.46906
247,0.47303
248,0.47593
249,0.47683
250,0.47522
251,0.47107
252,0.46481
253,0.45733
254,0.44980
255,0.44335
256,0.43873
257,0.43592
258,0.43403
259,0.43136
260,0.42583
261,0.41553
262,0.39923
263,0.37658
264,0.34899
265,0.31858
266,0.27288
267,0.23164
268,0.20886
269,0.18986
270,0.17425
271,0.16138
272,0.15062
273,0.14142
274,0.13337
275,0.12610
276,0.11930
277,0.11266
278,0.10592
279,0.09886
280,0.09143
281,0.08366
282,0.07567
283,0.06757
284,0.05950
285,0.05158
286,0.04398
287,0.03685
288,0.03036
289,0.02464
290,0.01974
291,0.01565
292,0.01230
293,0.00958
294,0.00737
295,0.00561
296,0.00424
297,0.00326
298,0.00266
299,0.00243
300,0.00253
301,0.00289
302,0.00372
303,0.00450
304,0.00479
305,0.00480
306,0.00453
307,0.00400
308,0.00332
309,0.00258
310,0.00188
311,0.00128
312,0.00081
313,0.00049
314,0.00028
315,0.00015
316,0.00007
317,0.00003
318,0.00002
319,0.00001
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
