day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00009
5,0.00020
6,0.00038
7,0.00066
8,0.00100
9,0.00137
10,0.00168
11,0.00183
12,0.00180
13,0.00158
14,0.00124
15,0.00087
16,0.00054
17,0.00030
18,0.00011
19,0.00003
20,0.00001
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00001
75,0.00004
76,0.00009
77,0.00020
78,0.00038
79,0.00065
80,0.00099
81,0.00136
82,0.00167
83,0.00184
84,0.00184
85,0.00167
86,0.00144
87,0.00126
88,0.00127
89,0.00177
90,0.00268
91,0.00338
92,0.00401
93,0.00451
94,0.00487
95,0.00510
96,0.00522
97,0.00519
98,0.00499
99,0.00464
100,0.00419
101,0.00370
102,0.00323
103,0.00282
104,0.00249
105,0.00230
106,0.00231
107,0.00254
108,0.00297
109,0.00346
110,0.00381
111,0.00390
112,0.00370
113,0.00333
114,0.00295
115,0.00266
116,0.00246
117,0.00228
118,0.00208
119,0.00186
120,0.00173
121,0.00185
122,0.00239
123,0.00345
124,0.00599
125,0.00896
126,0.01077
127,0.01215
128,0.01304
129,0.01350
130,0.01365
131,0.01361
132,0.01349
133,0.01345
134,0.01371
135,0.01448
136,0.01580
137,0.01754
138,0.01951
139,0.02166
140,0.02422
141,0.02759
142,0.03214
143,0.03787
144,0.04446
145,0.05148
146,0.05883
147,0.06696
148,0.07680
149,0.08945
150,0.10568
151,0.12569
152,0.14911
153,0.17523
154,0.20346
155,0.23365
156,0.26646
157,0.30318
158,0.34485
159,0.39177
160,0.46926
161,0.54720
162,0.59508
163,0.63876
164,0.67975
165,0.72072
166,0.76380
167,0.80906
168,0.85400
169,0.89442
170,0.92641
171,0.94831
172,0.96162
173,0.97011
174,0.97770
175,0.98617
176,0.99447
177,0.99991
178,1.00000
179,0.99386
180,0.98171
181,0.96329
182,0.93785
183,0.90494
184,0.86539
185,0.82164
186,0.77717
187,0.73551
188,0.69934
189,0.66982
190,0.64658
191,0.62814
192,0.61281
193,0.59940
194,0.58753
195,0.57318
196,0.56226
197,0.55667
198,0.55170
199,0.54680
200,0.54121
201,0.53408
202,0.52501
203,0.51439
204,0.50343
205,0.49349
206,0.48540
207,0.47908
208,0.47378
209,0.46857
210,0.46270
211,0.45563
212,0.44689
213,0.43605
214,0.42295
215,0.40805
216,0.39253
217,0.37793
218,0.36543
219,0.35520
220,0.34641
221,0.33787
222,0.32903
223,0.32069
224,0.31456
225,0.31201
226,0.31323
227,0.31736
228,0.32311
229,0.32953
230,0.33616
231,0.34537
232,0.35175
233,0.35245
234,0.34995
235,0.34486
236,0.33838
237,0.33167
238,0.32534
239,0.31935
240,0.31326
241,0.30655
242,0.29884
243,0.28997
244,0.28016
245,0.27029
246,0.26187
247,0.25633
248,0.25432
249,0.25532
250,0.25785
251,0.26008
252,0.26049
253,0.25816
254,0.25282
255,0.24471
256,0.23439
257,0.22260
258,0.21013
259,0.19767
260,0.18564
261,0.17412
262,0.16279
263,0.15107
264,0.13842
265,0.12467
266,0.10314
267,0.08322
268,0.07229
269,0.06321
270,0.05553
271,0.04884
272,0.04303
273,0.03826
274,0.03470
275,0.03238
276,0.03106
277,0.03042
278,0.03018
279,0.03020
280,0.03045
281,0.03091
282,0.03141
283,0.03170
284,0.03142
285,0.03035
286,0.02850
287,0.02613
288,0.02364
289,0.02137
290,0.01939
291,0.01758
292,0.01582
293,0.01408
294,0.01252
295,0.01131
296,0.01057
297,0.01030
298,0.01036
299,0.01060
300,0.01083
301,0.01095
302,0.01071
303,0.01006
304,0.00949
305,0.00891
306,0.00837
307,0.00779
308,0.00705
309,0.00606
310,0.00485
311,0.00356
312,0.00241
313,0.00154
314,0.00102
315,0.00084
316,0.00094
317,0.00123
318,0.00160
319,0.00197
320,0.00226
321,0.00245
322,0.00255
323,0.00256
324,0.00251
325,0.00239
326,0.00222
327,0.00203
328,0.00189
329,0.00185
330,0.00194
331,0.00212
332,0.00232
333,0.00248
334,0.00258
335,0.00264
336,0.00267
337,0.00269
338,0.00267
339,0.00263
340,0.00255
341,0.00241
342,0.00218
343,0.00184
344,0.00143
345,0.00102
346,0.00065
347,0.00038
348,0.00019
349,0.00009
350,0.00004
351,0.00001
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00001
358,0.00004
359,0.00000
360,0.00000
