day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.02154
5,0.02046
6,0.01933
7,0.01826
8,0.01730
9,0.01648
10,0.01579
11,0.01517
12,0.01453
13,0.01382
14,0.01304
15,0.01218
16,0.01129
17,0.01042
18,0.00920
19,0.00806
20,0.00731
21,0.00651
22,0.00565
23,0.00475
24,0.00383
25,0.00295
26,0.00216
27,0.00151
28,0.00101
29,0.00066
30,0.00044
31,0.00034
32,0.00032
33,0.00039
34,0.00052
35,0.00070
36,0.00091
37,0.00113
38,0.00135
39,0.00153
40,0.00166
41,0.00173
42,0.00173
43,0.00168
44,0.00158
45,0.00146
46,0.00136
47,0.00128
48,0.00123
49,0.00121
50,0.00122
51,0.00122
52,0.00123
53,0.00127
54,0.00136
55,0.00148
56,0.00163
57,0.00179
58,0.00194
59,0.00202
60,0.00201
61,0.00189
62,0.00170
63,0.00145
64,0.00121
65,0.00100
66,0.00086
67,0.00080
68,0.00080
69,0.00085
70,0.00092
71,0.00098
72,0.00100
73,0.00098
74,0.00092
75,0.00084
76,0.00076
77,0.00071
78,0.00071
79,0.00075
80,0.00082
81,0.00092
82,0.00101
83,0.00109
84,0.00115
85,0.00120
86,0.00128
87,0.00140
88,0.00160
89,0.00203
90,0.00255
91,0.00289
92,0.00318
93,0.00341
94,0.00358
95,0.00376
96,0.00401
97,0.00436
98,0.00484
99,0.00543
100,0.00609
101,0.00678
102,0.00745
103,0.00812
104,0.00881
105,0.00961
106,0.01062
107,0.01195
108,0.01371
109,0.01600
110,0.01894
111,0.02271
112,0.02747
113,0.03339
114,0.04062
115,0.04927
116,0.05940
117,0.07093
118,0.08373
119,0.09757
120,0.11214
121,0.12709
122,0.14205
123,0.15667
124,0.17736
125,0.19670
126,0.20897
127,0.22118
128,0.23375
129,0.24694
130,0.26083
131,0.27538
132,0.29042
133,0.30582
134,0.32151
135,0.33757
136,0.35420
137,0.37162
138,0.39005
139,0.40956
140,0.43007
141,0.45134
142,0.47301
143,0.49475
144,0.51642
145,0.53817
146,0.56051
147,0.58417
148,0.60989
149,0.63824
150,0.66944
151,0.70335
152,0.73946
153,0.77699
154,0.81507
155,0.85275
156,0.88906
157,0.92292
158,0.95303
159,0.97777
160,0.99927
161,1.00000
162,0.98534
163,0.96084
164,0.92934
165,0.89456
166,0.86021
167,0.82914
168,0.80275
169,0.78083
170,0.76193
171,0.74393
172,0.72479
173,0.70301
174,0.67797
175,0.64976
176,0.61901
177,0.58647
178,0.55278
179,0.51833
180,0.48340
181,0.44825
182,0.41343
183,0.37977
184,0.34847
185,0.32081
186,0.29801
187,0.28093
188,0.26989
189,0.26454
190,0.26396
191,0.26678
192,0.27147
193,0.27662
194,0.28106
195,0.28449
196,0.28397
197,0.28105
198,0.27637
199,0.27014
200,0.26260
201,0.25407
202,0.24490
203,0.23555
204,0.22654
205,0.21840
206,0.21169
207,0.20685
208,0.20417
209,0.20373
210,0.20537
211,0.20867
212,0.21301
213,0.21748
214,0.22128
215,0.22375
216,0.22445
217,0.22328
218,0.22042
219,0.21630
220,0.21150
221,0.20664
222,0.20229
223,0.19885
224,0.19652
225,0.19528
226,0.19490
227,0.19503
228,0.19530
229,0.19537
230,0.19504
231,0.19368
232,0.19160
233,0.18991
234,0.18814
235,0.18646
236,0.18507
237,0.18419
238,0.18397
239,0.18451
240,0.18581
241,0.18780
242,0.19039
243,0.19353
244,0.19723
245,0.20154
246,0.20650
247,0.21194
248,0.21751
249,0.22265
250,0.22668
251,0.22894
252,0.22899
253,0.22672
254,0.22244
255,0.21681
256,0.21072
257,0.20504
258,0.20045
259,0.19723
260,0.19527
261,0.19409
262,0.19302
263,0.19135
264,0.18857
265,0.18449
266,0.17595
267,0.16573
268,0.15852
269,0.15166
270,0.14564
271,0.14087
272,0.13756
273,0.13567
274,0.13489
275,0.13473
276,0.13467
277,0.13439
278,0.13391
279,0.13363
280,0.13413
281,0.13585
282,0.13882
283,0.14260
284,0.14639
285,0.14923
286,0.15027
287,0.14903
288,0.14547
289,0.13999
290,0.13333
291,0.12632
292,0.11973
293,0.11410
294,0.10969
295,0.10645
296,0.10414
297,0.10236
298,0.10074
299,0.09904
300,0.09717
301,0.09513
302,0.09204
303,0.08927
304,0.08784
305,0.08678
306,0.08598
307,0.08525
308,0.08427
309,0.08270
310,0.08023
311,0.07672
312,0.07221
313,0.06693
314,0.06140
315,0.05609
316,0.05145
317,0.04784
318,0.04547
319,0.04441
320,0.04459
321,0.04576
322,0.04754
323,0.04946
324,0.05101
325,0.05176
326,0.05145
327,0.05003
328,0.04766
329,0.04468
330,0.04144
331,0.03827
332,0.03533
333,0.03267
334,0.03025
335,0.02803
336,0.02597
337,0.02311
338,0.02050
339,0.01893
340,0.01748
341,0.01618
342,0.01506
343,0.01415
344,0.01353
345,0.01324
346,0.01336
347,0.01391
348,0.01488
349,0.01618
350,0.01769
351,0.01927
352,0.02076
353,0.02201
354,0.02292
355,0.02341
356,0.02348
357,0.02315
358,0.02248
359,0.00000
360,0.00000
