day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00002
7,0.00016
8,0.00072
9,0.00202
10,0.00362
11,0.00418
12,0.00307
13,0.00140
14,0.00037
15,0.00006
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00001
73,0.00010
74,0.00058
75,0.00167
76,0.00246
77,0.00192
78,0.00084
79,0.00030
80,0.00053
81,0.00149
82,0.00234
83,0.00210
84,0.00154
85,0.00218
86,0.00405
87,0.00560
88,0.00548
89,0.00369
90,0.00389
91,0.00473
92,0.00492
93,0.00497
94,0.00489
95,0.00439
96,0.00468
97,0.00697
98,0.00994
99,0.01145
100,0.01115
101,0.00942
102,0.00664
103,0.00415
104,0.00355
105,0.00510
106,0.00785
107,0.00994
108,0.00975
109,0.00832
110,0.00850
111,0.01160
112,0.01693
113,0.02396
114,0.03204
115,0.03835
116,0.04119
117,0.04568
118,0.05898
119,0.08207
120,0.11216
121,0.14684
122,0.18426
123,0.22086
124,0.25204
125,0.26498
126,0.28509
127,0.32438
128,0.38281
129,0.44871
130,0.50427
131,0.55359
132,0.61952
133,0.70156
134,0.77145
135,0.81314
136,0.83317
137,0.84753
138,0.87973
139,0.93416
140,0.97850
141,0.98634
142,0.97507
143,0.98070
144,1.00000
145,0.99208
146,0.94982
147,0.91676
148,0.91479
149,0.92280
150,0.92347
151,0.92252
152,0.93330
153,0.95220
154,0.95154
155,0.90740
156,0.82792
157,0.74483
158,0.68274
159,0.64757
160,0.61033
161,0.55809
162,0.54720
163,0.54401
164,0.50675
165,0.43663
166,0.35775
167,0.28312
168,0.22110
169,0.18728
170,0.18132
171,0.18318
172,0.18413
173,0.17541
174,0.14606
175,0.11131
176,0.08756
177,0.07627
178,0.08122
179,0.09097
180,0.08643
181,0.07160
182,0.05772
183,0.04711
184,0.03924
185,0.03173
186,0.02332
187,0.01786
188,0.01834
189,0.02039
190,0.01805
191,0.01285
192,0.00949
193,0.00957
194,0.01292
195,0.01739
196,0.01465
197,0.01035
198,0.00821
199,0.00946
200,0.01235
201,0.01355
202,0.01147
203,0.00786
204,0.00519
205,0.00406
206,0.00363
207,0.00323
208,0.00340
209,0.00553
210,0.00942
211,0.01192
212,0.01048
213,0.00682
214,0.00461
215,0.00457
216,0.00481
217,0.00447
218,0.00430
219,0.00508
220,0.00699
221,0.00898
222,0.00970
223,0.00934
224,0.00816
225,0.00606
226,0.00541
227,0.00958
228,0.01643
229,0.01850
230,0.01349
231,0.00452
232,0.00058
233,0.00010
234,0.00001
235,0.00000
236,0.00006
237,0.00043
238,0.00186
239,0.00491
240,0.00801
241,0.00816
242,0.00520
243,0.00206
244,0.00050
245,0.00007
246,0.00001
247,0.00000
248,0.00000
249,0.00003
250,0.00021
251,0.00088
252,0.00229
253,0.00378
254,0.00405
255,0.00280
256,0.00124
257,0.00047
258,0.00073
259,0.00195
260,0.00354
261,0.00418
262,0.00317
263,0.00159
264,0.00094
265,0.00172
266,0.00383
267,0.00384
268,0.00283
269,0.00261
270,0.00265
271,0.00242
272,0.00248
273,0.00245
274,0.00178
275,0.00162
276,0.00290
277,0.00436
278,0.00405
279,0.00218
280,0.00066
281,0.00010
282,0.00001
283,0.00002
284,0.00022
285,0.00122
286,0.00346
287,0.00508
288,0.00432
289,0.00319
290,0.00282
291,0.00208
292,0.00138
293,0.00173
294,0.00240
295,0.00209
296,0.00145
297,0.00175
298,0.00274
299,0.00341
300,0.00334
301,0.00253
302,0.00205
303,0.00463
304,0.00671
305,0.00675
306,0.00517
307,0.00325
308,0.00161
309,0.00056
310,0.00017
311,0.00033
312,0.00124
313,0.00308
314,0.00522
315,0.00652
316,0.00637
317,0.00496
318,0.00336
319,0.00266
320,0.00248
321,0.00178
322,0.00080
323,0.00021
324,0.00003
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
