day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00644
5,0.00618
6,0.00630
7,0.00657
8,0.00681
9,0.00694
10,0.00694
11,0.00688
12,0.00684
13,0.00685
14,0.00688
15,0.00687
16,0.00673
17,0.00636
18,0.00535
19,0.00400
20,0.00305
21,0.00217
22,0.00145
23,0.00090
24,0.00053
25,0.00029
26,0.00015
27,0.00007
28,0.00003
29,0.00001
30,0.00001
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00001
97,0.00002
98,0.00005
99,0.00011
100,0.00021
101,0.00040
102,0.00070
103,0.00114
104,0.00176
105,0.00255
106,0.00347
107,0.00444
108,0.00535
109,0.00610
110,0.00660
111,0.00685
112,0.00694
113,0.00695
114,0.00702
115,0.00722
116,0.00757
117,0.00810
118,0.00879
119,0.00969
120,0.01091
121,0.01261
122,0.01500
123,0.01828
124,0.02527
125,0.03434
126,0.04159
127,0.04968
128,0.05875
129,0.06941
130,0.08267
131,0.09979
132,0.12196
133,0.14982
134,0.18317
135,0.22098
136,0.26182
137,0.30463
138,0.34948
139,0.39791
140,0.45250
141,0.51561
142,0.58755
143,0.66501
144,0.74009
145,0.80147
146,0.83932
147,0.84758
148,0.82586
149,0.77959
150,0.71827
151,0.65288
152,0.59333
153,0.54670
154,0.51677
155,0.50430
156,0.50801
157,0.52543
158,0.55365
159,0.58971
160,0.65269
161,0.71845
162,0.75998
163,0.79619
164,0.82344
165,0.83784
166,0.83625
167,0.81746
168,0.78310
169,0.73778
170,0.68831
171,0.64226
172,0.60641
173,0.58567
174,0.58258
175,0.59760
176,0.62955
177,0.67611
178,0.73404
179,0.79811
180,0.86194
181,0.91899
182,0.96334
183,0.99089
184,1.00000
185,0.99145
186,0.96755
187,0.93105
188,0.88425
189,0.82887
190,0.76665
191,0.70013
192,0.63324
193,0.57112
194,0.51919
195,0.47218
196,0.45898
197,0.46796
198,0.48453
199,0.50350
200,0.52038
201,0.53202
202,0.53689
203,0.53495
204,0.52731
205,0.51580
206,0.50259
207,0.48987
208,0.47957
209,0.47318
210,0.47154
211,0.47467
212,0.48177
213,0.49083
214,0.49904
215,0.50331
216,0.50075
217,0.48929
218,0.46836
219,0.43919
220,0.40460
221,0.36839
222,0.33442
223,0.30565
224,0.28360
225,0.26821
226,0.25817
227,0.25154
228,0.24638
229,0.24114
230,0.23473
231,0.22186
232,0.20571
233,0.19317
234,0.17994
235,0.16676
236,0.15443
237,0.14371
238,0.13511
239,0.12892
240,0.12516
241,0.12373
242,0.12450
243,0.12742
244,0.13245
245,0.13951
246,0.14830
247,0.15809
248,0.16784
249,0.17653
250,0.18329
251,0.18762
252,0.18943
253,0.18893
254,0.18647
255,0.18239
256,0.17692
257,0.17020
258,0.16237
259,0.15365
260,0.14439
261,0.13503
262,0.12605
263,0.11782
264,0.11065
265,0.10453
266,0.09716
267,0.09110
268,0.08757
269,0.08417
270,0.08078
271,0.07732
272,0.07379
273,0.07024
274,0.06674
275,0.06338
276,0.06026
277,0.05744
278,0.05492
279,0.05269
280,0.05067
281,0.04876
282,0.04688
283,0.04502
284,0.04320
285,0.04151
286,0.04004
287,0.03887
288,0.03797
289,0.03728
290,0.03665
291,0.03592
292,0.03494
293,0.03364
294,0.03198
295,0.02998
296,0.02771
297,0.02524
298,0.02262
299,0.01995
300,0.01734
301,0.01491
302,0.01202
303,0.01017
304,0.00969
305,0.00973
306,0.01018
307,0.01091
308,0.01178
309,0.01267
310,0.01347
311,0.01405
312,0.01434
313,0.01428
314,0.01387
315,0.01316
316,0.01227
317,0.01131
318,0.01033
319,0.00934
320,0.00832
321,0.00726
322,0.00617
323,0.00509
324,0.00413
325,0.00338
326,0.00292
327,0.00281
328,0.00306
329,0.00360
330,0.00432
331,0.00506
332,0.00565
333,0.00594
334,0.00587
335,0.00545
336,0.00475
337,0.00349
338,0.00235
339,0.00189
340,0.00179
341,0.00212
342,0.00298
343,0.00442
344,0.00649
345,0.00912
346,0.01217
347,0.01537
348,0.01835
349,0.02063
350,0.02190
351,0.02198
352,0.02091
353,0.01889
354,0.01627
355,0.01347
356,0.01086
357,0.00875
358,0.00727
359,0.00000
360,0.00000
