day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00002
106,0.00006
107,0.00020
108,0.00054
109,0.00125
110,0.00250
111,0.00432
112,0.00651
113,0.00860
114,0.01014
115,0.01094
116,0.01117
117,0.01118
118,0.01109
119,0.01066
120,0.00958
121,0.00777
122,0.00556
123,0.00348
124,0.00156
125,0.00114
126,0.00187
127,0.00335
128,0.00535
129,0.00740
130,0.00880
131,0.00903
132,0.00803
133,0.00629
134,0.00459
135,0.00370
136,0.00421
137,0.00642
138,0.01021
139,0.01501
140,0.01996
141,0.02435
142,0.02809
143,0.03171
144,0.03601
145,0.04159
146,0.04876
147,0.05768
148,0.06855
149,0.08166
150,0.09720
151,0.11495
152,0.13380
153,0.15188
154,0.16824
155,0.18479
156,0.22629
157,0.27957
158,0.34689
159,0.42537
160,0.52514
161,0.61292
162,0.67941
163,0.74294
164,0.80291
165,0.85568
166,0.89564
167,0.91770
168,0.91986
169,0.90447
170,0.87831
171,0.85156
172,0.83413
173,0.84130
174,0.85450
175,0.86336
176,0.86072
177,0.84612
178,0.82475
179,0.80283
180,0.78332
181,0.76534
182,0.74712
183,0.72953
184,0.71655
185,0.71200
186,0.71528
187,0.72043
188,0.71718
189,0.69770
190,0.67736
191,0.65593
192,0.63293
193,0.60602
194,0.57325
195,0.53354
196,0.48728
197,0.44269
198,0.40167
199,0.36516
200,0.33286
201,0.30376
202,0.27648
203,0.24977
204,0.22342
205,0.19872
206,0.17822
207,0.16459
208,0.15876
209,0.15904
210,0.16162
211,0.16264
212,0.16031
213,0.15567
214,0.15166
215,0.15091
216,0.15398
217,0.15882
218,0.16200
219,0.16089
220,0.15526
221,0.14737
222,0.14032
223,0.13594
224,0.13389
225,0.13046
226,0.12353
227,0.11409
228,0.10462
229,0.09818
230,0.09676
231,0.10039
232,0.10398
233,0.10430
234,0.10200
235,0.09835
236,0.09525
237,0.09436
238,0.09635
239,0.10081
240,0.10648
241,0.11186
242,0.11562
243,0.11676
244,0.11458
245,0.10868
246,0.09946
247,0.08827
248,0.07730
249,0.06890
250,0.06495
251,0.06656
252,0.07414
253,0.08731
254,0.10463
255,0.12322
256,0.13869
257,0.14582
258,0.14340
259,0.13267
260,0.11692
261,0.09958
262,0.08296
263,0.06833
264,0.05659
265,0.04856
266,0.04359
267,0.04166
268,0.03882
269,0.03363
270,0.02707
271,0.02088
272,0.01627
273,0.01329
274,0.01115
275,0.00912
276,0.00711
277,0.00558
278,0.00510
279,0.00584
280,0.00737
281,0.00881
282,0.00930
283,0.00849
284,0.00670
285,0.00457
286,0.00273
287,0.00154
288,0.00110
289,0.00140
290,0.00245
291,0.00414
292,0.00619
293,0.00802
294,0.00900
295,0.00873
296,0.00733
297,0.00530
298,0.00330
299,0.00176
300,0.00081
301,0.00032
302,0.00007
303,0.00001
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00001
313,0.00002
314,0.00008
315,0.00024
316,0.00062
317,0.00140
318,0.00272
319,0.00456
320,0.00662
321,0.00830
322,0.00903
323,0.00849
324,0.00691
325,0.00485
326,0.00293
327,0.00152
328,0.00067
329,0.00026
330,0.00008
331,0.00002
332,0.00001
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
