day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.02287
5,0.02445
6,0.02497
7,0.02425
8,0.02261
9,0.02056
10,0.01847
11,0.01647
12,0.01459
13,0.01284
14,0.01124
15,0.00989
16,0.00897
17,0.00858
18,0.00865
19,0.00841
20,0.00774
21,0.00698
22,0.00649
23,0.00640
24,0.00660
25,0.00688
26,0.00702
27,0.00692
28,0.00667
29,0.00642
30,0.00629
31,0.00624
32,0.00613
33,0.00589
34,0.00552
35,0.00512
36,0.00469
37,0.00415
38,0.00347
39,0.00273
40,0.00215
41,0.00191
42,0.00205
43,0.00245
44,0.00289
45,0.00319
46,0.00330
47,0.00329
48,0.00328
49,0.00339
50,0.00367
51,0.00417
52,0.00487
53,0.00566
54,0.00537
55,0.00451
56,0.00363
57,0.00308
58,0.00295
59,0.00308
60,0.00324
61,0.00330
62,0.00327
63,0.00324
64,0.00328
65,0.00337
66,0.00346
67,0.00348
68,0.00337
69,0.00310
70,0.00272
71,0.00243
72,0.00245
73,0.00289
74,0.00364
75,0.00443
76,0.00494
77,0.00500
78,0.00463
79,0.00404
80,0.00352
81,0.00329
82,0.00344
83,0.00392
84,0.00453
85,0.00509
86,0.00545
87,0.00554
88,0.00536
89,0.00468
90,0.00385
91,0.00351
92,0.00351
93,0.00382
94,0.00426
95,0.00453
96,0.00443
97,0.00395
98,0.00328
99,0.00266
100,0.00224
101,0.00202
102,0.00200
103,0.00218
104,0.00255
105,0.00303
106,0.00350
107,0.00386
108,0.00408
109,0.00423
110,0.00438
111,0.00461
112,0.00497
113,0.00545
114,0.00588
115,0.00603
116,0.00584
117,0.00561
118,0.00573
119,0.00654
120,0.00799
121,0.00968
122,0.01100
123,0.01153
124,0.01152
125,0.01271
126,0.01479
127,0.01681
128,0.01766
129,0.01719
130,0.01613
131,0.01527
132,0.01479
133,0.01435
134,0.01367
135,0.01279
136,0.01207
137,0.01184
138,0.01221
139,0.01299
140,0.01384
141,0.01463
142,0.01560
143,0.01716
144,0.01954
145,0.02288
146,0.02748
147,0.03387
148,0.04225
149,0.05316
150,0.06824
151,0.08836
152,0.11033
153,0.12731
154,0.13400
155,0.13068
156,0.12165
157,0.11181
158,0.10532
159,0.10520
160,0.12075
161,0.15031
162,0.17532
163,0.19905
164,0.21679
165,0.22579
166,0.22735
167,0.22786
168,0.23742
169,0.26484
170,0.31086
171,0.36469
172,0.40834
173,0.42779
174,0.42238
175,0.40407
176,0.38640
177,0.37470
178,0.36726
179,0.36192
180,0.35683
181,0.34863
182,0.33604
183,0.32329
184,0.31719
185,0.32167
186,0.33550
187,0.35459
188,0.37721
189,0.40629
190,0.44254
191,0.47494
192,0.48483
193,0.46494
194,0.43231
195,0.43778
196,0.55418
197,0.70780
198,0.87990
199,1.00000
200,0.99635
201,0.85439
202,0.63708
203,0.43493
204,0.30073
205,0.23450
206,0.21201
207,0.21244
208,0.22670
209,0.25369
210,0.29087
211,0.32558
212,0.33992
213,0.32530
214,0.29021
215,0.25088
216,0.21768
217,0.19211
218,0.17214
219,0.15667
220,0.14613
221,0.14126
222,0.14203
223,0.14748
224,0.15576
225,0.16381
226,0.16744
227,0.16329
228,0.15171
229,0.13722
230,0.12541
231,0.11846
232,0.11774
233,0.11622
234,0.11200
235,0.10616
236,0.10102
237,0.09864
238,0.09948
239,0.10182
240,0.10268
241,0.10011
242,0.09490
243,0.08924
244,0.08522
245,0.08408
246,0.08605
247,0.09007
248,0.09389
249,0.09508
250,0.09280
251,0.08854
252,0.08470
253,0.08254
254,0.08139
255,0.07961
256,0.07607
257,0.07093
258,0.06548
259,0.06136
260,0.05954
261,0.05971
262,0.06077
263,0.06176
264,0.06240
265,0.06268
266,0.06158
267,0.05854
268,0.05606
269,0.05374
270,0.05116
271,0.04780
272,0.04394
273,0.04049
274,0.03814
275,0.03697
276,0.03666
277,0.03692
278,0.03761
279,0.03869
280,0.03997
281,0.04117
282,0.04213
283,0.04287
284,0.04347
285,0.04390
286,0.04398
287,0.04352
288,0.04247
289,0.04090
290,0.03888
291,0.03653
292,0.03421
293,0.03248
294,0.03182
295,0.03222
296,0.03308
297,0.03366
298,0.03372
299,0.03363
300,0.03391
301,0.03455
302,0.03485
303,0.03342
304,0.03160
305,0.02985
306,0.02866
307,0.02825
308,0.02861
309,0.02968
310,0.03121
311,0.03263
312,0.03331
313,0.03291
314,0.03154
315,0.02955
316,0.02740
317,0.02552
318,0.02422
319,0.02357
320,0.02331
321,0.02298
322,0.02227
323,0.02130
324,0.02048
325,0.01999
326,0.01957
327,0.01875
328,0.01747
329,0.01625
330,0.01571
331,0.01605
332,0.01691
333,0.01773
334,0.01827
335,0.01863
336,0.01904
337,0.01969
338,0.01976
339,0.01894
340,0.01758
341,0.01627
342,0.01552
343,0.01540
344,0.01556
345,0.01553
346,0.01489
347,0.01350
348,0.01173
349,0.01035
350,0.01000
351,0.01076
352,0.01224
353,0.01390
354,0.01535
355,0.01652
356,0.01761
357,0.01897
358,0.02082
359,0.00000
360,0.00000
