day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00705
5,0.00666
6,0.00602
7,0.00516
8,0.00421
9,0.00333
10,0.00265
11,0.00229
12,0.00227
13,0.00257
14,0.00311
15,0.00374
16,0.00431
17,0.00469
18,0.00465
19,0.00401
20,0.00331
21,0.00255
22,0.00182
23,0.00121
24,0.00074
25,0.00042
26,0.00023
27,0.00011
28,0.00005
29,0.00002
30,0.00001
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00001
59,0.00001
60,0.00003
61,0.00006
62,0.00013
63,0.00023
64,0.00040
65,0.00062
66,0.00089
67,0.00118
68,0.00144
69,0.00162
70,0.00169
71,0.00162
72,0.00143
73,0.00117
74,0.00089
75,0.00063
76,0.00044
77,0.00033
78,0.00031
79,0.00038
80,0.00055
81,0.00078
82,0.00107
83,0.00135
84,0.00158
85,0.00170
86,0.00171
87,0.00160
88,0.00144
89,0.00125
90,0.00125
91,0.00142
92,0.00171
93,0.00208
94,0.00247
95,0.00285
96,0.00321
97,0.00354
98,0.00391
99,0.00434
100,0.00490
101,0.00560
102,0.00642
103,0.00728
104,0.00806
105,0.00865
106,0.00898
107,0.00906
108,0.00897
109,0.00888
110,0.00895
111,0.00931
112,0.01003
113,0.01103
114,0.01219
115,0.01331
116,0.01423
117,0.01486
118,0.01521
119,0.01539
120,0.01556
121,0.01590
122,0.01654
123,0.01750
124,0.01938
125,0.02139
126,0.02260
127,0.02365
128,0.02458
129,0.02550
130,0.02655
131,0.02788
132,0.02959
133,0.03172
134,0.03421
135,0.03695
136,0.03977
137,0.04256
138,0.04527
139,0.04794
140,0.05071
141,0.05378
142,0.05735
143,0.06159
144,0.06674
145,0.07306
146,0.08094
147,0.09080
148,0.10311
149,0.11823
150,0.13634
151,0.15745
152,0.18141
153,0.20811
154,0.23761
155,0.27022
156,0.30637
157,0.34638
158,0.39000
159,0.43620
160,0.50564
161,0.56993
162,0.60725
163,0.64037
164,0.67027
165,0.69831
166,0.72580
167,0.75373
168,0.78273
169,0.81313
170,0.84501
171,0.87810
172,0.91145
173,0.94328
174,0.97084
175,0.99080
176,1.00000
177,0.99648
178,0.98020
179,0.95444
180,0.92468
181,0.89654
182,0.87462
183,0.86128
184,0.85628
185,0.85709
186,0.86007
187,0.86179
188,0.86029
189,0.85570
190,0.85019
191,0.84719
192,0.85016
193,0.86145
194,0.88140
195,0.92234
196,0.96175
197,0.97541
198,0.97246
199,0.94986
200,0.90771
201,0.84928
202,0.78028
203,0.70774
204,0.63868
205,0.57900
206,0.53276
207,0.50189
208,0.48630
209,0.48421
210,0.49271
211,0.50823
212,0.52705
213,0.54559
214,0.56077
215,0.57014
216,0.57201
217,0.56613
218,0.55379
219,0.53685
220,0.51737
221,0.49700
222,0.47681
223,0.45749
224,0.43970
225,0.42451
226,0.41328
227,0.40738
228,0.40759
229,0.41365
230,0.42408
231,0.44187
232,0.45424
233,0.45472
234,0.44798
235,0.43439
236,0.41635
237,0.39643
238,0.37712
239,0.36037
240,0.34728
241,0.33802
242,0.33192
243,0.32769
244,0.32383
245,0.31904
246,0.31258
247,0.30447
248,0.29536
249,0.28629
250,0.27834
251,0.27231
252,0.26857
253,0.26707
254,0.26752
255,0.26952
256,0.27274
257,0.27702
258,0.28212
259,0.28754
260,0.29236
261,0.29540
262,0.29546
263,0.29166
264,0.28374
265,0.27214
266,0.24985
267,0.22558
268,0.20976
269,0.19514
270,0.18234
271,0.17184
272,0.16397
273,0.15882
274,0.15577
275,0.15403
276,0.15284
277,0.15165
278,0.15032
279,0.14904
280,0.14824
281,0.14836
282,0.14971
283,0.15235
284,0.15607
285,0.16043
286,0.16488
287,0.16887
288,0.17196
289,0.17385
290,0.17437
291,0.17339
292,0.17084
293,0.16675
294,0.16149
295,0.15562
296,0.14986
297,0.14489
298,0.14107
299,0.13839
300,0.13645
301,0.13464
302,0.13073
303,0.12480
304,0.11948
305,0.11344
306,0.10704
307,0.10061
308,0.09437
309,0.08847
310,0.08296
311,0.07797
312,0.07365
313,0.07021
314,0.06778
315,0.06633
316,0.06554
317,0.06496
318,0.06410
319,0.06265
320,0.06049
321,0.05772
322,0.05448
323,0.05085
324,0.04682
325,0.04233
326,0.03740
327,0.03219
328,0.02700
329,0.02225
330,0.01833
331,0.01543
332,0.01349
333,0.01233
334,0.01168
335,0.01132
336,0.01113
337,0.01104
338,0.01115
339,0.01132
340,0.01145
341,0.01139
342,0.01101
343,0.01023
344,0.00910
345,0.00779
346,0.00653
347,0.00556
348,0.00501
349,0.00493
350,0.00519
351,0.00563
352,0.00608
353,0.00646
354,0.00674
355,0.00694
356,0.00709
357,0.00718
358,0.00718
359,0.00000
360,0.00000
