day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.16857
5,0.17017
6,0.17027
7,0.16891
8,0.16616
9,0.16220
10,0.15722
11,0.15143
12,0.14510
13,0.13844
14,0.13171
15,0.12512
16,0.11885
17,0.11301
18,0.10526
19,0.09858
20,0.09481
21,0.09149
22,0.08855
23,0.08589
24,0.08345
25,0.08114
26,0.07888
27,0.07662
28,0.07433
29,0.07202
30,0.06967
31,0.06731
32,0.06497
33,0.06269
34,0.06050
35,0.05846
36,0.05662
37,0.05501
38,0.05367
39,0.05261
40,0.05187
41,0.05145
42,0.05136
43,0.05161
44,0.05220
45,0.05311
46,0.05434
47,0.05588
48,0.05770
49,0.05977
50,0.06205
51,0.06452
52,0.06715
53,0.07133
54,0.07565
55,0.07857
56,0.08146
57,0.08429
58,0.08703
59,0.08967
60,0.09222
61,0.09473
62,0.09726
63,0.09993
64,0.10285
65,0.10617
66,0.11007
67,0.11469
68,0.12020
69,0.12684
70,0.13458
71,0.14346
72,0.15348
73,0.16460
74,0.17676
75,0.18991
76,0.20399
77,0.21897
78,0.23488
79,0.25176
80,0.26986
81,0.28926
82,0.31015
83,0.33271
84,0.35710
85,0.38345
86,0.41180
87,0.44213
88,0.47433
89,0.52578
90,0.57963
91,0.61639
92,0.65317
93,0.68951
94,0.72498
95,0.75916
96,0.79170
97,0.82230
98,0.85070
99,0.87672
100,0.90023
101,0.92106
102,0.93910
103,0.95457
104,0.96754
105,0.97812
106,0.98642
107,0.99259
108,0.99680
109,0.99921
110,1.00000
111,0.99934
112,0.99738
113,0.99419
114,0.99003
115,0.98500
116,0.97915
117,0.97252
118,0.96510
119,0.95686
120,0.94771
121,0.93759
122,0.92636
123,0.91394
124,0.89249
125,0.86828
126,0.85036
127,0.83121
128,0.81098
129,0.78984
130,0.76800
131,0.74568
132,0.72309
133,0.70044
134,0.67793
135,0.65574
136,0.63395
137,0.61265
138,0.59189
139,0.57169
140,0.55205
141,0.53297
142,0.51441
143,0.49637
144,0.47881
145,0.46172
146,0.44511
147,0.42894
148,0.41319
149,0.39787
150,0.38301
151,0.36861
152,0.35469
153,0.34129
154,0.32841
155,0.31608
156,0.30430
157,0.29313
158,0.28249
159,0.27238
160,0.25819
161,0.24495
162,0.23676
163,0.22903
164,0.22179
165,0.21506
166,0.20886
167,0.20324
168,0.19818
169,0.19364
170,0.18958
171,0.18595
172,0.18266
173,0.17962
174,0.17676
175,0.17397
176,0.17118
177,0.16832
178,0.16534
179,0.16222
180,0.15897
181,0.15563
182,0.15223
183,0.14884
184,0.14553
185,0.14237
186,0.13943
187,0.13678
188,0.13448
189,0.13260
190,0.13120
191,0.13026
192,0.12975
193,0.12967
194,0.12996
195,0.13101
196,0.13255
197,0.13382
198,0.13523
199,0.13675
200,0.13840
201,0.14016
202,0.14205
203,0.14406
204,0.14618
205,0.14837
206,0.15058
207,0.15273
208,0.15473
209,0.15646
210,0.15783
211,0.15869
212,0.15897
213,0.15868
214,0.15781
215,0.15641
216,0.15458
217,0.15242
218,0.15007
219,0.14768
220,0.14537
221,0.14327
222,0.14148
223,0.14007
224,0.13902
225,0.13831
226,0.13788
227,0.13767
228,0.13760
229,0.13762
230,0.13766
231,0.13770
232,0.13775
233,0.13787
234,0.13813
235,0.13860
236,0.13935
237,0.14044
238,0.14191
239,0.14378
240,0.14605
241,0.14870
242,0.15170
243,0.15500
244,0.15855
245,0.16227
246,0.16608
247,0.16990
248,0.17366
249,0.17727
250,0.18064
251,0.18370
252,0.18634
253,0.18850
254,0.19010
255,0.19104
256,0.19133
257,0.19100
258,0.19011
259,0.18871
260,0.18692
261,0.18485
262,0.18264
263,0.18042
264,0.17831
265,0.17642
266,0.17426
267,0.17285
268,0.17237
269,0.17219
270,0.17222
271,0.17239
272,0.17260
273,0.17277
274,0.17284
275,0.17273
276,0.17242
277,0.17185
278,0.17105
279,0.17003
280,0.16882
281,0.16744
282,0.16593
283,0.16430
284,0.16257
285,0.16077
286,0.15891
287,0.15700
288,0.15506
289,0.15312
290,0.15120
291,0.14933
292,0.14754
293,0.14586
294,0.14432
295,0.14294
296,0.14174
297,0.14072
298,0.13988
299,0.13923
300,0.13874
301,0.13840
302,0.13814
303,0.13809
304,0.13816
305,0.13829
306,0.13844
307,0.13859
308,0.13870
309,0.13873
310,0.13863
311,0.13837
312,0.13792
313,0.13726
314,0.13637
315,0.13525
316,0.13389
317,0.13232
318,0.13055
319,0.12863
320,0.12662
321,0.12456
322,0.12253
323,0.12059
324,0.11878
325,0.11712
326,0.11563
327,0.11428
328,0.11305
329,0.11190
330,0.11075
331,0.10954
332,0.10821
333,0.10671
334,0.10502
335,0.10314
336,0.10110
337,0.09786
338,0.09464
339,0.09267
340,0.09099
341,0.08970
342,0.08897
343,0.08894
344,0.08967
345,0.09125
346,0.09374
347,0.09718
348,0.10154
349,0.10680
350,0.11286
351,0.11958
352,0.12679
353,0.13426
354,0.14168
355,0.14876
356,0.15520
357,0.16074
358,0.16515
359,0.00000
360,0.00000
