day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.19863
5,0.20235
6,0.20547
7,0.20789
8,0.20965
9,0.21079
10,0.21136
11,0.21140
12,0.21096
13,0.21014
14,0.20900
15,0.20763
16,0.20616
17,0.20468
18,0.20264
19,0.20096
20,0.20019
21,0.19973
22,0.19966
23,0.19998
24,0.20069
25,0.20178
26,0.20325
27,0.20509
28,0.20728
29,0.20983
30,0.21276
31,0.21603
32,0.21964
33,0.22360
34,0.22791
35,0.23261
36,0.23770
37,0.24322
38,0.24925
39,0.25581
40,0.26290
41,0.27054
42,0.27876
43,0.28755
44,0.29694
45,0.30689
46,0.31748
47,0.32861
48,0.34023
49,0.35229
50,0.36473
51,0.37752
52,0.39058
53,0.41063
54,0.43103
55,0.44479
56,0.45866
57,0.47263
58,0.48673
59,0.50096
60,0.51539
61,0.53008
62,0.54509
63,0.56046
64,0.57626
65,0.59251
66,0.60927
67,0.62656
68,0.64437
69,0.66275
70,0.68163
71,0.70092
72,0.72053
73,0.74036
74,0.76030
75,0.78023
76,0.80003
77,0.81952
78,0.83854
79,0.85698
80,0.87473
81,0.89166
82,0.90769
83,0.92272
84,0.93666
85,0.94931
86,0.96063
87,0.97063
88,0.97926
89,0.98933
90,0.99642
91,0.99909
92,1.00000
93,0.99918
94,0.99672
95,0.99260
96,0.98684
97,0.97944
98,0.97044
99,0.95987
100,0.94764
101,0.93389
102,0.91880
103,0.90247
104,0.88501
105,0.86653
106,0.84714
107,0.82697
108,0.80610
109,0.78469
110,0.76292
111,0.74089
112,0.71872
113,0.69649
114,0.67429
115,0.65220
116,0.63031
117,0.60867
118,0.58733
119,0.56630
120,0.54562
121,0.52530
122,0.50536
123,0.48582
124,0.45740
125,0.42987
126,0.41210
127,0.39480
128,0.37797
129,0.36164
130,0.34581
131,0.33056
132,0.31588
133,0.30174
134,0.28817
135,0.27516
136,0.26271
137,0.25082
138,0.23950
139,0.22878
140,0.21865
141,0.20906
142,0.20000
143,0.19146
144,0.18341
145,0.17587
146,0.16880
147,0.16224
148,0.15616
149,0.15052
150,0.14529
151,0.14048
152,0.13605
153,0.13199
154,0.12829
155,0.12496
156,0.12196
157,0.11926
158,0.11683
159,0.11464
160,0.11181
161,0.10936
162,0.10796
163,0.10670
164,0.10556
165,0.10450
166,0.10351
167,0.10259
168,0.10171
169,0.10087
170,0.10006
171,0.09928
172,0.09854
173,0.09782
174,0.09715
175,0.09651
176,0.09594
177,0.09542
178,0.09497
179,0.09461
180,0.09432
181,0.09411
182,0.09398
183,0.09391
184,0.09391
185,0.09396
186,0.09405
187,0.09416
188,0.09427
189,0.09437
190,0.09445
191,0.09448
192,0.09447
193,0.09440
194,0.09427
195,0.09394
196,0.09352
197,0.09319
198,0.09283
199,0.09247
200,0.09210
201,0.09175
202,0.09144
203,0.09117
204,0.09095
205,0.09079
206,0.09069
207,0.09064
208,0.09065
209,0.09072
210,0.09083
211,0.09098
212,0.09114
213,0.09132
214,0.09151
215,0.09170
216,0.09188
217,0.09205
218,0.09220
219,0.09235
220,0.09248
221,0.09260
222,0.09272
223,0.09283
224,0.09295
225,0.09308
226,0.09322
227,0.09339
228,0.09357
229,0.09378
230,0.09401
231,0.09443
232,0.09492
233,0.09530
234,0.09573
235,0.09621
236,0.09675
237,0.09735
238,0.09801
239,0.09874
240,0.09956
241,0.10046
242,0.10144
243,0.10250
244,0.10364
245,0.10486
246,0.10613
247,0.10746
248,0.10884
249,0.11024
250,0.11165
251,0.11304
252,0.11439
253,0.11568
254,0.11689
255,0.11801
256,0.11901
257,0.11986
258,0.12058
259,0.12115
260,0.12158
261,0.12187
262,0.12204
263,0.12210
264,0.12207
265,0.12196
266,0.12175
267,0.12156
268,0.12149
269,0.12150
270,0.12160
271,0.12183
272,0.12222
273,0.12275
274,0.12344
275,0.12428
276,0.12526
277,0.12637
278,0.12760
279,0.12893
280,0.13032
281,0.13175
282,0.13318
283,0.13459
284,0.13595
285,0.13723
286,0.13841
287,0.13945
288,0.14035
289,0.14108
290,0.14166
291,0.14206
292,0.14230
293,0.14238
294,0.14229
295,0.14203
296,0.14161
297,0.14106
298,0.14037
299,0.13957
300,0.13866
301,0.13766
302,0.13597
303,0.13414
304,0.13284
305,0.13150
306,0.13012
307,0.12873
308,0.12731
309,0.12589
310,0.12447
311,0.12307
312,0.12169
313,0.12033
314,0.11901
315,0.11773
316,0.11649
317,0.11530
318,0.11418
319,0.11312
320,0.11212
321,0.11119
322,0.11033
323,0.10954
324,0.10882
325,0.10818
326,0.10761
327,0.10712
328,0.10671
329,0.10637
330,0.10611
331,0.10594
332,0.10586
333,0.10588
334,0.10601
335,0.10629
336,0.10673
337,0.10775
338,0.10921
339,0.11052
340,0.11214
341,0.11409
342,0.11646
343,0.11921
344,0.12238
345,0.12596
346,0.12997
347,0.13438
348,0.13918
349,0.14435
350,0.14984
351,0.15555
352,0.16140
353,0.16731
354,0.17319
355,0.17894
356,0.18447
357,0.18967
358,0.19440
359,0.00000
360,0.00000
