day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.07274
5,0.07224
6,0.07096
7,0.06897
8,0.06637
9,0.06323
10,0.05967
11,0.05581
12,0.05180
13,0.04775
14,0.04378
15,0.04002
16,0.03654
17,0.03344
18,0.02968
19,0.02679
20,0.02542
21,0.02441
22,0.02370
23,0.02324
24,0.02295
25,0.02278
26,0.02267
27,0.02258
28,0.02247
29,0.02232
30,0.02211
31,0.02181
32,0.02141
33,0.02089
34,0.02023
35,0.01942
36,0.01844
37,0.01732
38,0.01607
39,0.01473
40,0.01334
41,0.01197
42,0.01065
43,0.00944
44,0.00834
45,0.00738
46,0.00654
47,0.00582
48,0.00521
49,0.00467
50,0.00420
51,0.00379
52,0.00344
53,0.00307
54,0.00288
55,0.00290
56,0.00304
57,0.00330
58,0.00367
59,0.00413
60,0.00464
61,0.00517
62,0.00566
63,0.00606
64,0.00634
65,0.00646
66,0.00642
67,0.00620
68,0.00583
69,0.00533
70,0.00474
71,0.00410
72,0.00345
73,0.00282
74,0.00223
75,0.00173
76,0.00130
77,0.00095
78,0.00068
79,0.00047
80,0.00031
81,0.00021
82,0.00013
83,0.00008
84,0.00005
85,0.00003
86,0.00002
87,0.00001
88,0.00001
89,0.00002
90,0.00004
91,0.00007
92,0.00012
93,0.00019
94,0.00031
95,0.00047
96,0.00071
97,0.00105
98,0.00152
99,0.00215
100,0.00296
101,0.00397
102,0.00522
103,0.00671
104,0.00845
105,0.01045
106,0.01270
107,0.01519
108,0.01791
109,0.02086
110,0.02403
111,0.02738
112,0.03091
113,0.03462
114,0.03849
115,0.04249
116,0.04662
117,0.05085
118,0.05514
119,0.05948
120,0.06384
121,0.06823
122,0.07266
123,0.07719
124,0.08432
125,0.09199
126,0.09762
127,0.10374
128,0.11047
129,0.11789
130,0.12611
131,0.13526
132,0.14558
133,0.15715
134,0.17014
135,0.18470
136,0.20098
137,0.21912
138,0.23920
139,0.26129
140,0.28538
141,0.31142
142,0.33933
143,0.36896
144,0.40024
145,0.43279
146,0.46637
147,0.50076
148,0.53572
149,0.57105
150,0.60658
151,0.64214
152,0.67761
153,0.71283
154,0.74764
155,0.78182
156,0.81496
157,0.84673
158,0.87667
159,0.90264
160,0.93550
161,0.96302
162,0.97853
163,0.98865
164,0.99537
165,0.99896
166,0.99978
167,0.99837
168,0.99545
169,0.99177
170,0.98796
171,0.98458
172,0.98208
173,0.98077
174,0.98079
175,0.98209
176,0.98466
177,0.98792
178,0.99120
179,0.99367
180,0.99449
181,0.99314
182,0.98924
183,0.98264
184,0.97346
185,0.96202
186,0.94877
187,0.93426
188,0.91902
189,0.90350
190,0.88803
191,0.87277
192,0.85767
193,0.84257
194,0.82725
195,0.80995
196,0.78525
197,0.76137
198,0.74387
199,0.72642
200,0.70941
201,0.69324
202,0.67838
203,0.66511
204,0.65363
205,0.64409
206,0.63657
207,0.63111
208,0.62768
209,0.62621
210,0.62664
211,0.62881
212,0.63255
213,0.63766
214,0.64381
215,0.65053
216,0.65736
217,0.66382
218,0.66942
219,0.67369
220,0.67624
221,0.67677
222,0.67512
223,0.67132
224,0.66554
225,0.65811
226,0.64960
227,0.64070
228,0.63205
229,0.62425
230,0.61781
231,0.61260
232,0.60993
233,0.61056
234,0.61320
235,0.61709
236,0.62182
237,0.62696
238,0.63216
239,0.63720
240,0.64198
241,0.64653
242,0.65097
243,0.65549
244,0.66029
245,0.66559
246,0.67152
247,0.67816
248,0.68534
249,0.69272
250,0.69985
251,0.70613
252,0.71096
253,0.71375
254,0.71399
255,0.71131
256,0.70556
257,0.69676
258,0.68513
259,0.67096
260,0.65476
261,0.63710
262,0.61839
263,0.59892
264,0.57889
265,0.55838
266,0.52827
267,0.49598
268,0.47284
269,0.45106
270,0.42971
271,0.40923
272,0.39001
273,0.37242
274,0.35674
275,0.34312
276,0.33155
277,0.32193
278,0.31398
279,0.30735
280,0.30163
281,0.29644
282,0.29130
283,0.28585
284,0.27991
285,0.27341
286,0.26637
287,0.25892
288,0.25127
289,0.24365
290,0.23634
291,0.22957
292,0.22354
293,0.21840
294,0.21435
295,0.21129
296,0.20920
297,0.20798
298,0.20756
299,0.20781
300,0.20861
301,0.20984
302,0.21227
303,0.21497
304,0.21677
305,0.21841
306,0.21976
307,0.22070
308,0.22113
309,0.22094
310,0.22003
311,0.21836
312,0.21589
313,0.21267
314,0.20875
315,0.20424
316,0.19925
317,0.19392
318,0.18840
319,0.18275
320,0.17703
321,0.17121
322,0.16527
323,0.15915
324,0.15279
325,0.14615
326,0.13922
327,0.13202
328,0.12463
329,0.11717
330,0.10981
331,0.10268
332,0.09591
333,0.08961
334,0.08385
335,0.07866
336,0.07404
337,0.06820
338,0.06334
339,0.06068
340,0.05840
341,0.05647
342,0.05487
343,0.05362
344,0.05273
345,0.05224
346,0.05217
347,0.05255
348,0.05339
349,0.05469
350,0.05642
351,0.05853
352,0.06089
353,0.06337
354,0.06583
355,0.06810
356,0.07004
357,0.07151
358,0.07240
359,0.00000
360,0.00000
