day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01166
5,0.01151
6,0.01008
7,0.00777
8,0.00543
9,0.00376
10,0.00279
11,0.00210
12,0.00141
13,0.00078
14,0.00035
15,0.00013
16,0.00004
17,0.00001
18,0.00007
19,0.00040
20,0.00112
21,0.00244
22,0.00413
23,0.00547
24,0.00575
25,0.00495
26,0.00373
27,0.00282
28,0.00238
29,0.00210
30,0.00168
31,0.00118
32,0.00084
33,0.00087
34,0.00125
35,0.00171
36,0.00193
37,0.00173
38,0.00126
39,0.00086
40,0.00081
41,0.00115
42,0.00165
43,0.00196
44,0.00182
45,0.00130
46,0.00073
47,0.00033
48,0.00016
49,0.00019
50,0.00043
51,0.00091
52,0.00149
53,0.00195
54,0.00183
55,0.00172
56,0.00183
57,0.00200
58,0.00193
59,0.00154
60,0.00100
61,0.00060
62,0.00051
63,0.00078
64,0.00128
65,0.00176
66,0.00192
67,0.00164
68,0.00112
69,0.00066
70,0.00049
71,0.00070
72,0.00129
73,0.00213
74,0.00306
75,0.00393
76,0.00454
77,0.00461
78,0.00390
79,0.00270
80,0.00165
81,0.00126
82,0.00169
83,0.00273
84,0.00391
85,0.00468
86,0.00474
87,0.00415
88,0.00326
89,0.00248
90,0.00311
91,0.00425
92,0.00520
93,0.00542
94,0.00497
95,0.00455
96,0.00496
97,0.00649
98,0.00877
99,0.01128
100,0.01397
101,0.01725
102,0.02147
103,0.02657
104,0.03229
105,0.03854
106,0.04538
107,0.05260
108,0.05997
109,0.06808
110,0.07846
111,0.09219
112,0.10796
113,0.12167
114,0.13001
115,0.13352
116,0.13580
117,0.13993
118,0.14736
119,0.16044
120,0.18346
121,0.21909
122,0.26315
123,0.32867
124,0.39241
125,0.44025
126,0.47944
127,0.51847
128,0.55636
129,0.59367
130,0.63342
131,0.67981
132,0.73512
133,0.79542
134,0.84999
135,0.88905
136,0.91504
137,0.93986
138,0.97039
139,1.00000
140,0.99570
141,0.96666
142,0.91687
143,0.86203
144,0.82221
145,0.81108
146,0.82861
147,0.86018
148,0.88330
149,0.88098
150,0.82934
151,0.75921
152,0.71121
153,0.66488
154,0.62317
155,0.58967
156,0.56530
157,0.54703
158,0.53124
159,0.51718
160,0.49945
161,0.48037
162,0.46511
163,0.44684
164,0.42786
165,0.40986
166,0.39228
167,0.37489
168,0.35997
169,0.34980
170,0.34167
171,0.32849
172,0.30611
173,0.27847
174,0.25339
175,0.23507
176,0.22280
177,0.21522
178,0.21265
179,0.21410
180,0.21406
181,0.20553
182,0.18669
183,0.16329
184,0.14346
185,0.13340
186,0.13241
187,0.13168
188,0.13053
189,0.12821
190,0.12401
191,0.11687
192,0.10693
193,0.09651
194,0.08874
195,0.08758
196,0.09297
197,0.09572
198,0.09572
199,0.09373
200,0.09196
201,0.09090
202,0.08806
203,0.08131
204,0.07139
205,0.06101
206,0.05243
207,0.04703
208,0.04656
209,0.05299
210,0.06608
211,0.08122
212,0.09061
213,0.08966
214,0.08053
215,0.06930
216,0.06058
217,0.05555
218,0.05333
219,0.05238
220,0.05140
221,0.04953
222,0.04809
223,0.04809
224,0.04975
225,0.05343
226,0.05890
227,0.06490
228,0.06915
229,0.06943
230,0.06527
231,0.05511
232,0.04673
233,0.04337
234,0.04139
235,0.04079
236,0.04167
237,0.04365
238,0.04594
239,0.04784
240,0.04887
241,0.04934
242,0.05030
243,0.05203
244,0.05266
245,0.04946
246,0.04203
247,0.03274
248,0.02516
249,0.02192
250,0.02321
251,0.02692
252,0.03036
253,0.03229
254,0.03334
255,0.03442
256,0.03545
257,0.03564
258,0.03462
259,0.03284
260,0.03117
261,0.03032
262,0.03069
263,0.03233
264,0.03476
265,0.03684
266,0.03656
267,0.03315
268,0.03028
269,0.02770
270,0.02536
271,0.02311
272,0.02100
273,0.01938
274,0.01849
275,0.01810
276,0.01755
277,0.01666
278,0.01642
279,0.01819
280,0.02203
281,0.02631
282,0.02898
283,0.02929
284,0.02833
285,0.02775
286,0.02823
287,0.02918
288,0.02974
289,0.02960
290,0.02887
291,0.02751
292,0.02513
293,0.02168
294,0.01799
295,0.01546
296,0.01510
297,0.01699
298,0.02062
299,0.02511
300,0.02926
301,0.03185
302,0.03177
303,0.02925
304,0.02735
305,0.02578
306,0.02430
307,0.02245
308,0.02024
309,0.01853
310,0.01854
311,0.02071
312,0.02397
313,0.02640
314,0.02647
315,0.02403
316,0.02029
317,0.01686
318,0.01460
319,0.01338
320,0.01271
321,0.01238
322,0.01251
323,0.01298
324,0.01310
325,0.01216
326,0.01016
327,0.00796
328,0.00660
329,0.00663
330,0.00777
331,0.00926
332,0.01037
333,0.01096
334,0.01133
335,0.01171
336,0.01185
337,0.01038
338,0.00720
339,0.00485
340,0.00309
341,0.00222
342,0.00223
343,0.00277
344,0.00332
345,0.00342
346,0.00297
347,0.00222
348,0.00164
349,0.00165
350,0.00242
351,0.00373
352,0.00505
353,0.00592
354,0.00635
355,0.00680
356,0.00776
357,0.00922
358,0.01070
359,0.00000
360,0.00000
