day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00001
81,0.00001
82,0.00003
83,0.00006
84,0.00012
85,0.00022
86,0.00036
87,0.00057
88,0.00084
89,0.00131
90,0.00176
91,0.00201
92,0.00221
93,0.00237
94,0.00254
95,0.00274
96,0.00299
97,0.00326
98,0.00350
99,0.00365
100,0.00365
101,0.00348
102,0.00318
103,0.00283
104,0.00251
105,0.00233
106,0.00233
107,0.00252
108,0.00283
109,0.00316
110,0.00342
111,0.00353
112,0.00346
113,0.00322
114,0.00287
115,0.00252
116,0.00226
117,0.00214
118,0.00221
119,0.00247
120,0.00286
121,0.00335
122,0.00385
123,0.00431
124,0.00479
125,0.00504
126,0.00514
127,0.00533
128,0.00573
129,0.00649
130,0.00772
131,0.00952
132,0.01190
133,0.01487
134,0.01840
135,0.02245
136,0.02702
137,0.03214
138,0.03785
139,0.04419
140,0.05117
141,0.05876
142,0.06695
143,0.07584
144,0.08570
145,0.09698
146,0.11015
147,0.12542
148,0.14260
149,0.16098
150,0.17949
151,0.19694
152,0.21242
153,0.22559
154,0.23679
155,0.24696
156,0.25732
157,0.26900
158,0.28266
159,0.29830
160,0.32396
161,0.34922
162,0.36463
163,0.37891
164,0.39271
165,0.40700
166,0.42284
167,0.44093
168,0.46138
169,0.48472
170,0.50793
171,0.52920
172,0.54691
173,0.56007
174,0.56848
175,0.57269
176,0.57365
177,0.57247
178,0.57012
179,0.56745
180,0.56522
181,0.56411
182,0.56489
183,0.56825
184,0.57488
185,0.58529
186,0.59977
187,0.61836
188,0.64085
189,0.66674
190,0.70035
191,0.73640
192,0.76814
193,0.79920
194,0.82825
195,0.86409
196,0.89503
197,0.90962
198,0.91689
199,0.91629
200,0.90797
201,0.89294
202,0.87292
203,0.85018
204,0.82714
205,0.80598
206,0.78836
207,0.77524
208,0.76696
209,0.76344
210,0.76445
211,0.76962
212,0.77858
213,0.79081
214,0.80539
215,0.82104
216,0.83608
217,0.84868
218,0.85717
219,0.86040
220,0.85807
221,0.85087
222,0.84045
223,0.82898
224,0.81869
225,0.81132
226,0.80990
227,0.81531
228,0.82142
229,0.83045
230,0.84274
231,0.85879
232,0.87837
233,0.89989
234,0.92259
235,0.94498
236,0.96538
237,0.98206
238,0.99358
239,0.99904
240,0.99839
241,0.99187
242,0.98411
243,0.97712
244,0.97245
245,0.97063
246,0.97105
247,0.97182
248,0.97106
249,0.96729
250,0.95989
251,0.94913
252,0.93567
253,0.92037
254,0.90386
255,0.88639
256,0.86795
257,0.84847
258,0.82810
259,0.80730
260,0.78664
261,0.76154
262,0.73775
263,0.71913
264,0.70033
265,0.68146
266,0.65672
267,0.63256
268,0.61521
269,0.59798
270,0.58062
271,0.56321
272,0.54634
273,0.53077
274,0.51707
275,0.50534
276,0.49517
277,0.48587
278,0.47680
279,0.46754
280,0.45799
281,0.44820
282,0.43824
283,0.42621
284,0.41342
285,0.39956
286,0.38433
287,0.36735
288,0.34860
289,0.32827
290,0.30688
291,0.28524
292,0.26429
293,0.24482
294,0.22731
295,0.21180
296,0.19793
297,0.18513
298,0.17281
299,0.16055
300,0.14824
301,0.13605
302,0.11896
303,0.10408
304,0.09605
305,0.08947
306,0.08409
307,0.07965
308,0.07587
309,0.07247
310,0.06917
311,0.06571
312,0.06185
313,0.05747
314,0.05258
315,0.04737
316,0.04215
317,0.03732
318,0.03326
319,0.03024
320,0.02838
321,0.02756
322,0.02750
323,0.02772
324,0.02768
325,0.02695
326,0.02536
327,0.02296
328,0.02001
329,0.01688
330,0.01393
331,0.01140
332,0.00938
333,0.00783
334,0.00664
335,0.00565
336,0.00477
337,0.00353
338,0.00237
339,0.00171
340,0.00116
341,0.00075
342,0.00046
343,0.00026
344,0.00014
345,0.00007
346,0.00003
347,0.00001
348,0.00001
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
