day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00001
51,0.00003
52,0.00014
53,0.00067
54,0.00162
55,0.00214
56,0.00218
57,0.00171
58,0.00103
59,0.00048
60,0.00017
61,0.00004
62,0.00001
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00002
96,0.00010
97,0.00031
98,0.00076
99,0.00142
100,0.00206
101,0.00227
102,0.00190
103,0.00121
104,0.00057
105,0.00021
106,0.00005
107,0.00001
108,0.00000
109,0.00000
110,0.00001
111,0.00004
112,0.00018
113,0.00052
114,0.00113
115,0.00185
116,0.00230
117,0.00226
118,0.00197
119,0.00186
120,0.00209
121,0.00232
122,0.00217
123,0.00161
124,0.00069
125,0.00038
126,0.00081
127,0.00187
128,0.00352
129,0.00530
130,0.00663
131,0.00727
132,0.00736
133,0.00701
134,0.00607
135,0.00462
136,0.00325
137,0.00265
138,0.00295
139,0.00381
140,0.00501
141,0.00655
142,0.00835
143,0.01019
144,0.01175
145,0.01299
146,0.01466
147,0.01788
148,0.02259
149,0.02751
150,0.03216
151,0.03765
152,0.04529
153,0.05524
154,0.06683
155,0.07976
156,0.09454
157,0.11160
158,0.13026
159,0.14915
160,0.17447
161,0.19421
162,0.20453
163,0.22178
164,0.25065
165,0.28936
166,0.33231
167,0.37360
168,0.41143
169,0.44735
170,0.48336
171,0.52004
172,0.55569
173,0.58755
174,0.61564
175,0.64316
176,0.67080
177,0.69480
178,0.71387
179,0.73318
180,0.75675
181,0.78204
182,0.80562
183,0.82743
184,0.84877
185,0.86877
186,0.88130
187,0.87852
188,0.86229
189,0.84753
190,0.84943
191,0.87000
192,0.90015
193,0.93156
194,0.96058
195,0.98218
196,0.98781
197,0.97913
198,0.96820
199,0.98185
200,0.99312
201,0.98543
202,0.95363
203,0.90578
204,0.85313
205,0.80001
206,0.74306
207,0.67906
208,0.61181
209,0.55184
210,0.51030
211,0.49202
212,0.49324
213,0.50434
214,0.51445
215,0.51598
216,0.51051
217,0.50649
218,0.50802
219,0.51147
220,0.50939
221,0.49709
222,0.47477
223,0.44498
224,0.41140
225,0.37944
226,0.35378
227,0.33487
228,0.31915
229,0.30275
230,0.28473
231,0.26349
232,0.24938
233,0.23704
234,0.22052
235,0.20448
236,0.18962
237,0.17821
238,0.17211
239,0.16980
240,0.16829
241,0.16593
242,0.16280
243,0.15872
244,0.15237
245,0.14238
246,0.12918
247,0.11574
248,0.10534
249,0.09824
250,0.09062
251,0.08166
252,0.07475
253,0.07310
254,0.07504
255,0.07553
256,0.07137
257,0.06296
258,0.05251
259,0.04238
260,0.03485
261,0.03133
262,0.03130
263,0.03241
264,0.03236
265,0.03041
266,0.02549
267,0.01987
268,0.01606
269,0.01290
270,0.01067
271,0.00892
272,0.00709
273,0.00527
274,0.00419
275,0.00444
276,0.00583
277,0.00750
278,0.00866
279,0.00885
280,0.00791
281,0.00620
282,0.00467
283,0.00403
284,0.00407
285,0.00411
286,0.00368
287,0.00289
288,0.00218
289,0.00196
290,0.00216
291,0.00234
292,0.00213
293,0.00164
294,0.00129
295,0.00140
296,0.00189
297,0.00238
298,0.00258
299,0.00257
300,0.00257
301,0.00256
302,0.00207
303,0.00136
304,0.00131
305,0.00170
306,0.00218
307,0.00234
308,0.00211
309,0.00186
310,0.00195
311,0.00225
312,0.00232
313,0.00189
314,0.00117
315,0.00054
316,0.00019
317,0.00005
318,0.00001
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
