day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00013
5,0.00034
6,0.00072
7,0.00124
8,0.00174
9,0.00201
10,0.00191
11,0.00149
12,0.00097
13,0.00052
14,0.00023
15,0.00009
16,0.00003
17,0.00001
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00001
61,0.00002
62,0.00007
63,0.00020
64,0.00046
65,0.00089
66,0.00141
67,0.00184
68,0.00198
69,0.00177
70,0.00132
71,0.00082
72,0.00042
73,0.00018
74,0.00006
75,0.00002
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00001
85,0.00004
86,0.00011
87,0.00028
88,0.00060
89,0.00133
90,0.00195
91,0.00197
92,0.00165
93,0.00116
94,0.00073
95,0.00054
96,0.00063
97,0.00099
98,0.00147
99,0.00186
100,0.00196
101,0.00172
102,0.00127
103,0.00077
104,0.00039
105,0.00017
106,0.00006
107,0.00002
108,0.00001
109,0.00002
110,0.00005
111,0.00015
112,0.00036
113,0.00073
114,0.00122
115,0.00171
116,0.00198
117,0.00191
118,0.00154
119,0.00110
120,0.00087
121,0.00106
122,0.00175
123,0.00286
124,0.00462
125,0.00546
126,0.00497
127,0.00386
128,0.00255
129,0.00143
130,0.00067
131,0.00027
132,0.00009
133,0.00003
134,0.00001
135,0.00003
136,0.00009
137,0.00026
138,0.00063
139,0.00131
140,0.00228
141,0.00341
142,0.00447
143,0.00536
144,0.00633
145,0.00791
146,0.01071
147,0.01532
148,0.02234
149,0.03262
150,0.04707
151,0.06563
152,0.08664
153,0.10705
154,0.12415
155,0.13725
156,0.14799
157,0.15897
158,0.17232
159,0.18920
160,0.22339
161,0.26860
162,0.30682
163,0.34955
164,0.39388
165,0.43492
166,0.47574
167,0.51818
168,0.56297
169,0.60861
170,0.65246
171,0.69227
172,0.72689
173,0.75617
174,0.78102
175,0.80309
176,0.82361
177,0.84278
178,0.86003
179,0.87456
180,0.88563
181,0.89278
182,0.89650
183,0.89796
184,0.89897
185,0.90177
186,0.90852
187,0.92033
188,0.93665
189,0.95529
190,0.97294
191,0.98624
192,0.99291
193,0.99199
194,0.98348
195,0.96803
196,0.94865
197,0.92458
198,0.92323
199,0.93996
200,0.96393
201,0.98629
202,0.99718
203,0.98898
204,0.96019
205,0.91695
206,0.86987
207,0.82863
208,0.79880
209,0.78280
210,0.78047
211,0.78787
212,0.79710
213,0.80036
214,0.79569
215,0.78788
216,0.78353
217,0.78523
218,0.79042
219,0.79453
220,0.79436
221,0.78876
222,0.77783
223,0.76265
224,0.74573
225,0.73044
226,0.71908
227,0.71113
228,0.70357
229,0.69312
230,0.67842
231,0.65405
232,0.62522
233,0.59526
234,0.56252
235,0.53401
236,0.51098
237,0.49719
238,0.49309
239,0.49574
240,0.50181
241,0.51015
242,0.52092
243,0.53185
244,0.53616
245,0.52533
246,0.49544
247,0.45120
248,0.40454
249,0.36848
250,0.35085
251,0.35108
252,0.36108
253,0.36956
254,0.36746
255,0.35177
256,0.32638
257,0.29721
258,0.26884
259,0.24271
260,0.21797
261,0.19349
262,0.16922
263,0.14579
264,0.12359
265,0.10283
266,0.07662
267,0.05718
268,0.04820
269,0.04067
270,0.03368
271,0.02712
272,0.02145
273,0.01712
274,0.01438
275,0.01317
276,0.01312
277,0.01365
278,0.01409
279,0.01389
280,0.01276
281,0.01074
282,0.00816
283,0.00552
284,0.00328
285,0.00169
286,0.00075
287,0.00030
288,0.00014
289,0.00017
290,0.00035
291,0.00072
292,0.00122
293,0.00172
294,0.00201
295,0.00191
296,0.00151
297,0.00098
298,0.00053
299,0.00024
300,0.00009
301,0.00003
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00001
318,0.00005
319,0.00015
320,0.00038
321,0.00077
322,0.00130
323,0.00181
324,0.00204
325,0.00188
326,0.00143
327,0.00090
328,0.00047
329,0.00020
330,0.00007
331,0.00002
332,0.00001
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00001
358,0.00005
359,0.00000
360,0.00000
