day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00284
5,0.00391
6,0.00512
7,0.00631
8,0.00736
9,0.00812
10,0.00847
11,0.00836
12,0.00782
13,0.00692
14,0.00580
15,0.00459
16,0.00344
17,0.00244
18,0.00133
19,0.00061
20,0.00034
21,0.00019
22,0.00010
23,0.00005
24,0.00002
25,0.00001
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00001
116,0.00002
117,0.00005
118,0.00010
119,0.00020
120,0.00038
121,0.00066
122,0.00109
123,0.00170
124,0.00301
125,0.00466
126,0.00585
127,0.00697
128,0.00787
129,0.00842
130,0.00855
131,0.00824
132,0.00759
133,0.00678
134,0.00598
135,0.00539
136,0.00516
137,0.00537
138,0.00605
139,0.00717
140,0.00866
141,0.01042
142,0.01240
143,0.01455
144,0.01694
145,0.01968
146,0.02295
147,0.02702
148,0.03204
149,0.03805
150,0.04504
151,0.05282
152,0.06119
153,0.06992
154,0.07885
155,0.08795
156,0.09734
157,0.10726
158,0.11803
159,0.12997
160,0.15085
161,0.17499
162,0.19328
163,0.21291
164,0.23349
165,0.25461
166,0.27588
167,0.29702
168,0.31794
169,0.33882
170,0.36010
171,0.38246
172,0.40672
173,0.43284
174,0.46224
175,0.49546
176,0.53276
177,0.57418
178,0.61948
179,0.66784
180,0.71790
181,0.76790
182,0.81581
183,0.85950
184,0.89704
185,0.92700
186,0.94876
187,0.96255
188,0.96946
189,0.97117
190,0.96972
191,0.96706
192,0.96486
193,0.96417
194,0.96542
195,0.96877
196,0.97382
197,0.97644
198,0.97468
199,0.96940
200,0.96056
201,0.94886
202,0.93560
203,0.92194
204,0.91067
205,0.90377
206,0.90266
207,0.90800
208,0.91954
209,0.93604
210,0.95533
211,0.97430
212,0.98967
213,0.99853
214,0.99877
215,0.98934
216,0.97048
217,0.94368
218,0.91142
219,0.87676
220,0.84284
221,0.81243
222,0.78752
223,0.76914
224,0.75721
225,0.75076
226,0.74814
227,0.74725
228,0.74601
229,0.74298
230,0.73726
231,0.72596
232,0.70672
233,0.68647
234,0.66850
235,0.64924
236,0.62908
237,0.60844
238,0.58794
239,0.56842
240,0.55092
241,0.53659
242,0.52630
243,0.52021
244,0.51793
245,0.51853
246,0.52079
247,0.52343
248,0.52546
249,0.52634
250,0.52602
251,0.52474
252,0.52287
253,0.52067
254,0.51810
255,0.51482
256,0.51035
257,0.50416
258,0.49598
259,0.48582
260,0.47377
261,0.45989
262,0.44408
263,0.42622
264,0.40623
265,0.38431
266,0.35087
267,0.31549
268,0.29196
269,0.27231
270,0.25540
271,0.24134
272,0.23005
273,0.22122
274,0.21445
275,0.20951
276,0.20613
277,0.20406
278,0.20303
279,0.20271
280,0.20286
281,0.20327
282,0.20369
283,0.20385
284,0.20334
285,0.20166
286,0.19827
287,0.19267
288,0.18444
289,0.17353
290,0.16037
291,0.14555
292,0.12982
293,0.11398
294,0.09880
295,0.08491
296,0.07278
297,0.06266
298,0.05460
299,0.04843
300,0.04385
301,0.04051
302,0.03710
303,0.03473
304,0.03360
305,0.03266
306,0.03178
307,0.03078
308,0.02945
309,0.02766
310,0.02534
311,0.02257
312,0.01953
313,0.01647
314,0.01369
315,0.01144
316,0.00989
317,0.00912
318,0.00908
319,0.00966
320,0.01064
321,0.01177
322,0.01283
323,0.01365
324,0.01411
325,0.01412
326,0.01367
327,0.01278
328,0.01153
329,0.01000
330,0.00834
331,0.00665
332,0.00507
333,0.00368
334,0.00254
335,0.00166
336,0.00104
337,0.00049
338,0.00019
339,0.00010
340,0.00005
341,0.00002
342,0.00001
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00001
350,0.00001
351,0.00003
352,0.00007
353,0.00013
354,0.00026
355,0.00047
356,0.00080
357,0.00130
358,0.00199
359,0.00000
360,0.00000
