day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00764
5,0.00777
6,0.00803
7,0.00843
8,0.00896
9,0.00955
10,0.01008
11,0.01042
12,0.01049
13,0.01022
14,0.00962
15,0.00874
16,0.00766
17,0.00648
18,0.00475
19,0.00325
20,0.00249
21,0.00195
22,0.00165
23,0.00156
24,0.00161
25,0.00176
26,0.00192
27,0.00202
28,0.00203
29,0.00192
30,0.00171
31,0.00142
32,0.00111
33,0.00081
34,0.00055
35,0.00035
36,0.00021
37,0.00012
38,0.00006
39,0.00003
40,0.00001
41,0.00001
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00001
78,0.00002
79,0.00005
80,0.00010
81,0.00018
82,0.00031
83,0.00049
84,0.00074
85,0.00105
86,0.00140
87,0.00176
88,0.00212
89,0.00263
90,0.00313
91,0.00352
92,0.00398
93,0.00451
94,0.00506
95,0.00554
96,0.00586
97,0.00595
98,0.00579
99,0.00541
100,0.00491
101,0.00441
102,0.00405
103,0.00392
104,0.00404
105,0.00440
106,0.00489
107,0.00540
108,0.00579
109,0.00596
110,0.00588
111,0.00558
112,0.00514
113,0.00464
114,0.00415
115,0.00370
116,0.00331
117,0.00296
118,0.00264
119,0.00236
120,0.00214
121,0.00201
122,0.00202
123,0.00220
124,0.00282
125,0.00370
126,0.00437
127,0.00503
128,0.00566
129,0.00626
130,0.00684
131,0.00743
132,0.00801
133,0.00856
134,0.00906
135,0.00949
136,0.00988
137,0.01031
138,0.01093
139,0.01190
140,0.01342
141,0.01569
142,0.01894
143,0.02340
144,0.02946
145,0.03736
146,0.04743
147,0.05998
148,0.07525
149,0.09331
150,0.11407
151,0.13727
152,0.16254
153,0.18956
154,0.21818
155,0.24857
156,0.28124
157,0.31695
158,0.35650
159,0.40054
160,0.47604
161,0.55996
162,0.61950
163,0.67969
164,0.73857
165,0.79413
166,0.84444
167,0.88796
168,0.92376
169,0.95168
170,0.97226
171,0.98652
172,0.99553
173,1.00000
174,1.00000
175,0.99495
176,0.98395
177,0.96629
178,0.94187
179,0.91203
180,0.87924
181,0.84608
182,0.81477
183,0.78670
184,0.76216
185,0.74046
186,0.72036
187,0.70044
188,0.67957
189,0.65715
190,0.63319
191,0.60817
192,0.58293
193,0.55841
194,0.53545
195,0.50544
196,0.48000
197,0.46521
198,0.45113
199,0.43710
200,0.42270
201,0.40789
202,0.39295
203,0.37836
204,0.36471
205,0.35253
206,0.34228
207,0.33423
208,0.32843
209,0.32463
210,0.32232
211,0.32069
212,0.31891
213,0.31627
214,0.31263
215,0.30840
216,0.30437
217,0.30141
218,0.30022
219,0.30106
220,0.30371
221,0.30750
222,0.31154
223,0.31481
224,0.31643
225,0.31576
226,0.31249
227,0.30674
228,0.29897
229,0.28993
230,0.28044
231,0.26685
232,0.25462
233,0.24760
234,0.24172
235,0.23744
236,0.23526
237,0.23556
238,0.23840
239,0.24338
240,0.24968
241,0.25620
242,0.26181
243,0.26555
244,0.26680
245,0.26539
246,0.26158
247,0.25593
248,0.24933
249,0.24273
250,0.23689
251,0.23234
252,0.22927
253,0.22756
254,0.22683
255,0.22655
256,0.22621
257,0.22543
258,0.22405
259,0.22211
260,0.21978
261,0.21718
262,0.21430
263,0.21094
264,0.20671
265,0.20121
266,0.19000
267,0.17651
268,0.16686
269,0.15751
270,0.14900
271,0.14169
272,0.13573
273,0.13111
274,0.12769
275,0.12534
276,0.12389
277,0.12320
278,0.12313
279,0.12348
280,0.12404
281,0.12460
282,0.12495
283,0.12491
284,0.12435
285,0.12311
286,0.12099
287,0.11777
288,0.11326
289,0.10735
290,0.10009
291,0.09172
292,0.08267
293,0.07348
294,0.06474
295,0.05701
296,0.05065
297,0.04584
298,0.04248
299,0.04029
300,0.03891
301,0.03791
302,0.03658
303,0.03529
304,0.03452
305,0.03392
306,0.03351
307,0.03324
308,0.03302
309,0.03274
310,0.03234
311,0.03179
312,0.03114
313,0.03044
314,0.02976
315,0.02911
316,0.02841
317,0.02749
318,0.02622
319,0.02452
320,0.02244
321,0.02013
322,0.01782
323,0.01573
324,0.01405
325,0.01285
326,0.01213
327,0.01183
328,0.01186
329,0.01212
330,0.01253
331,0.01303
332,0.01357
333,0.01409
334,0.01450
335,0.01471
336,0.01463
337,0.01383
338,0.01242
339,0.01119
340,0.00989
341,0.00864
342,0.00752
343,0.00662
344,0.00597
345,0.00559
346,0.00544
347,0.00550
348,0.00569
349,0.00596
350,0.00625
351,0.00652
352,0.00676
353,0.00696
354,0.00714
355,0.00728
356,0.00740
357,0.00749
358,0.00756
359,0.00000
360,0.00000
