day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01916
5,0.01998
6,0.02032
7,0.02022
8,0.01974
9,0.01898
10,0.01804
11,0.01700
12,0.01588
13,0.01471
14,0.01351
15,0.01230
16,0.01112
17,0.01003
18,0.00867
19,0.00758
20,0.00698
21,0.00642
22,0.00588
23,0.00532
24,0.00474
25,0.00413
26,0.00352
27,0.00291
28,0.00233
29,0.00180
30,0.00134
31,0.00095
32,0.00065
33,0.00042
34,0.00026
35,0.00015
36,0.00009
37,0.00005
38,0.00002
39,0.00001
40,0.00001
41,0.00001
42,0.00002
43,0.00005
44,0.00009
45,0.00018
46,0.00031
47,0.00052
48,0.00083
49,0.00127
50,0.00183
51,0.00250
52,0.00324
53,0.00431
54,0.00517
55,0.00549
56,0.00559
57,0.00547
58,0.00518
59,0.00477
60,0.00429
61,0.00380
62,0.00331
63,0.00284
64,0.00239
65,0.00196
66,0.00156
67,0.00120
68,0.00088
69,0.00061
70,0.00041
71,0.00026
72,0.00015
73,0.00009
74,0.00005
75,0.00002
76,0.00001
77,0.00001
78,0.00001
79,0.00002
80,0.00003
81,0.00007
82,0.00014
83,0.00028
84,0.00052
85,0.00090
86,0.00149
87,0.00234
88,0.00349
89,0.00582
90,0.00863
91,0.01064
92,0.01257
93,0.01423
94,0.01548
95,0.01623
96,0.01644
97,0.01618
98,0.01561
99,0.01493
100,0.01431
101,0.01389
102,0.01372
103,0.01378
104,0.01398
105,0.01418
106,0.01425
107,0.01408
108,0.01362
109,0.01287
110,0.01189
111,0.01078
112,0.00968
113,0.00870
114,0.00801
115,0.00768
116,0.00776
117,0.00826
118,0.00914
119,0.01035
120,0.01184
121,0.01359
122,0.01561
123,0.01797
124,0.02238
125,0.02791
126,0.03246
127,0.03768
128,0.04357
129,0.05014
130,0.05745
131,0.06560
132,0.07479
133,0.08523
134,0.09713
135,0.11061
136,0.12572
137,0.14241
138,0.16058
139,0.18014
140,0.20106
141,0.22341
142,0.24738
143,0.27325
144,0.30128
145,0.33170
146,0.36467
147,0.39986
148,0.43678
149,0.47474
150,0.51291
151,0.55051
152,0.58692
153,0.60843
154,0.62811
155,0.64674
156,0.66525
157,0.68438
158,0.70453
159,0.72569
160,0.75868
161,0.78898
162,0.80600
163,0.82051
164,0.83232
165,0.84164
166,0.84918
167,0.85599
168,0.86326
169,0.87211
170,0.89467
171,0.91989
172,0.93490
173,0.95017
174,0.96443
175,0.97639
176,0.98485
177,0.98904
178,0.98869
179,0.97106
180,0.94864
181,0.92289
182,0.89517
183,0.86659
184,0.83784
185,0.80923
186,0.78077
187,0.75235
188,0.72392
189,0.69575
190,0.66846
191,0.64282
192,0.61973
193,0.60000
194,0.58434
195,0.57262
196,0.56502
197,0.56223
198,0.56292
199,0.56594
200,0.56996
201,0.57373
202,0.57626
203,0.57696
204,0.57577
205,0.57108
206,0.56431
207,0.55951
208,0.55517
209,0.55130
210,0.54766
211,0.54388
212,0.53972
213,0.53509
214,0.53007
215,0.52482
216,0.51954
217,0.51434
218,0.50918
219,0.50389
220,0.49822
221,0.49188
222,0.48481
223,0.47704
224,0.46869
225,0.45992
226,0.45093
227,0.44195
228,0.43326
229,0.42518
230,0.41798
231,0.41137
232,0.40564
233,0.40103
234,0.39672
235,0.39230
236,0.38754
237,0.38240
238,0.37704
239,0.37185
240,0.36721
241,0.36322
242,0.36015
243,0.35813
244,0.35661
245,0.35527
246,0.35393
247,0.35246
248,0.35080
249,0.34887
250,0.34649
251,0.34338
252,0.33922
253,0.33374
254,0.32686
255,0.31875
256,0.30988
257,0.30082
258,0.29221
259,0.28444
260,0.27766
261,0.27152
262,0.26547
263,0.25888
264,0.25128
265,0.24238
266,0.22799
267,0.21237
268,0.20204
269,0.19235
270,0.18354
271,0.17564
272,0.16852
273,0.16200
274,0.15597
275,0.15048
276,0.14572
277,0.14190
278,0.13922
279,0.13769
280,0.13712
281,0.13714
282,0.13725
283,0.13696
284,0.13587
285,0.13374
286,0.13052
287,0.12635
288,0.12146
289,0.11617
290,0.11081
291,0.10565
292,0.10096
293,0.09687
294,0.09341
295,0.09053
296,0.08813
297,0.08604
298,0.08408
299,0.08211
300,0.08003
301,0.07784
302,0.07460
303,0.07186
304,0.07065
305,0.07004
306,0.06998
307,0.07028
308,0.07061
309,0.07058
310,0.06986
311,0.06822
312,0.06555
313,0.06190
314,0.05743
315,0.05242
316,0.04717
317,0.04196
318,0.03705
319,0.03259
320,0.02870
321,0.02538
322,0.02262
323,0.02038
324,0.01863
325,0.01730
326,0.01632
327,0.01564
328,0.01519
329,0.01492
330,0.01478
331,0.01475
332,0.01480
333,0.01491
334,0.01506
335,0.01519
336,0.01522
337,0.01487
338,0.01394
339,0.01288
340,0.01153
341,0.01003
342,0.00853
343,0.00717
344,0.00608
345,0.00531
346,0.00491
347,0.00485
348,0.00510
349,0.00561
350,0.00636
351,0.00730
352,0.00843
353,0.00976
354,0.01126
355,0.01292
356,0.01468
357,0.01641
358,0.01797
359,0.00000
360,0.00000
