day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.03454
5,0.03500
6,0.03499
7,0.03448
8,0.03347
9,0.03196
10,0.03001
11,0.02769
12,0.02512
13,0.02250
14,0.01997
15,0.01763
16,0.01557
17,0.01384
18,0.01197
19,0.01091
20,0.01081
21,0.01116
22,0.01190
23,0.01292
24,0.01403
25,0.01505
26,0.01580
27,0.01615
28,0.01601
29,0.01544
30,0.01452
31,0.01335
32,0.01208
33,0.01084
34,0.00974
35,0.00886
36,0.00823
37,0.00783
38,0.00759
39,0.00739
40,0.00715
41,0.00678
42,0.00624
43,0.00554
44,0.00471
45,0.00383
46,0.00298
47,0.00222
48,0.00160
49,0.00113
50,0.00084
51,0.00073
52,0.00080
53,0.00127
54,0.00209
55,0.00283
56,0.00365
57,0.00447
58,0.00520
59,0.00577
60,0.00611
61,0.00621
62,0.00611
63,0.00589
64,0.00562
65,0.00533
66,0.00508
67,0.00486
68,0.00467
69,0.00451
70,0.00440
71,0.00433
72,0.00433
73,0.00442
74,0.00461
75,0.00492
76,0.00534
77,0.00587
78,0.00647
79,0.00710
80,0.00770
81,0.00820
82,0.00856
83,0.00876
84,0.00880
85,0.00874
86,0.00867
87,0.00870
88,0.00894
89,0.00996
90,0.01169
91,0.01318
92,0.01475
93,0.01618
94,0.01731
95,0.01804
96,0.01841
97,0.01855
98,0.01868
99,0.01898
100,0.01961
101,0.02058
102,0.02183
103,0.02316
104,0.02435
105,0.02520
106,0.02563
107,0.02565
108,0.02542
109,0.02519
110,0.02524
111,0.02582
112,0.02715
113,0.02927
114,0.03213
115,0.03562
116,0.03956
117,0.04370
118,0.04774
119,0.05141
120,0.05447
121,0.05683
122,0.05859
123,0.06012
124,0.06362
125,0.07050
126,0.07884
127,0.09092
128,0.10741
129,0.12802
130,0.15234
131,0.17972
132,0.20933
133,0.24026
134,0.27165
135,0.30268
136,0.33268
137,0.36122
138,0.38821
139,0.41394
140,0.43914
141,0.46487
142,0.49230
143,0.52249
144,0.55607
145,0.59320
146,0.63291
147,0.67372
148,0.71388
149,0.75156
150,0.78521
151,0.81382
152,0.83705
153,0.85530
154,0.86958
155,0.88130
156,0.89202
157,0.90310
158,0.91549
159,0.92947
160,0.95248
161,0.97472
162,0.98670
163,0.99522
164,0.99971
165,1.00000
166,0.99626
167,0.98880
168,0.97798
169,0.96414
170,0.94759
171,0.92866
172,0.90770
173,0.88511
174,0.86121
175,0.83624
176,0.81026
177,0.78334
178,0.75566
179,0.72794
180,0.70139
181,0.67751
182,0.65781
183,0.64332
184,0.63424
185,0.62982
186,0.62847
187,0.62813
188,0.62680
189,0.62299
190,0.61600
191,0.60599
192,0.59379
193,0.58051
194,0.56725
195,0.54902
196,0.53265
197,0.52253
198,0.51267
199,0.50295
200,0.49345
201,0.48435
202,0.47581
203,0.46796
204,0.46076
205,0.45408
206,0.44772
207,0.44146
208,0.43517
209,0.42878
210,0.42240
211,0.41622
212,0.41057
213,0.40565
214,0.40157
215,0.39821
216,0.39532
217,0.39253
218,0.38945
219,0.38577
220,0.38130
221,0.37599
222,0.36992
223,0.36324
224,0.35613
225,0.34875
226,0.34120
227,0.33358
228,0.32595
229,0.31846
230,0.31131
231,0.30186
232,0.29412
233,0.29021
234,0.28719
235,0.28498
236,0.28350
237,0.28270
238,0.28256
239,0.28306
240,0.28416
241,0.28578
242,0.28775
243,0.28983
244,0.29166
245,0.29278
246,0.29284
247,0.29159
248,0.28896
249,0.28503
250,0.27997
251,0.27397
252,0.26719
253,0.25971
254,0.25160
255,0.24289
256,0.23366
257,0.22407
258,0.21432
259,0.20463
260,0.19524
261,0.18630
262,0.17798
263,0.17036
264,0.16351
265,0.15746
266,0.14995
267,0.14377
268,0.14029
269,0.13717
270,0.13436
271,0.13197
272,0.13012
273,0.12894
274,0.12851
275,0.12876
276,0.12948
277,0.13042
278,0.13126
279,0.13176
280,0.13176
281,0.13121
282,0.13008
283,0.12839
284,0.12614
285,0.12335
286,0.12003
287,0.11620
288,0.11194
289,0.10734
290,0.10255
291,0.09777
292,0.09322
293,0.08914
294,0.08576
295,0.08328
296,0.08177
297,0.08112
298,0.08110
299,0.08140
300,0.08172
301,0.08185
302,0.08176
303,0.08199
304,0.08295
305,0.08480
306,0.08748
307,0.09059
308,0.09340
309,0.09509
310,0.09484
311,0.09208
312,0.08665
313,0.07907
314,0.07005
315,0.06045
316,0.05107
317,0.04258
318,0.03543
319,0.02982
320,0.02577
321,0.02313
322,0.02165
323,0.02100
324,0.02083
325,0.02078
326,0.02059
327,0.02008
328,0.01920
329,0.01807
330,0.01690
331,0.01596
332,0.01544
333,0.01549
334,0.01614
335,0.01731
336,0.01881
337,0.02113
338,0.02289
339,0.02342
340,0.02343
341,0.02301
342,0.02231
343,0.02151
344,0.02076
345,0.02018
346,0.01981
347,0.01965
348,0.01975
349,0.02013
350,0.02085
351,0.02192
352,0.02334
353,0.02504
354,0.02692
355,0.02885
356,0.03070
357,0.03233
358,0.03365
359,0.00000
360,0.00000
