day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00001
88,0.00002
89,0.00008
90,0.00026
91,0.00052
92,0.00093
93,0.00147
94,0.00209
95,0.00266
96,0.00304
97,0.00313
98,0.00293
99,0.00256
100,0.00221
101,0.00210
102,0.00242
103,0.00324
104,0.00452
105,0.00607
106,0.00764
107,0.00896
108,0.00985
109,0.01027
110,0.01030
111,0.01012
112,0.00991
113,0.00990
114,0.01030
115,0.01127
116,0.01297
117,0.01553
118,0.01902
119,0.02347
120,0.02886
121,0.03518
122,0.04262
123,0.05169
124,0.07061
125,0.09646
126,0.11804
127,0.14138
128,0.16476
129,0.18695
130,0.20770
131,0.22774
132,0.24822
133,0.27006
134,0.29367
135,0.31891
136,0.34567
137,0.37425
138,0.40539
139,0.44022
140,0.48002
141,0.52595
142,0.57881
143,0.63867
144,0.70459
145,0.77428
146,0.84380
147,0.90740
148,0.95823
149,0.99014
150,1.00000
151,0.98944
152,0.96450
153,0.93320
154,0.90251
155,0.87651
156,0.85639
157,0.84185
158,0.83146
159,0.82362
160,0.81115
161,0.79160
162,0.77122
163,0.74590
164,0.71863
165,0.69436
166,0.67964
167,0.68153
168,0.70560
169,0.75273
170,0.81624
171,0.88135
172,0.92853
173,0.94030
174,0.90836
175,0.83718
176,0.74179
177,0.64137
178,0.55263
179,0.48489
180,0.43960
181,0.41528
182,0.41005
183,0.42247
184,0.45038
185,0.48914
186,0.53084
187,0.56573
188,0.58537
189,0.58595
190,0.56975
191,0.54394
192,0.51730
193,0.49687
194,0.48617
195,0.48914
196,0.50587
197,0.52097
198,0.53349
199,0.53771
200,0.52768
201,0.50187
202,0.46283
203,0.41671
204,0.37118
205,0.33286
206,0.30559
207,0.29009
208,0.28480
209,0.28721
210,0.29494
211,0.30592
212,0.31817
213,0.32930
214,0.33651
215,0.33717
216,0.32969
217,0.31429
218,0.29324
219,0.27021
220,0.24916
221,0.23316
222,0.22381
223,0.22096
224,0.22306
225,0.22843
226,0.23565
227,0.24368
228,0.25153
229,0.25786
230,0.26073
231,0.25322
232,0.23145
233,0.20883
234,0.18348
235,0.15921
236,0.13979
237,0.12807
238,0.12514
239,0.12985
240,0.13886
241,0.14757
242,0.15170
243,0.14879
244,0.13879
245,0.12434
246,0.10840
247,0.09339
248,0.08082
249,0.07135
250,0.06504
251,0.06141
252,0.05959
253,0.05848
254,0.05701
255,0.05450
256,0.05075
257,0.04612
258,0.04129
259,0.03697
260,0.03369
261,0.03155
262,0.03026
263,0.02923
264,0.02789
265,0.02591
266,0.02192
267,0.01783
268,0.01562
269,0.01401
270,0.01304
271,0.01265
272,0.01277
273,0.01324
274,0.01384
275,0.01428
276,0.01426
277,0.01362
278,0.01235
279,0.01067
280,0.00888
281,0.00723
282,0.00587
283,0.00475
284,0.00377
285,0.00288
286,0.00205
287,0.00134
288,0.00079
289,0.00043
290,0.00021
291,0.00009
292,0.00004
293,0.00001
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00001
304,0.00002
305,0.00005
306,0.00011
307,0.00024
308,0.00048
309,0.00087
310,0.00140
311,0.00202
312,0.00261
313,0.00301
314,0.00312
315,0.00290
316,0.00243
317,0.00183
318,0.00124
319,0.00075
320,0.00041
321,0.00020
322,0.00009
323,0.00003
324,0.00001
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
