day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00001
68,0.00003
69,0.00010
70,0.00026
71,0.00057
72,0.00107
73,0.00168
74,0.00221
75,0.00244
76,0.00229
77,0.00181
78,0.00121
79,0.00069
80,0.00033
81,0.00013
82,0.00005
83,0.00001
84,0.00000
85,0.00001
86,0.00003
87,0.00009
88,0.00024
89,0.00090
90,0.00216
91,0.00331
92,0.00435
93,0.00493
94,0.00488
95,0.00435
96,0.00372
97,0.00330
98,0.00307
99,0.00289
100,0.00269
101,0.00262
102,0.00287
103,0.00352
104,0.00438
105,0.00511
106,0.00555
107,0.00584
108,0.00641
109,0.00771
110,0.00984
111,0.01248
112,0.01495
113,0.01653
114,0.01677
115,0.01567
116,0.01364
117,0.01126
118,0.00908
119,0.00747
120,0.00668
121,0.00692
122,0.00828
123,0.01054
124,0.01416
125,0.01612
126,0.01561
127,0.01398
128,0.01206
129,0.01082
130,0.01088
131,0.01216
132,0.01395
133,0.01532
134,0.01566
135,0.01490
136,0.01339
137,0.01162
138,0.00998
139,0.00870
140,0.00790
141,0.00755
142,0.00744
143,0.00724
144,0.00678
145,0.00615
146,0.00577
147,0.00625
148,0.00812
149,0.01150
150,0.01600
151,0.02077
152,0.02498
153,0.02832
154,0.03106
155,0.03358
156,0.03586
157,0.03728
158,0.03693
159,0.03434
160,0.02730
161,0.02019
162,0.01744
163,0.01703
164,0.01889
165,0.02233
166,0.02625
167,0.02964
168,0.03205
169,0.03362
170,0.03468
171,0.03530
172,0.03541
173,0.03509
174,0.03477
175,0.03501
176,0.03607
177,0.03783
178,0.04016
179,0.04333
180,0.04809
181,0.05499
182,0.06374
183,0.07325
184,0.08253
185,0.09164
186,0.10178
187,0.11443
188,0.13045
189,0.14977
190,0.17174
191,0.19549
192,0.22010
193,0.24492
194,0.27003
195,0.31000
196,0.35323
197,0.38419
198,0.41717
199,0.45278
200,0.49076
201,0.52931
202,0.56560
203,0.59702
204,0.62211
205,0.64077
206,0.65473
207,0.66787
208,0.68521
209,0.71078
210,0.74520
211,0.78560
212,0.82798
213,0.86957
214,0.90912
215,0.94524
216,0.97496
217,0.99422
218,1.00000
219,0.99214
220,0.97362
221,0.94934
222,0.92440
223,0.90283
224,0.88698
225,0.87727
226,0.87225
227,0.86904
228,0.86455
229,0.85689
230,0.84578
231,0.82328
232,0.79461
233,0.77065
234,0.74385
235,0.71632
236,0.69058
237,0.66855
238,0.65115
239,0.63934
240,0.63490
241,0.63968
242,0.65306
243,0.67026
244,0.68357
245,0.68624
246,0.67603
247,0.65631
248,0.63449
249,0.61912
250,0.61703
251,0.63065
252,0.65613
253,0.68329
254,0.69890
255,0.69267
256,0.66280
257,0.61729
258,0.56976
259,0.53229
260,0.50987
261,0.49864
262,0.48944
263,0.47452
264,0.45052
265,0.41870
266,0.36530
267,0.31556
268,0.28834
269,0.26635
270,0.24937
271,0.23652
272,0.22640
273,0.21772
274,0.21009
275,0.20382
276,0.19851
277,0.19211
278,0.18186
279,0.16663
280,0.14845
281,0.13142
282,0.11887
283,0.11133
284,0.10696
285,0.10348
286,0.09950
287,0.09460
288,0.08882
289,0.08232
290,0.07519
291,0.06752
292,0.05944
293,0.05126
294,0.04352
295,0.03663
296,0.03068
297,0.02558
298,0.02132
299,0.01808
300,0.01594
301,0.01456
302,0.01240
303,0.00913
304,0.00655
305,0.00449
306,0.00360
307,0.00419
308,0.00616
309,0.00887
310,0.01124
311,0.01217
312,0.01115
313,0.00862
314,0.00560
315,0.00309
316,0.00145
317,0.00058
318,0.00020
319,0.00006
320,0.00002
321,0.00000
322,0.00000
323,0.00000
324,0.00001
325,0.00003
326,0.00009
327,0.00023
328,0.00051
329,0.00096
330,0.00153
331,0.00207
332,0.00239
333,0.00234
334,0.00194
335,0.00136
336,0.00080
337,0.00028
338,0.00006
339,0.00002
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
