day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00014
5,0.00032
6,0.00065
7,0.00124
8,0.00219
9,0.00359
10,0.00538
11,0.00742
12,0.00939
13,0.01095
14,0.01177
15,0.01165
16,0.01065
17,0.00897
18,0.00599
19,0.00330
20,0.00200
21,0.00112
22,0.00057
23,0.00027
24,0.00012
25,0.00005
26,0.00002
27,0.00001
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00001
89,0.00004
90,0.00012
91,0.00025
92,0.00050
93,0.00090
94,0.00150
95,0.00230
96,0.00327
97,0.00428
98,0.00517
99,0.00577
100,0.00594
101,0.00563
102,0.00490
103,0.00392
104,0.00290
105,0.00198
106,0.00126
107,0.00076
108,0.00047
109,0.00038
110,0.00046
111,0.00073
112,0.00121
113,0.00191
114,0.00281
115,0.00384
116,0.00489
117,0.00583
118,0.00656
119,0.00707
120,0.00747
121,0.00799
122,0.00892
123,0.01047
124,0.01431
125,0.01954
126,0.02371
127,0.02814
128,0.03266
129,0.03727
130,0.04218
131,0.04783
132,0.05480
133,0.06366
134,0.07483
135,0.08852
136,0.10475
137,0.12350
138,0.14485
139,0.16896
140,0.19612
141,0.22650
142,0.26004
143,0.29675
144,0.33672
145,0.38008
146,0.49071
147,0.59768
148,0.69634
149,0.78434
150,0.85927
151,0.92013
152,0.96705
153,0.99691
154,0.98410
155,0.96301
156,0.93462
157,0.90167
158,0.86776
159,0.83602
160,0.80853
161,0.78538
162,0.76531
163,0.74643
164,0.72662
165,0.70453
166,0.68011
167,0.65468
168,0.63066
169,0.61038
170,0.59525
171,0.58513
172,0.57821
173,0.57142
174,0.56154
175,0.54626
176,0.52501
177,0.49908
178,0.47115
179,0.44440
180,0.42157
181,0.40431
182,0.39311
183,0.38744
184,0.38695
185,0.39207
186,0.39570
187,0.39654
188,0.39323
189,0.38535
190,0.37333
191,0.35827
192,0.34166
193,0.32523
194,0.31065
195,0.29988
196,0.29515
197,0.29309
198,0.29296
199,0.29317
200,0.29218
201,0.28898
202,0.28325
203,0.27539
204,0.26635
205,0.25721
206,0.24870
207,0.24102
208,0.23392
209,0.22691
210,0.21960
211,0.21194
212,0.20432
213,0.19749
214,0.19231
215,0.18945
216,0.18909
217,0.19065
218,0.19291
219,0.19436
220,0.19398
221,0.18988
222,0.18268
223,0.17357
224,0.16390
225,0.15521
226,0.14870
227,0.14504
228,0.14428
229,0.14586
230,0.14882
231,0.15263
232,0.15317
233,0.15074
234,0.14568
235,0.13810
236,0.12871
237,0.11831
238,0.10787
239,0.09835
240,0.09057
241,0.08513
242,0.08230
243,0.08206
244,0.08398
245,0.08738
246,0.09144
247,0.09531
248,0.09824
249,0.09965
250,0.09922
251,0.09686
252,0.09283
253,0.08779
254,0.08261
255,0.07835
256,0.07588
257,0.07573
258,0.07791
259,0.08182
260,0.08645
261,0.09059
262,0.09319
263,0.09371
264,0.09219
265,0.08922
266,0.08394
267,0.07948
268,0.07742
269,0.07576
270,0.07401
271,0.07170
272,0.06850
273,0.06428
274,0.05918
275,0.05339
276,0.04711
277,0.04054
278,0.03389
279,0.02743
280,0.02148
281,0.01636
282,0.01235
283,0.00962
284,0.00817
285,0.00786
286,0.00839
287,0.00940
288,0.01055
289,0.01155
290,0.01226
291,0.01269
292,0.01299
293,0.01335
294,0.01392
295,0.01475
296,0.01580
297,0.01697
298,0.01818
299,0.01937
300,0.02054
301,0.02163
302,0.02278
303,0.02288
304,0.02188
305,0.01996
306,0.01724
307,0.01401
308,0.01066
309,0.00757
310,0.00501
311,0.00311
312,0.00180
313,0.00097
314,0.00049
315,0.00023
316,0.00010
317,0.00004
318,0.00001
319,0.00001
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00001
357,0.00002
358,0.00006
359,0.00000
360,0.00000
