day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.03483
5,0.03458
6,0.03391
7,0.03308
8,0.03233
9,0.03177
10,0.03133
11,0.03081
12,0.02999
13,0.02872
14,0.02703
15,0.02506
16,0.02306
17,0.02121
18,0.01897
19,0.01726
20,0.01647
21,0.01602
22,0.01598
23,0.01634
24,0.01697
25,0.01765
26,0.01814
27,0.01828
28,0.01802
29,0.01740
30,0.01650
31,0.01544
32,0.01430
33,0.01317
34,0.01210
35,0.01115
36,0.01033
37,0.00962
38,0.00897
39,0.00836
40,0.00784
41,0.00752
42,0.00756
43,0.00806
44,0.00908
45,0.01059
46,0.01249
47,0.01463
48,0.01683
49,0.01890
50,0.02066
51,0.02200
52,0.02285
53,0.02327
54,0.02314
55,0.02293
56,0.02268
57,0.02233
58,0.02179
59,0.02101
60,0.02013
61,0.01942
62,0.01914
63,0.01947
64,0.02041
65,0.02181
66,0.02351
67,0.02539
68,0.02751
69,0.03009
70,0.03346
71,0.03788
72,0.04344
73,0.04990
74,0.05670
75,0.06308
76,0.06826
77,0.07171
78,0.07332
79,0.07345
80,0.07288
81,0.07253
82,0.07314
83,0.07527
84,0.07922
85,0.08503
86,0.09255
87,0.10158
88,0.11188
89,0.12950
90,0.14893
91,0.16269
92,0.17664
93,0.19045
94,0.20401
95,0.21746
96,0.23114
97,0.24540
98,0.26046
99,0.27634
100,0.29292
101,0.31006
102,0.32746
103,0.34458
104,0.36058
105,0.37450
106,0.38576
107,0.39448
108,0.40168
109,0.40909
110,0.41866
111,0.43201
112,0.45011
113,0.47314
114,0.50074
115,0.53230
116,0.56724
117,0.60501
118,0.64489
119,0.68557
120,0.72479
121,0.76002
122,0.78908
123,0.81100
124,0.83156
125,0.84468
126,0.85175
127,0.85910
128,0.86722
129,0.87644
130,0.88722
131,0.90006
132,0.91512
133,0.93190
134,0.94929
135,0.96584
136,0.98017
137,0.99119
138,0.99802
139,1.00000
140,0.99715
141,0.98975
142,0.97846
143,0.96406
144,0.94728
145,0.92861
146,0.90831
147,0.88640
148,0.86277
149,0.83723
150,0.80971
151,0.78054
152,0.75055
153,0.72101
154,0.69335
155,0.66873
156,0.64779
157,0.63057
158,0.61656
159,0.60492
160,0.58914
161,0.57267
162,0.56042
163,0.54723
164,0.53351
165,0.51966
166,0.50592
167,0.49223
168,0.47830
169,0.46368
170,0.44806
171,0.43151
172,0.41468
173,0.39876
174,0.38509
175,0.37451
176,0.36675
177,0.36036
178,0.35300
179,0.34252
180,0.32823
181,0.31088
182,0.29235
183,0.27485
184,0.26017
185,0.24925
186,0.24209
187,0.23800
188,0.23591
189,0.23470
190,0.23351
191,0.23188
192,0.22981
193,0.22762
194,0.22575
195,0.22407
196,0.22306
197,0.22211
198,0.22041
199,0.21787
200,0.21454
201,0.21050
202,0.20573
203,0.20015
204,0.19367
205,0.18633
206,0.17827
207,0.16968
208,0.16073
209,0.15147
210,0.14190
211,0.13210
212,0.12231
213,0.11306
214,0.10507
215,0.09909
216,0.09563
217,0.09479
218,0.09622
219,0.09901
220,0.10217
221,0.10487
222,0.10654
223,0.10698
224,0.10630
225,0.10491
226,0.10334
227,0.10210
228,0.10154
229,0.10174
230,0.10251
231,0.10380
232,0.10417
233,0.10340
234,0.10186
235,0.09976
236,0.09745
237,0.09532
238,0.09379
239,0.09319
240,0.09377
241,0.09566
242,0.09872
243,0.10253
244,0.10642
245,0.10970
246,0.11189
247,0.11291
248,0.11309
249,0.11304
250,0.11334
251,0.11431
252,0.11580
253,0.11726
254,0.11792
255,0.11707
256,0.11438
257,0.11003
258,0.10464
259,0.09915
260,0.09427
261,0.09039
262,0.08759
263,0.08570
264,0.08448
265,0.08374
266,0.08334
267,0.08349
268,0.08370
269,0.08362
270,0.08287
271,0.08113
272,0.07829
273,0.07450
274,0.07015
275,0.06576
276,0.06183
277,0.05871
278,0.05649
279,0.05501
280,0.05402
281,0.05324
282,0.05251
283,0.05178
284,0.05109
285,0.05048
286,0.04996
287,0.04947
288,0.04890
289,0.04811
290,0.04695
291,0.04535
292,0.04332
293,0.04100
294,0.03868
295,0.03667
296,0.03525
297,0.03460
298,0.03481
299,0.03576
300,0.03732
301,0.03928
302,0.04248
303,0.04546
304,0.04705
305,0.04820
306,0.04890
307,0.04922
308,0.04931
309,0.04940
310,0.04964
311,0.05002
312,0.05030
313,0.05007
314,0.04896
315,0.04682
316,0.04385
317,0.04049
318,0.03732
319,0.03463
320,0.03246
321,0.03062
322,0.02884
323,0.02701
324,0.02517
325,0.02355
326,0.02239
327,0.02186
328,0.02195
329,0.02250
330,0.02327
331,0.02402
332,0.02462
333,0.02503
334,0.02530
335,0.02547
336,0.02553
337,0.02514
338,0.02395
339,0.02261
340,0.02100
341,0.01933
342,0.01785
343,0.01674
344,0.01612
345,0.01604
346,0.01644
347,0.01722
348,0.01825
349,0.01942
350,0.02066
351,0.02201
352,0.02353
353,0.02532
354,0.02737
355,0.02958
356,0.03171
357,0.03344
358,0.03455
359,0.00000
360,0.00000
