day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00029
5,0.00020
6,0.00017
7,0.00018
8,0.00025
9,0.00036
10,0.00053
11,0.00075
12,0.00102
13,0.00131
14,0.00161
15,0.00187
16,0.00207
17,0.00217
18,0.00211
19,0.00186
20,0.00159
21,0.00130
22,0.00100
23,0.00074
24,0.00051
25,0.00034
26,0.00021
27,0.00013
28,0.00007
29,0.00004
30,0.00002
31,0.00001
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00001
71,0.00001
72,0.00002
73,0.00005
74,0.00008
75,0.00015
76,0.00025
77,0.00040
78,0.00061
79,0.00090
80,0.00126
81,0.00171
82,0.00223
83,0.00283
84,0.00348
85,0.00418
86,0.00491
87,0.00567
88,0.00643
89,0.00756
90,0.00869
91,0.00943
92,0.01019
93,0.01098
94,0.01182
95,0.01273
96,0.01371
97,0.01477
98,0.01593
99,0.01720
100,0.01863
101,0.02026
102,0.02216
103,0.02437
104,0.02690
105,0.02974
106,0.03283
107,0.03614
108,0.03964
109,0.04331
110,0.04715
111,0.05118
112,0.05538
113,0.05970
114,0.06409
115,0.06848
116,0.07285
117,0.07724
118,0.08178
119,0.08667
120,0.09209
121,0.09821
122,0.10505
123,0.11258
124,0.12489
125,0.13790
126,0.14696
127,0.15646
128,0.16673
129,0.17817
130,0.19125
131,0.20642
132,0.22404
133,0.24441
134,0.26730
135,0.29248
136,0.31956
137,0.34808
138,0.37756
139,0.40761
140,0.43793
141,0.46844
142,0.49922
143,0.53050
144,0.55294
145,0.57602
146,0.59992
147,0.62451
148,0.64944
149,0.67408
150,0.69786
151,0.72031
152,0.74124
153,0.76073
154,0.77906
155,0.79667
156,0.81399
157,0.83130
158,0.84862
159,0.86575
160,0.88316
161,0.89783
162,0.91063
163,0.92234
164,0.93334
165,0.94403
166,0.95470
167,0.96547
168,0.97611
169,0.98801
170,0.99401
171,0.99469
172,0.98177
173,0.96400
174,0.94227
175,0.91766
176,0.89132
177,0.86425
178,0.83717
179,0.81047
180,0.78413
181,0.75787
182,0.73127
183,0.70402
184,0.67605
185,0.64767
186,0.61949
187,0.59247
188,0.56769
189,0.54589
190,0.52752
191,0.51262
192,0.50090
193,0.49178
194,0.48459
195,0.47806
196,0.47210
197,0.46732
198,0.46291
199,0.45876
200,0.45473
201,0.45068
202,0.44639
203,0.44167
204,0.43499
205,0.42754
206,0.42147
207,0.41547
208,0.40972
209,0.40428
210,0.39916
211,0.39430
212,0.38967
213,0.38523
214,0.38099
215,0.37700
216,0.37333
217,0.37006
218,0.36724
219,0.36490
220,0.36302
221,0.36157
222,0.36044
223,0.35949
224,0.35858
225,0.35752
226,0.35619
227,0.35450
228,0.35233
229,0.34956
230,0.34605
231,0.33919
232,0.33081
233,0.32456
234,0.31834
235,0.31265
236,0.30800
237,0.30473
238,0.30297
239,0.30257
240,0.30220
241,0.30211
242,0.30292
243,0.30344
244,0.30350
245,0.30309
246,0.30232
247,0.30146
248,0.30080
249,0.30056
250,0.30086
251,0.30159
252,0.30242
253,0.30279
254,0.30194
255,0.29927
256,0.29445
257,0.28740
258,0.27834
259,0.26769
260,0.25598
261,0.24441
262,0.23311
263,0.22247
264,0.21276
265,0.20417
266,0.19371
267,0.18565
268,0.18165
269,0.17832
270,0.17517
271,0.17178
272,0.16781
273,0.16309
274,0.15764
275,0.15167
276,0.14551
277,0.13952
278,0.13399
279,0.12908
280,0.12482
281,0.12113
282,0.11786
283,0.11486
284,0.11209
285,0.10961
286,0.10753
287,0.10598
288,0.10505
289,0.10469
290,0.10475
291,0.10496
292,0.10496
293,0.10443
294,0.10310
295,0.10079
296,0.09747
297,0.09323
298,0.08826
299,0.08278
300,0.07704
301,0.07124
302,0.06273
303,0.05458
304,0.04949
305,0.04476
306,0.04049
307,0.03677
308,0.03372
309,0.03139
310,0.02978
311,0.02884
312,0.02845
313,0.02845
314,0.02863
315,0.02876
316,0.02865
317,0.02814
318,0.02716
319,0.02570
320,0.02384
321,0.02174
322,0.01959
323,0.01757
324,0.01588
325,0.01461
326,0.01381
327,0.01343
328,0.01336
329,0.01344
330,0.01350
331,0.01340
332,0.01307
333,0.01249
334,0.01167
335,0.01069
336,0.00961
337,0.00797
338,0.00647
339,0.00565
340,0.00499
341,0.00450
342,0.00416
343,0.00394
344,0.00382
345,0.00374
346,0.00366
347,0.00357
348,0.00343
349,0.00324
350,0.00299
351,0.00267
352,0.00232
353,0.00194
354,0.00156
355,0.00120
356,0.00089
357,0.00063
358,0.00043
359,0.00000
360,0.00000
