day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00001
45,0.00002
46,0.00005
47,0.00013
48,0.00028
49,0.00054
50,0.00094
51,0.00146
52,0.00202
53,0.00265
54,0.00279
55,0.00251
56,0.00203
57,0.00148
58,0.00097
59,0.00057
60,0.00030
61,0.00014
62,0.00006
63,0.00002
64,0.00001
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00001
83,0.00002
84,0.00007
85,0.00016
86,0.00034
87,0.00069
88,0.00125
89,0.00266
90,0.00460
91,0.00609
92,0.00748
93,0.00859
94,0.00925
95,0.00935
96,0.00891
97,0.00808
98,0.00714
99,0.00643
100,0.00628
101,0.00693
102,0.00847
103,0.01082
104,0.01378
105,0.01704
106,0.02027
107,0.02325
108,0.02592
109,0.02835
110,0.03071
111,0.03315
112,0.03582
113,0.03894
114,0.04277
115,0.04754
116,0.05331
117,0.05990
118,0.06692
119,0.07394
120,0.08062
121,0.08689
122,0.09307
123,0.10000
124,0.11494
125,0.13712
126,0.15702
127,0.17932
128,0.20199
129,0.22313
130,0.24173
131,0.25791
132,0.27263
133,0.28730
134,0.30365
135,0.32395
136,0.35038
137,0.38444
138,0.42583
139,0.47186
140,0.51799
141,0.55926
142,0.59204
143,0.61519
144,0.63012
145,0.64018
146,0.64943
147,0.66147
148,0.67865
149,0.70162
150,0.72963
151,0.76117
152,0.79468
153,0.82906
154,0.86359
155,0.89755
156,0.92976
157,0.95818
158,0.98066
159,0.99540
160,1.00000
161,0.98776
162,0.97022
163,0.94779
164,0.92267
165,0.89730
166,0.87396
167,0.85423
168,0.83862
169,0.82653
170,0.81654
171,0.80693
172,0.79622
173,0.78350
174,0.76866
175,0.75231
176,0.73547
177,0.71898
178,0.70283
179,0.68591
180,0.66664
181,0.64387
182,0.61761
183,0.58928
184,0.56150
185,0.53751
186,0.52039
187,0.51236
188,0.51412
189,0.52444
190,0.54000
191,0.55596
192,0.56715
193,0.56978
194,0.56288
195,0.53954
196,0.51306
197,0.49826
198,0.48649
199,0.47670
200,0.46728
201,0.45687
202,0.44451
203,0.42988
204,0.41354
205,0.39714
206,0.38291
207,0.37271
208,0.36719
209,0.36551
210,0.36591
211,0.36660
212,0.36649
213,0.36528
214,0.36310
215,0.36006
216,0.35601
217,0.35068
218,0.34397
219,0.33611
220,0.32771
221,0.31952
222,0.31241
223,0.30691
224,0.30317
225,0.30077
226,0.29866
227,0.29541
228,0.28964
229,0.28055
230,0.26817
231,0.24524
232,0.22093
233,0.20573
234,0.19245
235,0.18167
236,0.17348
237,0.16737
238,0.16248
239,0.15802
240,0.15365
241,0.14956
242,0.14615
243,0.14360
244,0.14156
245,0.13934
246,0.13633
247,0.13224
248,0.12722
249,0.12177
250,0.11651
251,0.11186
252,0.10776
253,0.10360
254,0.09843
255,0.09151
256,0.08269
257,0.07264
258,0.06251
259,0.05340
260,0.04591
261,0.04005
262,0.03544
263,0.03162
264,0.02829
265,0.02533
266,0.02140
267,0.01776
268,0.01547
269,0.01337
270,0.01152
271,0.00995
272,0.00862
273,0.00743
274,0.00630
275,0.00519
276,0.00412
277,0.00316
278,0.00243
279,0.00201
280,0.00194
281,0.00216
282,0.00255
283,0.00295
284,0.00324
285,0.00338
286,0.00342
287,0.00345
288,0.00354
289,0.00370
290,0.00391
291,0.00418
292,0.00453
293,0.00500
294,0.00553
295,0.00596
296,0.00609
297,0.00576
298,0.00499
299,0.00392
300,0.00278
301,0.00177
302,0.00076
303,0.00024
304,0.00010
305,0.00003
306,0.00001
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
