day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00001
102,0.00003
103,0.00006
104,0.00012
105,0.00024
106,0.00044
107,0.00074
108,0.00115
109,0.00169
110,0.00232
111,0.00305
112,0.00389
113,0.00495
114,0.00638
115,0.00841
116,0.01127
117,0.01511
118,0.01989
119,0.02539
120,0.03125
121,0.03705
122,0.04254
123,0.04772
124,0.05578
125,0.06535
126,0.07328
127,0.08243
128,0.09270
129,0.10405
130,0.11667
131,0.13107
132,0.14796
133,0.16813
134,0.19222
135,0.22057
136,0.25310
137,0.28937
138,0.32855
139,0.36956
140,0.41107
141,0.45169
142,0.48999
143,0.52521
144,0.55717
145,0.58653
146,0.61467
147,0.64329
148,0.67399
149,0.70761
150,0.74403
151,0.78213
152,0.82021
153,0.85652
154,0.88968
155,0.91887
156,0.94378
157,0.96434
158,0.98054
159,0.99224
160,1.00000
161,0.99721
162,0.98790
163,0.97294
164,0.95288
165,0.92888
166,0.90259
167,0.87571
168,0.84960
169,0.82512
170,0.80264
171,0.78225
172,0.76398
173,0.74788
174,0.73397
175,0.72200
176,0.71138
177,0.70113
178,0.69005
179,0.67707
180,0.66175
181,0.64439
182,0.62593
183,0.60771
184,0.59108
185,0.57698
186,0.56572
187,0.55707
188,0.55051
189,0.54549
190,0.54171
191,0.53902
192,0.53728
193,0.53618
194,0.53513
195,0.53174
196,0.52482
197,0.51727
198,0.50766
199,0.49623
200,0.48326
201,0.46901
202,0.45378
203,0.43802
204,0.42238
205,0.40767
206,0.39468
207,0.38396
208,0.37573
209,0.36992
210,0.36633
211,0.36488
212,0.36562
213,0.36873
214,0.37418
215,0.38158
216,0.38970
217,0.39693
218,0.40173
219,0.40309
220,0.40095
221,0.39633
222,0.39097
223,0.38674
224,0.38497
225,0.38601
226,0.38911
227,0.39265
228,0.39465
229,0.39325
230,0.38721
231,0.36831
232,0.34150
233,0.32078
234,0.30009
235,0.28065
236,0.26315
237,0.24784
238,0.23471
239,0.22363
240,0.21456
241,0.20745
242,0.20223
243,0.19868
244,0.19637
245,0.19472
246,0.19314
247,0.19120
248,0.18868
249,0.18562
250,0.18216
251,0.17833
252,0.17394
253,0.16865
254,0.16213
255,0.15423
256,0.14509
257,0.13504
258,0.12455
259,0.11402
260,0.10378
261,0.09405
262,0.08507
263,0.07708
264,0.07035
265,0.06504
266,0.05963
267,0.05573
268,0.05310
269,0.04974
270,0.04534
271,0.04011
272,0.03452
273,0.02914
274,0.02449
275,0.02089
276,0.01842
277,0.01694
278,0.01618
279,0.01587
280,0.01581
281,0.01595
282,0.01629
283,0.01687
284,0.01767
285,0.01853
286,0.01921
287,0.01947
288,0.01909
289,0.01800
290,0.01637
291,0.01444
292,0.01251
293,0.01084
294,0.00963
295,0.00897
296,0.00885
297,0.00915
298,0.00968
299,0.01025
300,0.01062
301,0.01064
302,0.00976
303,0.00805
304,0.00657
305,0.00504
306,0.00363
307,0.00246
308,0.00157
309,0.00094
310,0.00052
311,0.00027
312,0.00013
313,0.00006
314,0.00003
315,0.00001
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
