day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01004
5,0.00971
6,0.00880
7,0.00733
8,0.00556
9,0.00393
10,0.00286
11,0.00259
12,0.00317
13,0.00448
14,0.00618
15,0.00778
16,0.00873
17,0.00866
18,0.00676
19,0.00410
20,0.00252
21,0.00139
22,0.00068
23,0.00029
24,0.00011
25,0.00004
26,0.00001
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00001
95,0.00002
96,0.00007
97,0.00022
98,0.00057
99,0.00132
100,0.00275
101,0.00521
102,0.00894
103,0.01397
104,0.01988
105,0.02578
106,0.03040
107,0.03250
108,0.03137
109,0.02718
110,0.02129
111,0.01532
112,0.01063
113,0.00790
114,0.00706
115,0.00751
116,0.00840
117,0.00892
118,0.00860
119,0.00746
120,0.00586
121,0.00438
122,0.00359
123,0.00388
124,0.00686
125,0.01178
126,0.01526
127,0.01777
128,0.01873
129,0.01818
130,0.01686
131,0.01588
132,0.01630
133,0.01865
134,0.02320
135,0.03007
136,0.03912
137,0.04965
138,0.06019
139,0.06878
140,0.07361
141,0.07388
142,0.07018
143,0.06441
144,0.05905
145,0.05647
146,0.05827
147,0.06510
148,0.07674
149,0.09236
150,0.11085
151,0.13095
152,0.15126
153,0.17023
154,0.18660
155,0.20036
156,0.21412
157,0.22984
158,0.25568
159,0.29326
160,0.36542
161,0.43276
162,0.46117
163,0.47670
164,0.48428
165,0.49085
166,0.51122
167,0.53816
168,0.55759
169,0.57753
170,0.59832
171,0.62137
172,0.64753
173,0.67594
174,0.70438
175,0.73104
176,0.75630
177,0.78284
178,0.81380
179,0.85048
180,0.89062
181,0.92898
182,0.95986
183,0.97931
184,0.98580
185,0.98061
186,0.96651
187,0.94703
188,0.92668
189,0.90283
190,0.88221
191,0.86288
192,0.84103
193,0.81352
194,0.78044
195,0.74554
196,0.71417
197,0.69207
198,0.68097
199,0.67863
200,0.68023
201,0.67961
202,0.66797
203,0.65045
204,0.62785
205,0.60318
206,0.57935
207,0.55669
208,0.53185
209,0.50063
210,0.46129
211,0.41632
212,0.37118
213,0.33141
214,0.30014
215,0.27730
216,0.26060
217,0.24707
218,0.23444
219,0.22167
220,0.20894
221,0.19700
222,0.18641
223,0.17701
224,0.16796
225,0.15846
226,0.14839
227,0.13885
228,0.13152
229,0.12766
230,0.12730
231,0.13147
232,0.13289
233,0.13027
234,0.12634
235,0.12220
236,0.11853
237,0.11670
238,0.11182
239,0.10366
240,0.09481
241,0.08689
242,0.08110
243,0.07749
244,0.07504
245,0.07272
246,0.07050
247,0.06949
248,0.07117
249,0.07606
250,0.08348
251,0.09195
252,0.09984
253,0.10586
254,0.10919
255,0.10941
256,0.10660
257,0.10113
258,0.09359
259,0.08467
260,0.07530
261,0.06667
262,0.06018
263,0.05694
264,0.05731
265,0.06040
266,0.06531
267,0.06454
268,0.05873
269,0.05037
270,0.04208
271,0.03636
272,0.03437
273,0.03597
274,0.04011
275,0.04526
276,0.04986
277,0.05278
278,0.05380
279,0.05370
280,0.05387
281,0.05541
282,0.05827
283,0.06115
284,0.06221
285,0.06028
286,0.05575
287,0.05039
288,0.04647
289,0.04550
290,0.04746
291,0.05072
292,0.05288
293,0.05194
294,0.04725
295,0.04003
296,0.03240
297,0.02619
298,0.02248
299,0.02160
300,0.02336
301,0.02717
302,0.03456
303,0.04077
304,0.04283
305,0.04318
306,0.04221
307,0.04029
308,0.03765
309,0.03458
310,0.03162
311,0.02952
312,0.02885
313,0.02972
314,0.03174
315,0.03429
316,0.03687
317,0.03903
318,0.04035
319,0.04035
320,0.03874
321,0.03574
322,0.03209
323,0.02878
324,0.02651
325,0.02541
326,0.02500
327,0.02451
328,0.02332
329,0.02113
330,0.01805
331,0.01444
332,0.01073
333,0.00735
334,0.00460
335,0.00261
336,0.00133
337,0.00043
338,0.00011
339,0.00011
340,0.00024
341,0.00060
342,0.00135
343,0.00270
344,0.00481
345,0.00766
346,0.01098
347,0.01423
348,0.01682
349,0.01832
350,0.01864
351,0.01800
352,0.01676
353,0.01524
354,0.01365
355,0.01218
356,0.01102
357,0.01035
358,0.01013
359,0.00000
360,0.00000
