day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00525
5,0.00556
6,0.00569
7,0.00563
8,0.00538
9,0.00496
10,0.00442
11,0.00380
12,0.00315
13,0.00252
14,0.00194
15,0.00145
16,0.00104
17,0.00072
18,0.00039
19,0.00019
20,0.00011
21,0.00006
22,0.00003
23,0.00002
24,0.00001
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00000
116,0.00000
117,0.00000
118,0.00000
119,0.00000
120,0.00000
121,0.00000
122,0.00000
123,0.00000
124,0.00000
125,0.00000
126,0.00000
127,0.00000
128,0.00000
129,0.00000
130,0.00000
131,0.00000
132,0.00001
133,0.00001
134,0.00003
135,0.00006
136,0.00011
137,0.00022
138,0.00041
139,0.00073
140,0.00126
141,0.00211
142,0.00341
143,0.00533
144,0.00807
145,0.01185
146,0.01693
147,0.02355
148,0.03196
149,0.04240
150,0.05508
151,0.07042
152,0.08843
153,0.10931
154,0.13325
155,0.16041
156,0.19097
157,0.22502
158,0.26258
159,0.30358
160,0.37133
161,0.44434
162,0.49563
163,0.54806
164,0.60090
165,0.65332
166,0.70457
167,0.75392
168,0.79730
169,0.83782
170,0.87493
171,0.90807
172,0.93671
173,0.96040
174,0.97872
175,0.99134
176,0.99808
177,0.99890
178,0.99391
179,0.98335
180,0.96790
181,0.94859
182,0.92429
183,0.89810
184,0.87148
185,0.84576
186,0.82202
187,0.80105
188,0.78323
189,0.76848
190,0.75634
191,0.74602
192,0.73652
193,0.72676
194,0.71574
195,0.70174
196,0.67854
197,0.65386
198,0.63545
199,0.61730
200,0.60018
201,0.58469
202,0.57123
203,0.55994
204,0.55075
205,0.54346
206,0.53779
207,0.53348
208,0.53020
209,0.52775
210,0.52588
211,0.52437
212,0.52285
213,0.52094
214,0.51825
215,0.51445
216,0.50941
217,0.50315
218,0.49597
219,0.48833
220,0.48081
221,0.47396
222,0.46814
223,0.46342
224,0.45966
225,0.45648
226,0.45341
227,0.44992
228,0.44553
229,0.43985
230,0.43270
231,0.42143
232,0.40613
233,0.39298
234,0.38293
235,0.37447
236,0.36837
237,0.36526
238,0.36549
239,0.36914
240,0.37595
241,0.38539
242,0.39672
243,0.40906
244,0.42157
245,0.43344
246,0.44404
247,0.45283
248,0.45942
249,0.46366
250,0.46546
251,0.46472
252,0.46146
253,0.45573
254,0.44772
255,0.43772
256,0.42615
257,0.41350
258,0.40027
259,0.38692
260,0.37380
261,0.36117
262,0.34920
263,0.33797
264,0.32753
265,0.31800
266,0.30629
267,0.29621
268,0.29056
269,0.28610
270,0.28215
271,0.27833
272,0.27426
273,0.26965
274,0.26430
275,0.25809
276,0.25112
277,0.24354
278,0.23557
279,0.22726
280,0.21868
281,0.20986
282,0.20079
283,0.19143
284,0.18174
285,0.17173
286,0.16143
287,0.15094
288,0.14044
289,0.13017
290,0.12040
291,0.11137
292,0.10330
293,0.09635
294,0.09064
295,0.08621
296,0.08310
297,0.08130
298,0.08074
299,0.08137
300,0.08304
301,0.08558
302,0.09041
303,0.09535
304,0.09800
305,0.09974
306,0.10028
307,0.09947
308,0.09724
309,0.09367
310,0.08890
311,0.08317
312,0.07675
313,0.06992
314,0.06296
315,0.05612
316,0.04962
317,0.04364
318,0.03826
319,0.03350
320,0.02938
321,0.02590
322,0.02302
323,0.02070
324,0.01889
325,0.01751
326,0.01648
327,0.01570
328,0.01507
329,0.01451
330,0.01394
331,0.01333
332,0.01267
333,0.01195
334,0.01122
335,0.01047
336,0.00973
337,0.00862
338,0.00750
339,0.00673
340,0.00594
341,0.00513
342,0.00434
343,0.00356
344,0.00285
345,0.00223
346,0.00172
347,0.00133
348,0.00107
349,0.00095
350,0.00097
351,0.00113
352,0.00142
353,0.00184
354,0.00236
355,0.00296
356,0.00360
357,0.00424
358,0.00482
359,0.00000
360,0.00000
