day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00001
102,0.00002
103,0.00007
104,0.00017
105,0.00039
106,0.00076
107,0.00127
108,0.00185
109,0.00233
110,0.00258
111,0.00253
112,0.00230
113,0.00208
114,0.00203
115,0.00219
116,0.00244
117,0.00258
118,0.00245
119,0.00206
120,0.00152
121,0.00100
122,0.00064
123,0.00052
124,0.00087
125,0.00168
126,0.00239
127,0.00311
128,0.00377
129,0.00443
130,0.00519
131,0.00608
132,0.00705
133,0.00794
134,0.00865
135,0.00915
136,0.00951
137,0.00987
138,0.01031
139,0.01089
140,0.01159
141,0.01230
142,0.01286
143,0.01308
144,0.01284
145,0.01219
146,0.01143
147,0.01108
148,0.01166
149,0.01347
150,0.01634
151,0.01976
152,0.02316
153,0.02627
154,0.02937
155,0.03322
156,0.03867
157,0.04621
158,0.05565
159,0.06637
160,0.08387
161,0.10372
162,0.12047
163,0.14155
164,0.16745
165,0.19735
166,0.22922
167,0.26064
168,0.28996
169,0.31701
170,0.34284
171,0.37621
172,0.41201
173,0.45132
174,0.49533
175,0.54483
176,0.59900
177,0.65530
178,0.71061
179,0.76270
180,0.81033
181,0.85297
182,0.89003
183,0.92084
184,0.94514
185,0.96348
186,0.97652
187,0.98438
188,0.98685
189,0.98435
190,0.97584
191,0.97100
192,0.97212
193,0.97739
194,0.98191
195,0.98199
196,0.97537
197,0.96172
198,0.94217
199,0.91921
200,0.89537
201,0.87340
202,0.85656
203,0.84797
204,0.84898
205,0.85742
206,0.86740
207,0.87135
208,0.86370
209,0.84357
210,0.81461
211,0.78199
212,0.74882
213,0.71513
214,0.67964
215,0.64268
216,0.60737
217,0.57822
218,0.55850
219,0.54858
220,0.54611
221,0.54765
222,0.55063
223,0.55440
224,0.55997
225,0.56851
226,0.57796
227,0.57956
228,0.57239
229,0.55648
230,0.53706
231,0.51885
232,0.49899
233,0.47819
234,0.45433
235,0.42861
236,0.40429
237,0.38448
238,0.37036
239,0.36095
240,0.35407
241,0.34742
242,0.33943
243,0.32961
244,0.31846
245,0.30678
246,0.29487
247,0.28238
248,0.26917
249,0.25626
250,0.24571
251,0.23918
252,0.23640
253,0.23521
254,0.23297
255,0.22868
256,0.22293
257,0.21676
258,0.21028
259,0.20266
260,0.19310
261,0.18128
262,0.16876
263,0.15724
264,0.14711
265,0.13825
266,0.12488
267,0.10979
268,0.09847
269,0.08788
270,0.07955
271,0.07473
272,0.07380
273,0.07599
274,0.07942
275,0.08175
276,0.08114
277,0.07722
278,0.07118
279,0.06515
280,0.06078
281,0.05850
282,0.05777
283,0.05769
284,0.05766
285,0.05750
286,0.05720
287,0.05670
288,0.05579
289,0.05425
290,0.05190
291,0.04869
292,0.04480
293,0.04070
294,0.03717
295,0.03498
296,0.03462
297,0.03604
298,0.03867
299,0.04156
300,0.04368
301,0.04422
302,0.04137
303,0.03627
304,0.03306
305,0.03103
306,0.03032
307,0.03040
308,0.03028
309,0.02896
310,0.02607
311,0.02196
312,0.01750
313,0.01352
314,0.01047
315,0.00848
316,0.00750
317,0.00746
318,0.00824
319,0.00949
320,0.01071
321,0.01141
322,0.01135
323,0.01059
324,0.00942
325,0.00813
326,0.00697
327,0.00609
328,0.00557
329,0.00540
330,0.00538
331,0.00526
332,0.00483
333,0.00405
334,0.00306
335,0.00206
336,0.00123
337,0.00048
338,0.00012
339,0.00004
340,0.00001
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
