day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00001
35,0.00013
36,0.00055
37,0.00130
38,0.00178
39,0.00152
40,0.00112
41,0.00136
42,0.00179
43,0.00161
44,0.00122
45,0.00169
46,0.00291
47,0.00370
48,0.00346
49,0.00277
50,0.00192
51,0.00102
52,0.00085
53,0.00317
54,0.00526
55,0.00401
56,0.00235
57,0.00198
58,0.00190
59,0.00109
60,0.00030
61,0.00004
62,0.00000
63,0.00000
64,0.00000
65,0.00002
66,0.00020
67,0.00105
68,0.00290
69,0.00400
70,0.00271
71,0.00101
72,0.00061
73,0.00135
74,0.00198
75,0.00148
76,0.00073
77,0.00125
78,0.00407
79,0.00833
80,0.01563
81,0.03468
82,0.06070
83,0.07801
84,0.08247
85,0.07199
86,0.05432
87,0.03781
88,0.02844
89,0.03379
90,0.03915
91,0.03104
92,0.01962
93,0.01558
94,0.02006
95,0.02813
96,0.03650
97,0.04407
98,0.05166
99,0.06193
100,0.07734
101,0.09196
102,0.09424
103,0.09049
104,0.10586
105,0.15050
106,0.20357
107,0.24477
108,0.28505
109,0.34099
110,0.40143
111,0.45408
112,0.49995
113,0.53473
114,0.55473
115,0.56790
116,0.58321
117,0.57821
118,0.53732
119,0.51005
120,0.54509
121,0.61620
122,0.67869
123,0.71510
124,0.72326
125,0.81306
126,0.90976
127,0.96634
128,0.99698
129,1.00000
130,0.95891
131,0.91843
132,0.92493
133,0.95108
134,0.94301
135,0.88265
136,0.79608
137,0.72073
138,0.67874
139,0.67063
140,0.66613
141,0.63100
142,0.56084
143,0.47062
144,0.37999
145,0.30710
146,0.26842
147,0.27072
148,0.29739
149,0.31746
150,0.31154
151,0.27958
152,0.23076
153,0.17765
154,0.13429
155,0.10919
156,0.09719
157,0.08453
158,0.06575
159,0.04884
160,0.03799
161,0.03055
162,0.02707
163,0.02380
164,0.01929
165,0.01376
166,0.00884
167,0.00685
168,0.00789
169,0.00823
170,0.00510
171,0.00253
172,0.00320
173,0.00409
174,0.00262
175,0.00077
176,0.00016
177,0.00042
178,0.00139
179,0.00210
180,0.00145
181,0.00049
182,0.00009
183,0.00001
184,0.00000
185,0.00000
186,0.00000
187,0.00000
188,0.00004
189,0.00030
190,0.00108
191,0.00185
192,0.00164
193,0.00081
194,0.00023
195,0.00002
196,0.00000
197,0.00000
198,0.00000
199,0.00000
200,0.00000
201,0.00000
202,0.00000
203,0.00000
204,0.00000
205,0.00000
206,0.00000
207,0.00000
208,0.00000
209,0.00000
210,0.00000
211,0.00000
212,0.00000
213,0.00000
214,0.00000
215,0.00000
216,0.00000
217,0.00000
218,0.00000
219,0.00000
220,0.00000
221,0.00000
222,0.00000
223,0.00001
224,0.00006
225,0.00034
226,0.00102
227,0.00176
228,0.00169
229,0.00086
230,0.00023
231,0.00015
232,0.00085
233,0.00171
234,0.00188
235,0.00139
236,0.00181
237,0.00329
238,0.00370
239,0.00225
240,0.00074
241,0.00013
242,0.00001
243,0.00000
244,0.00000
245,0.00000
246,0.00000
247,0.00000
248,0.00001
249,0.00010
250,0.00049
251,0.00129
252,0.00184
253,0.00145
254,0.00064
255,0.00015
256,0.00002
257,0.00000
258,0.00000
259,0.00000
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.00000
282,0.00000
283,0.00000
284,0.00000
285,0.00000
286,0.00000
287,0.00000
288,0.00000
289,0.00000
290,0.00000
291,0.00000
292,0.00000
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
