day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00083
5,0.00119
6,0.00164
7,0.00205
8,0.00229
9,0.00231
10,0.00217
11,0.00200
12,0.00195
13,0.00206
14,0.00224
15,0.00233
16,0.00223
17,0.00192
18,0.00124
19,0.00064
20,0.00043
21,0.00042
22,0.00059
23,0.00093
24,0.00138
25,0.00183
26,0.00216
27,0.00224
28,0.00206
29,0.00172
30,0.00136
31,0.00114
32,0.00116
33,0.00142
34,0.00181
35,0.00216
36,0.00229
37,0.00213
38,0.00175
39,0.00126
40,0.00080
41,0.00045
42,0.00022
43,0.00010
44,0.00004
45,0.00001
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00002
57,0.00004
58,0.00011
59,0.00025
60,0.00050
61,0.00088
62,0.00134
63,0.00180
64,0.00212
65,0.00221
66,0.00203
67,0.00165
68,0.00118
69,0.00075
70,0.00042
71,0.00021
72,0.00009
73,0.00003
74,0.00001
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00001
89,0.00004
90,0.00015
91,0.00035
92,0.00074
93,0.00141
94,0.00242
95,0.00376
96,0.00532
97,0.00685
98,0.00810
99,0.00888
100,0.00924
101,0.00949
102,0.01015
103,0.01173
104,0.01454
105,0.01856
106,0.02348
107,0.02868
108,0.03348
109,0.03758
110,0.04136
111,0.04581
112,0.05214
113,0.06108
114,0.07241
115,0.08503
116,0.09747
117,0.10870
118,0.11869
119,0.12844
120,0.13940
121,0.15270
122,0.16866
123,0.18683
124,0.21677
125,0.24887
126,0.27268
127,0.29952
128,0.32997
129,0.36379
130,0.40009
131,0.43764
132,0.47513
133,0.51115
134,0.54406
135,0.57223
136,0.59472
137,0.61182
138,0.62517
139,0.63737
140,0.65128
141,0.66932
142,0.69280
143,0.72175
144,0.75524
145,0.79225
146,0.83212
147,0.87409
148,0.91607
149,0.95386
150,0.98226
151,0.99761
152,1.00000
153,0.99335
154,0.98337
155,0.97508
156,0.97083
157,0.97053
158,0.97265
159,0.97495
160,0.97313
161,0.96203
162,0.94720
163,0.92667
164,0.90083
165,0.87080
166,0.83865
167,0.80725
168,0.77935
169,0.75674
170,0.73978
171,0.72751
172,0.71820
173,0.70975
174,0.70000
175,0.68708
176,0.66980
177,0.64777
178,0.62116
179,0.59070
180,0.55778
181,0.52447
182,0.49339
183,0.46678
184,0.44543
185,0.42834
186,0.41336
187,0.39850
188,0.38281
189,0.36644
190,0.35012
191,0.33461
192,0.32075
193,0.30968
194,0.30291
195,0.30411
196,0.31537
197,0.32517
198,0.33194
199,0.33281
200,0.32708
201,0.31614
202,0.30247
203,0.28854
204,0.27599
205,0.26586
206,0.25874
207,0.25470
208,0.25323
209,0.25341
210,0.25419
211,0.25467
212,0.25413
213,0.25201
214,0.24800
215,0.24216
216,0.23485
217,0.22645
218,0.21698
219,0.20602
220,0.19311
221,0.17825
222,0.16220
223,0.14653
224,0.13325
225,0.12425
226,0.12080
227,0.12246
228,0.12764
229,0.13432
230,0.14061
231,0.14603
232,0.14574
233,0.14167
234,0.13552
235,0.12848
236,0.12184
237,0.11648
238,0.11269
239,0.11018
240,0.10841
241,0.10691
242,0.10532
243,0.10340
244,0.10088
245,0.09756
246,0.09353
247,0.08935
248,0.08593
249,0.08431
250,0.08518
251,0.08838
252,0.09299
253,0.09733
254,0.09954
255,0.09830
256,0.09354
257,0.08642
258,0.07881
259,0.07231
260,0.06759
261,0.06435
262,0.06177
263,0.05915
264,0.05632
265,0.05371
266,0.05202
267,0.05347
268,0.05586
269,0.05791
270,0.05845
271,0.05689
272,0.05350
273,0.04915
274,0.04489
275,0.04123
276,0.03818
277,0.03544
278,0.03286
279,0.03070
280,0.02954
281,0.02990
282,0.03194
283,0.03529
284,0.03920
285,0.04284
286,0.04562
287,0.04726
288,0.04778
289,0.04737
290,0.04624
291,0.04460
292,0.04274
293,0.04098
294,0.03965
295,0.03884
296,0.03832
297,0.03757
298,0.03616
299,0.03407
300,0.03176
301,0.03003
302,0.03054
303,0.03505
304,0.04023
305,0.04590
306,0.05087
307,0.05405
308,0.05468
309,0.05250
310,0.04776
311,0.04116
312,0.03364
313,0.02621
314,0.01977
315,0.01492
316,0.01192
317,0.01064
318,0.01066
319,0.01146
320,0.01254
321,0.01358
322,0.01456
323,0.01565
324,0.01710
325,0.01900
326,0.02116
327,0.02317
328,0.02457
329,0.02500
330,0.02430
331,0.02255
332,0.01995
333,0.01678
334,0.01338
335,0.01009
336,0.00715
337,0.00384
338,0.00171
339,0.00098
340,0.00068
341,0.00071
342,0.00102
343,0.00152
344,0.00213
345,0.00276
346,0.00333
347,0.00382
348,0.00424
349,0.00456
350,0.00468
351,0.00453
352,0.00406
353,0.00333
354,0.00248
355,0.00169
356,0.00108
357,0.00073
358,0.00065
359,0.00000
360,0.00000
