day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00003
97,0.00013
98,0.00048
99,0.00142
100,0.00333
101,0.00619
102,0.00921
103,0.01111
104,0.01116
105,0.00977
106,0.00814
107,0.00743
108,0.00850
109,0.01200
110,0.01824
111,0.02711
112,0.03770
113,0.04875
114,0.05945
115,0.06998
116,0.08129
117,0.09448
118,0.10975
119,0.12593
120,0.14167
121,0.15732
122,0.17511
123,0.19627
124,0.22815
125,0.26557
126,0.29312
127,0.32609
128,0.36584
129,0.40906
130,0.45078
131,0.48665
132,0.51494
133,0.53857
134,0.56389
135,0.59234
136,0.61559
137,0.62723
138,0.63554
139,0.65446
140,0.68574
141,0.71643
142,0.72882
143,0.71203
144,0.66937
145,0.61902
146,0.56935
147,0.53256
148,0.53228
149,0.59485
150,0.72216
151,0.92299
152,0.97243
153,0.86762
154,0.71528
155,0.57945
156,0.49207
157,0.44814
158,0.43093
159,0.43181
160,0.45619
161,0.46043
162,0.43354
163,0.39101
164,0.34650
165,0.31029
166,0.28572
167,0.27285
168,0.26852
169,0.26465
170,0.25324
171,0.23437
172,0.21413
173,0.19720
174,0.18321
175,0.17064
176,0.16101
177,0.15606
178,0.15334
179,0.14874
180,0.14229
181,0.13739
182,0.13590
183,0.13553
184,0.13257
185,0.12606
186,0.11676
187,0.10955
188,0.10647
189,0.10556
190,0.10608
191,0.10737
192,0.10845
193,0.10775
194,0.10408
195,0.09655
196,0.08952
197,0.08625
198,0.08556
199,0.08654
200,0.08803
201,0.08901
202,0.08797
203,0.08316
204,0.07459
205,0.06531
206,0.05947
207,0.05955
208,0.06543
209,0.07531
210,0.08592
211,0.09303
212,0.09340
213,0.08687
214,0.07720
215,0.06907
216,0.06484
217,0.06420
218,0.06640
219,0.07118
220,0.07732
221,0.08204
222,0.08269
223,0.07869
224,0.07160
225,0.06431
226,0.05849
227,0.05441
228,0.05197
229,0.05082
230,0.05031
231,0.05080
232,0.05339
233,0.05491
234,0.05426
235,0.05182
236,0.04960
237,0.04909
238,0.05003
239,0.05092
240,0.05124
241,0.05218
242,0.05597
243,0.06287
244,0.06912
245,0.07032
246,0.06636
247,0.06060
248,0.05526
249,0.05052
250,0.04623
251,0.04180
252,0.03661
253,0.03139
254,0.02801
255,0.02774
256,0.03035
257,0.03425
258,0.03739
259,0.03877
260,0.03876
261,0.03769
262,0.03511
263,0.03084
264,0.02549
265,0.01992
266,0.01329
267,0.01113
268,0.01333
269,0.01683
270,0.01965
271,0.02050
272,0.01921
273,0.01641
274,0.01281
275,0.00901
276,0.00551
277,0.00290
278,0.00158
279,0.00177
280,0.00347
281,0.00633
282,0.00909
283,0.01009
284,0.00915
285,0.00801
286,0.00829
287,0.00969
288,0.01049
289,0.00973
290,0.00802
291,0.00644
292,0.00537
293,0.00483
294,0.00492
295,0.00575
296,0.00717
297,0.00862
298,0.00936
299,0.00884
300,0.00720
301,0.00526
302,0.00318
303,0.00195
304,0.00162
305,0.00171
306,0.00197
307,0.00204
308,0.00181
309,0.00160
310,0.00174
311,0.00219
312,0.00268
313,0.00304
314,0.00335
315,0.00362
316,0.00364
317,0.00327
318,0.00272
319,0.00236
320,0.00231
321,0.00235
322,0.00227
323,0.00219
324,0.00221
325,0.00217
326,0.00183
327,0.00123
328,0.00065
329,0.00026
330,0.00008
331,0.00002
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
