day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00002
91,0.00008
92,0.00027
93,0.00077
94,0.00183
95,0.00368
96,0.00635
97,0.00951
98,0.01256
99,0.01483
100,0.01596
101,0.01617
102,0.01633
103,0.01760
104,0.02101
105,0.02732
106,0.03697
107,0.05021
108,0.06694
109,0.08661
110,0.10855
111,0.13276
112,0.16030
113,0.19241
114,0.22873
115,0.26645
116,0.30216
117,0.33559
118,0.37142
119,0.41709
120,0.47840
121,0.55718
122,0.65115
123,0.75457
124,0.90002
125,0.99288
126,1.00000
127,0.97379
128,0.93498
129,0.90221
130,0.88516
131,0.88638
132,0.90423
133,0.93294
134,0.96320
135,0.98573
136,0.99481
137,0.98933
138,0.97200
139,0.94859
140,0.92674
141,0.91320
142,0.91038
143,0.91546
144,0.92355
145,0.93157
146,0.93729
147,0.93443
148,0.91185
149,0.86121
150,0.78597
151,0.70408
152,0.63445
153,0.58792
154,0.56341
155,0.55087
156,0.53909
157,0.52329
158,0.50665
159,0.49457
160,0.48586
161,0.47509
162,0.45983
163,0.43729
164,0.40887
165,0.37762
166,0.34754
167,0.32171
168,0.30078
169,0.28391
170,0.27053
171,0.26024
172,0.25117
173,0.24004
174,0.22451
175,0.20500
176,0.18379
177,0.16370
178,0.14796
179,0.13923
180,0.13708
181,0.13817
182,0.13904
183,0.13912
184,0.14055
185,0.14536
186,0.15336
187,0.16222
188,0.16919
189,0.17248
190,0.17151
191,0.16630
192,0.15678
193,0.14299
194,0.12592
195,0.10029
196,0.08168
197,0.07586
198,0.07393
199,0.07435
200,0.07576
201,0.07688
202,0.07652
203,0.07418
204,0.07044
205,0.06620
206,0.06181
207,0.05735
208,0.05381
209,0.05282
210,0.05508
211,0.05925
212,0.06255
213,0.06244
214,0.05798
215,0.05003
216,0.04065
217,0.03208
218,0.02580
219,0.02211
220,0.02038
221,0.01973
222,0.01966
223,0.02022
224,0.02171
225,0.02430
226,0.02771
227,0.03132
228,0.03442
229,0.03641
230,0.03717
231,0.03686
232,0.03598
233,0.03437
234,0.03109
235,0.02646
236,0.02192
237,0.01874
238,0.01718
239,0.01696
240,0.01790
241,0.02005
242,0.02339
243,0.02772
244,0.03271
245,0.03773
246,0.04148
247,0.04229
248,0.03911
249,0.03242
250,0.02413
251,0.01652
252,0.01108
253,0.00812
254,0.00694
255,0.00649
256,0.00604
257,0.00560
258,0.00569
259,0.00679
260,0.00870
261,0.01049
262,0.01108
263,0.01003
264,0.00796
265,0.00628
266,0.00722
267,0.01175
268,0.01557
269,0.01829
270,0.01893
271,0.01731
272,0.01398
273,0.00993
274,0.00615
275,0.00330
276,0.00152
277,0.00061
278,0.00026
279,0.00026
280,0.00057
281,0.00128
282,0.00242
283,0.00383
284,0.00506
285,0.00558
286,0.00517
287,0.00406
288,0.00291
289,0.00233
290,0.00265
291,0.00372
292,0.00500
293,0.00580
294,0.00582
295,0.00545
296,0.00553
297,0.00665
298,0.00861
299,0.01044
300,0.01102
301,0.00989
302,0.00619
303,0.00285
304,0.00190
305,0.00205
306,0.00308
307,0.00457
308,0.00601
309,0.00701
310,0.00749
311,0.00758
312,0.00734
313,0.00663
314,0.00537
315,0.00375
316,0.00221
317,0.00108
318,0.00044
319,0.00015
320,0.00004
321,0.00001
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
