day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00588
5,0.00630
6,0.00622
7,0.00586
8,0.00568
9,0.00619
10,0.00761
11,0.00972
12,0.01204
13,0.01413
14,0.01585
15,0.01734
16,0.01867
17,0.01963
18,0.01915
19,0.01642
20,0.01380
21,0.01136
22,0.00938
23,0.00774
24,0.00618
25,0.00469
26,0.00346
27,0.00284
28,0.00309
29,0.00429
30,0.00618
31,0.00820
32,0.00964
33,0.01002
34,0.00935
35,0.00809
36,0.00684
37,0.00604
38,0.00582
39,0.00612
40,0.00684
41,0.00789
42,0.00909
43,0.01026
44,0.01124
45,0.01192
46,0.01220
47,0.01204
48,0.01151
49,0.01082
50,0.01014
51,0.00947
52,0.00870
53,0.00751
54,0.00708
55,0.00779
56,0.00928
57,0.01135
58,0.01389
59,0.01705
60,0.02111
61,0.02627
62,0.03233
63,0.03849
64,0.04346
65,0.04596
66,0.04536
67,0.04214
68,0.03790
69,0.03461
70,0.03376
71,0.03587
72,0.04058
73,0.04723
74,0.05521
75,0.06407
76,0.07321
77,0.08186
78,0.08895
79,0.09350
80,0.09504
81,0.09410
82,0.09226
83,0.09167
84,0.09445
85,0.10202
86,0.11475
87,0.13148
88,0.14965
89,0.17276
90,0.18980
91,0.20085
92,0.21610
93,0.23745
94,0.26460
95,0.29659
96,0.33331
97,0.37508
98,0.42018
99,0.46309
100,0.49576
101,0.51282
102,0.51643
103,0.51480
104,0.51822
105,0.53405
106,0.56397
107,0.60459
108,0.65010
109,0.69509
110,0.73577
111,0.76981
112,0.79585
113,0.81347
114,0.82385
115,0.83041
116,0.83866
117,0.85468
118,0.88216
119,0.91904
120,0.95634
121,0.98132
122,0.98427
123,0.96483
124,0.91822
125,0.88879
126,0.89379
127,0.91395
128,0.94082
129,0.96635
130,0.98550
131,0.99663
132,1.00000
133,0.99588
134,0.98378
135,0.96304
136,0.93404
137,0.89891
138,0.86136
139,0.82582
140,0.79609
141,0.77410
142,0.75914
143,0.74808
144,0.73677
145,0.72175
146,0.70131
147,0.67565
148,0.64616
149,0.61452
150,0.58203
151,0.54945
152,0.51743
153,0.48735
154,0.46128
155,0.44088
156,0.42577
157,0.41324
158,0.40001
159,0.38433
160,0.35792
161,0.33286
162,0.31862
163,0.30596
164,0.29389
165,0.28114
166,0.26657
167,0.24965
168,0.23068
169,0.21086
170,0.19200
171,0.17587
172,0.16320
173,0.15307
174,0.14338
175,0.13247
176,0.12064
177,0.11025
178,0.10421
179,0.10338
180,0.10551
181,0.10677
182,0.10391
183,0.09597
184,0.08432
185,0.07154
186,0.06007
187,0.05152
188,0.04664
189,0.04552
190,0.04759
191,0.05164
192,0.05606
193,0.05940
194,0.06085
195,0.05968
196,0.05702
197,0.05584
198,0.05620
199,0.05849
200,0.06222
201,0.06592
202,0.06777
203,0.06666
204,0.06286
205,0.05788
206,0.05286
207,0.04791
208,0.04253
209,0.03659
210,0.03082
211,0.02646
212,0.02445
213,0.02482
214,0.02681
215,0.02930
216,0.03132
217,0.03226
218,0.03179
219,0.02981
220,0.02656
221,0.02276
222,0.01953
223,0.01795
224,0.01843
225,0.02053
226,0.02327
227,0.02577
228,0.02770
229,0.02914
230,0.03012
231,0.03061
232,0.03055
233,0.03050
234,0.03039
235,0.03007
236,0.02964
237,0.02941
238,0.02954
239,0.02975
240,0.02954
241,0.02859
242,0.02706
243,0.02548
244,0.02446
245,0.02437
246,0.02531
247,0.02716
248,0.02966
249,0.03235
250,0.03458
251,0.03566
252,0.03523
253,0.03352
254,0.03137
255,0.02983
256,0.02961
257,0.03057
258,0.03197
259,0.03317
260,0.03404
261,0.03480
262,0.03564
263,0.03635
264,0.03644
265,0.03559
266,0.03304
267,0.03072
268,0.03005
269,0.03005
270,0.03034
271,0.03047
272,0.03008
273,0.02907
274,0.02790
275,0.02738
276,0.02823
277,0.03040
278,0.03284
279,0.03403
280,0.03299
281,0.02999
282,0.02631
283,0.02319
284,0.02096
285,0.01946
286,0.01865
287,0.01887
288,0.02047
289,0.02324
290,0.02642
291,0.02914
292,0.03099
293,0.03219
294,0.03321
295,0.03421
296,0.03482
297,0.03444
298,0.03277
299,0.03014
300,0.02736
301,0.02519
302,0.02349
303,0.02227
304,0.02102
305,0.01937
306,0.01771
307,0.01655
308,0.01632
309,0.01720
310,0.01914
311,0.02180
312,0.02450
313,0.02642
314,0.02687
315,0.02562
316,0.02300
317,0.01987
318,0.01724
319,0.01582
320,0.01569
321,0.01627
322,0.01674
323,0.01652
324,0.01555
325,0.01432
326,0.01351
327,0.01371
328,0.01505
329,0.01714
330,0.01916
331,0.02027
332,0.02004
333,0.01860
334,0.01650
335,0.01440
336,0.01278
337,0.01174
338,0.01166
339,0.01143
340,0.01058
341,0.00917
342,0.00757
343,0.00619
344,0.00516
345,0.00442
346,0.00389
347,0.00364
348,0.00379
349,0.00439
350,0.00524
351,0.00598
352,0.00624
353,0.00590
354,0.00515
355,0.00439
356,0.00406
357,0.00435
358,0.00512
359,0.00000
360,0.00000
