day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00001
84,0.00003
85,0.00007
86,0.00015
87,0.00030
88,0.00058
89,0.00139
90,0.00275
91,0.00410
92,0.00573
93,0.00753
94,0.00928
95,0.01072
96,0.01166
97,0.01196
98,0.01166
99,0.01092
100,0.01001
101,0.00924
102,0.00888
103,0.00909
104,0.00989
105,0.01117
106,0.01272
107,0.01430
108,0.01565
109,0.01663
110,0.01714
111,0.01720
112,0.01692
113,0.01643
114,0.01584
115,0.01523
116,0.01466
117,0.01414
118,0.01371
119,0.01339
120,0.01325
121,0.01338
122,0.01389
123,0.01487
124,0.01743
125,0.02105
126,0.02409
127,0.02754
128,0.03131
129,0.03530
130,0.03943
131,0.04359
132,0.04767
133,0.05156
134,0.05523
135,0.05866
136,0.06197
137,0.06538
138,0.06922
139,0.07396
140,0.08016
141,0.08847
142,0.09952
143,0.11386
144,0.13195
145,0.15403
146,0.17966
147,0.20828
148,0.23908
149,0.27110
150,0.30344
151,0.33535
152,0.36640
153,0.39649
154,0.42587
155,0.45498
156,0.48425
157,0.51387
158,0.54243
159,0.57023
160,0.60719
161,0.63547
162,0.64764
163,0.65635
164,0.66175
165,0.66453
166,0.66725
167,0.67129
168,0.67750
169,0.68616
170,0.69709
171,0.70975
172,0.72344
173,0.73723
174,0.75010
175,0.76082
176,0.76817
177,0.77109
178,0.76883
179,0.76163
180,0.75076
181,0.73789
182,0.72522
183,0.71506
184,0.70930
185,0.70922
186,0.71526
187,0.72707
188,0.74361
189,0.76343
190,0.78498
191,0.80679
192,0.82773
193,0.84703
194,0.86419
195,0.88104
196,0.89322
197,0.90030
198,0.90656
199,0.90784
200,0.90363
201,0.89649
202,0.88701
203,0.87588
204,0.86384
205,0.85152
206,0.83942
207,0.82792
208,0.81730
209,0.80784
210,0.79986
211,0.79380
212,0.79027
213,0.78982
214,0.79294
215,0.80020
216,0.81149
217,0.82611
218,0.84285
219,0.86013
220,0.87630
221,0.88998
222,0.90044
223,0.90767
224,0.91242
225,0.91601
226,0.91995
227,0.92560
228,0.93386
229,0.94492
230,0.95816
231,0.97228
232,0.98531
233,0.99530
234,1.00000
235,0.99068
236,0.97721
237,0.96194
238,0.94781
239,0.93708
240,0.93083
241,0.92877
242,0.92946
243,0.93072
244,0.93016
245,0.92569
246,0.91595
247,0.90102
248,0.88200
249,0.86083
250,0.84002
251,0.82152
252,0.80616
253,0.79346
254,0.78172
255,0.76854
256,0.75154
257,0.72902
258,0.70028
259,0.66567
260,0.62621
261,0.58720
262,0.54615
263,0.50351
264,0.45992
265,0.41634
266,0.35421
267,0.29864
268,0.26747
269,0.24092
270,0.21835
271,0.19875
272,0.18094
273,0.16399
274,0.14733
275,0.13088
276,0.11491
277,0.09987
278,0.08619
279,0.07418
280,0.06397
281,0.05536
282,0.04816
283,0.04222
284,0.03735
285,0.03339
286,0.03014
287,0.02737
288,0.02482
289,0.02228
290,0.01958
291,0.01671
292,0.01372
293,0.01078
294,0.00806
295,0.00575
296,0.00393
297,0.00269
298,0.00197
299,0.00171
300,0.00186
301,0.00235
302,0.00349
303,0.00474
304,0.00542
305,0.00582
306,0.00586
307,0.00554
308,0.00491
309,0.00408
310,0.00317
311,0.00230
312,0.00157
313,0.00100
314,0.00060
315,0.00034
316,0.00018
317,0.00009
318,0.00004
319,0.00002
320,0.00001
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
