day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00002
26,0.00008
27,0.00035
28,0.00110
29,0.00269
30,0.00507
31,0.00736
32,0.00822
33,0.00707
34,0.00481
35,0.00310
36,0.00308
37,0.00479
38,0.00715
39,0.00841
40,0.00750
41,0.00504
42,0.00260
43,0.00104
44,0.00033
45,0.00008
46,0.00002
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00002
61,0.00008
62,0.00035
63,0.00111
64,0.00271
65,0.00510
66,0.00740
67,0.00825
68,0.00701
69,0.00452
70,0.00221
71,0.00081
72,0.00022
73,0.00005
74,0.00001
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00002
91,0.00010
92,0.00042
93,0.00130
94,0.00305
95,0.00550
96,0.00763
97,0.00815
98,0.00672
99,0.00446
100,0.00300
101,0.00335
102,0.00546
103,0.00842
104,0.01109
105,0.01323
106,0.01583
107,0.02004
108,0.02607
109,0.03331
110,0.04175
111,0.05291
112,0.06736
113,0.08150
114,0.09030
115,0.09394
116,0.09943
117,0.11416
118,0.13760
119,0.16055
120,0.17395
121,0.17618
122,0.18172
123,0.20262
124,0.26161
125,0.31303
126,0.32561
127,0.33217
128,0.35096
129,0.37596
130,0.39629
131,0.42290
132,0.45746
133,0.49643
134,0.53477
135,0.56919
136,0.60162
137,0.64004
138,0.68888
139,0.73779
140,0.77034
141,0.78698
142,0.80940
143,0.85574
144,0.91637
145,0.96142
146,0.97543
147,0.97547
148,0.98597
149,1.00000
150,0.98356
151,0.93853
152,0.89339
153,0.87275
154,0.86867
155,0.85595
156,0.82170
157,0.77103
158,0.71765
159,0.67637
160,0.64838
161,0.62719
162,0.59412
163,0.53788
164,0.44476
165,0.38026
166,0.35813
167,0.34289
168,0.32425
169,0.29478
170,0.25358
171,0.20674
172,0.16355
173,0.13043
174,0.10719
175,0.09004
176,0.07751
177,0.07092
178,0.06945
179,0.06843
180,0.06412
181,0.05760
182,0.05216
183,0.04861
184,0.04529
185,0.04073
186,0.03476
187,0.02806
188,0.02143
189,0.01587
190,0.01269
191,0.01288
192,0.01645
193,0.02262
194,0.03014
195,0.03749
196,0.03865
197,0.03943
198,0.04088
199,0.04174
200,0.03732
201,0.03371
202,0.03330
203,0.03506
204,0.03662
205,0.03777
206,0.04077
207,0.04721
208,0.05581
209,0.06301
210,0.06520
211,0.06157
212,0.05528
213,0.05059
214,0.04864
215,0.04782
216,0.04648
217,0.04486
218,0.04450
219,0.04558
220,0.04518
221,0.04056
222,0.03319
223,0.02749
224,0.02622
225,0.02892
226,0.03412
227,0.04096
228,0.04793
229,0.05195
230,0.05032
231,0.03909
232,0.02961
233,0.02949
234,0.03257
235,0.03431
236,0.03173
237,0.02623
238,0.02257
239,0.02310
240,0.02509
241,0.02414
242,0.01932
243,0.01411
244,0.01261
245,0.01575
246,0.02140
247,0.02690
248,0.03099
249,0.03322
250,0.03295
251,0.03010
252,0.02629
253,0.02460
254,0.02732
255,0.03391
256,0.04089
257,0.04443
258,0.04373
259,0.04168
260,0.04136
261,0.04280
262,0.04385
263,0.04311
264,0.04094
265,0.03799
266,0.03174
267,0.02448
268,0.02197
269,0.02351
270,0.02840
271,0.03382
272,0.03760
273,0.04043
274,0.04421
275,0.04791
276,0.04721
277,0.03943
278,0.02727
279,0.01664
280,0.01154
281,0.01166
282,0.01391
283,0.01541
284,0.01528
285,0.01416
286,0.01277
287,0.01098
288,0.00839
289,0.00533
290,0.00271
291,0.00108
292,0.00034
293,0.00008
294,0.00005
295,0.00017
296,0.00061
297,0.00171
298,0.00370
299,0.00616
300,0.00791
301,0.00785
302,0.00474
303,0.00155
304,0.00052
305,0.00013
306,0.00002
307,0.00001
308,0.00002
309,0.00009
310,0.00035
311,0.00108
312,0.00267
313,0.00511
314,0.00753
315,0.00847
316,0.00731
317,0.00537
318,0.00461
319,0.00597
320,0.00903
321,0.01274
322,0.01628
323,0.01881
324,0.01893
325,0.01582
326,0.01060
327,0.00559
328,0.00229
329,0.00072
330,0.00017
331,0.00003
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
