day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00915
5,0.01115
6,0.01298
7,0.01475
8,0.01678
9,0.01925
10,0.02194
11,0.02417
12,0.02512
13,0.02445
14,0.02264
15,0.02078
16,0.01986
17,0.02037
18,0.02389
19,0.02923
20,0.03268
21,0.03485
22,0.03538
23,0.03498
24,0.03502
25,0.03649
26,0.03933
27,0.04241
28,0.04436
29,0.04432
30,0.04234
31,0.03945
32,0.03762
33,0.03914
34,0.04515
35,0.05469
36,0.06486
37,0.07249
38,0.07631
39,0.07797
40,0.08098
41,0.08832
42,0.10069
43,0.11641
44,0.13289
45,0.14807
46,0.16087
47,0.17071
48,0.17727
49,0.18103
50,0.18379
51,0.18808
52,0.19569
53,0.21299
54,0.23265
55,0.24687
56,0.26461
57,0.28891
58,0.31997
59,0.35330
60,0.38225
61,0.40348
62,0.42050
63,0.44017
64,0.46664
65,0.49855
66,0.53086
67,0.55958
68,0.58529
69,0.61230
70,0.64481
71,0.68381
72,0.72719
73,0.77171
74,0.81471
75,0.85441
76,0.88916
77,0.91663
78,0.93419
79,0.94126
80,0.94179
81,0.94323
82,0.95145
83,0.96598
84,0.98077
85,0.99003
86,0.99292
87,0.99278
88,0.99302
89,0.99635
90,1.00000
91,0.99666
92,0.98141
93,0.95016
94,0.90529
95,0.85518
96,0.80901
97,0.77136
98,0.74075
99,0.71257
100,0.68400
101,0.65691
102,0.63637
103,0.62579
104,0.62237
105,0.61698
106,0.59907
107,0.56350
108,0.51395
109,0.46013
110,0.41116
111,0.37050
112,0.33599
113,0.30356
114,0.27100
115,0.23944
116,0.21200
117,0.19096
118,0.17566
119,0.16307
120,0.15006
121,0.13536
122,0.11960
123,0.10412
124,0.08358
125,0.06567
126,0.05495
127,0.04533
128,0.03733
129,0.03130
130,0.02720
131,0.02478
132,0.02355
133,0.02277
134,0.02152
135,0.01916
136,0.01579
137,0.01220
138,0.00930
139,0.00761
140,0.00709
141,0.00730
142,0.00772
143,0.00793
144,0.00775
145,0.00725
146,0.00659
147,0.00591
148,0.00519
149,0.00437
150,0.00351
151,0.00282
152,0.00247
153,0.00239
154,0.00236
155,0.00214
156,0.00175
157,0.00142
158,0.00143
159,0.00199
160,0.00389
161,0.00621
162,0.00742
163,0.00799
164,0.00777
165,0.00681
166,0.00535
167,0.00370
168,0.00223
169,0.00116
170,0.00056
171,0.00038
172,0.00057
173,0.00111
174,0.00200
175,0.00315
176,0.00440
177,0.00555
178,0.00640
179,0.00670
180,0.00631
181,0.00535
182,0.00421
183,0.00334
184,0.00284
185,0.00252
186,0.00213
187,0.00159
188,0.00100
189,0.00053
190,0.00023
191,0.00009
192,0.00004
193,0.00007
194,0.00022
195,0.00095
196,0.00245
197,0.00385
198,0.00511
199,0.00576
200,0.00553
201,0.00454
202,0.00319
203,0.00196
204,0.00116
205,0.00088
206,0.00107
207,0.00154
208,0.00200
209,0.00220
210,0.00211
211,0.00198
212,0.00211
213,0.00266
214,0.00344
215,0.00402
216,0.00402
217,0.00339
218,0.00240
219,0.00142
220,0.00070
221,0.00029
222,0.00010
223,0.00003
224,0.00001
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.00000
232,0.00003
233,0.00010
234,0.00027
235,0.00063
236,0.00125
237,0.00210
238,0.00300
239,0.00363
240,0.00377
241,0.00336
242,0.00257
243,0.00169
244,0.00094
245,0.00045
246,0.00018
247,0.00006
248,0.00002
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00000
254,0.00002
255,0.00006
256,0.00019
257,0.00049
258,0.00107
259,0.00194
260,0.00297
261,0.00381
262,0.00408
263,0.00365
264,0.00271
265,0.00167
266,0.00061
267,0.00014
268,0.00007
269,0.00010
270,0.00025
271,0.00056
272,0.00103
273,0.00157
274,0.00197
275,0.00206
276,0.00178
277,0.00129
278,0.00077
279,0.00039
280,0.00016
281,0.00005
282,0.00002
283,0.00001
284,0.00002
285,0.00006
286,0.00016
287,0.00040
288,0.00079
289,0.00132
290,0.00183
291,0.00210
292,0.00198
293,0.00155
294,0.00102
295,0.00063
296,0.00053
297,0.00076
298,0.00124
299,0.00184
300,0.00235
301,0.00266
302,0.00279
303,0.00266
304,0.00234
305,0.00183
306,0.00122
307,0.00069
308,0.00033
309,0.00013
310,0.00004
311,0.00001
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00001
325,0.00004
326,0.00012
327,0.00033
328,0.00072
329,0.00126
330,0.00180
331,0.00210
332,0.00203
333,0.00165
334,0.00122
335,0.00105
336,0.00143
337,0.00318
338,0.00538
339,0.00617
340,0.00590
341,0.00469
342,0.00314
343,0.00189
344,0.00127
345,0.00133
346,0.00185
347,0.00259
348,0.00334
349,0.00406
350,0.00483
351,0.00571
352,0.00658
353,0.00715
354,0.00715
355,0.00665
356,0.00616
357,0.00630
358,0.00738
359,0.00000
360,0.00000
