day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00010
5,0.00003
6,0.00001
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00001
66,0.00003
67,0.00012
68,0.00034
69,0.00085
70,0.00186
71,0.00355
72,0.00590
73,0.00854
74,0.01075
75,0.01176
76,0.01114
77,0.00913
78,0.00646
79,0.00397
80,0.00213
81,0.00100
82,0.00041
83,0.00015
84,0.00005
85,0.00001
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00001
109,0.00003
110,0.00009
111,0.00028
112,0.00072
113,0.00162
114,0.00317
115,0.00538
116,0.00796
117,0.01025
118,0.01151
119,0.01126
120,0.00958
121,0.00708
122,0.00454
123,0.00252
124,0.00097
125,0.00071
126,0.00136
127,0.00285
128,0.00548
129,0.00929
130,0.01384
131,0.01824
132,0.02148
133,0.02294
134,0.02291
135,0.02244
136,0.02283
137,0.02478
138,0.02797
139,0.03120
140,0.03323
141,0.03359
142,0.03295
143,0.03278
144,0.03446
145,0.03847
146,0.04405
147,0.04966
148,0.05379
149,0.05565
150,0.05517
151,0.05256
152,0.04797
153,0.04177
154,0.03523
155,0.03061
156,0.03035
157,0.03605
158,0.04790
159,0.06479
160,0.09631
161,0.13104
162,0.15487
163,0.17790
164,0.19890
165,0.21715
166,0.23306
167,0.24822
168,0.26459
169,0.28344
170,0.30481
171,0.32797
172,0.35275
173,0.38051
174,0.41340
175,0.45202
176,0.49317
177,0.53013
178,0.55597
179,0.56857
180,0.57196
181,0.57247
182,0.57561
183,0.58462
184,0.60046
185,0.62233
186,0.64861
187,0.67847
188,0.71282
189,0.75289
190,0.79698
191,0.83860
192,0.86872
193,0.88145
194,0.87911
195,0.87398
196,0.89706
197,0.93500
198,0.97569
199,1.00000
200,0.99246
201,0.94824
202,0.87460
203,0.78741
204,0.70669
205,0.64945
206,0.62681
207,0.64035
208,0.68029
209,0.72798
210,0.76302
211,0.77191
212,0.75338
213,0.71727
214,0.67769
215,0.64488
216,0.62050
217,0.59856
218,0.57081
219,0.53293
220,0.48769
221,0.44323
222,0.40793
223,0.38552
224,0.37384
225,0.36722
226,0.35997
227,0.34807
228,0.32900
229,0.30132
230,0.26618
231,0.20740
232,0.15428
233,0.12872
234,0.11232
235,0.10460
236,0.10428
237,0.10964
238,0.11867
239,0.12891
240,0.13769
241,0.14266
242,0.14250
243,0.13724
244,0.12792
245,0.11587
246,0.10226
247,0.08829
248,0.07542
249,0.06505
250,0.05784
251,0.05335
252,0.05042
253,0.04819
254,0.04654
255,0.04564
256,0.04537
257,0.04525
258,0.04511
259,0.04540
260,0.04668
261,0.04882
262,0.05083
263,0.05143
264,0.04996
265,0.04660
266,0.03967
267,0.03280
268,0.02943
269,0.02776
270,0.02817
271,0.03045
272,0.03352
273,0.03560
274,0.03498
275,0.03097
276,0.02431
277,0.01678
278,0.01017
279,0.00544
280,0.00256
281,0.00107
282,0.00040
283,0.00015
284,0.00014
285,0.00031
286,0.00079
287,0.00175
288,0.00337
289,0.00564
290,0.00823
291,0.01051
292,0.01182
293,0.01190
294,0.01120
295,0.01077
296,0.01180
297,0.01515
298,0.02094
299,0.02852
300,0.03660
301,0.04355
302,0.04768
303,0.04316
304,0.03529
305,0.02595
306,0.01710
307,0.01006
308,0.00527
309,0.00245
310,0.00101
311,0.00036
312,0.00012
313,0.00003
314,0.00002
315,0.00004
316,0.00012
317,0.00034
318,0.00088
319,0.00196
320,0.00384
321,0.00664
322,0.01021
323,0.01403
324,0.01734
325,0.01942
326,0.01977
327,0.01830
328,0.01530
329,0.01150
330,0.00774
331,0.00463
332,0.00246
333,0.00115
334,0.00048
335,0.00017
336,0.00005
337,0.00001
338,0.00000
339,0.00000
340,0.00000
341,0.00001
342,0.00004
343,0.00014
344,0.00040
345,0.00099
346,0.00213
347,0.00397
348,0.00646
349,0.00913
350,0.01121
351,0.01191
352,0.01092
353,0.00860
354,0.00586
355,0.00346
356,0.00178
357,0.00080
358,0.00031
359,0.00000
360,0.00000
