day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.03824
5,0.03661
6,0.03495
7,0.03327
8,0.03158
9,0.02991
10,0.02830
11,0.02680
12,0.02541
13,0.02413
14,0.02289
15,0.02160
16,0.02019
17,0.01859
18,0.01579
19,0.01268
20,0.01055
21,0.00849
22,0.00661
23,0.00500
24,0.00370
25,0.00275
26,0.00215
27,0.00187
28,0.00188
29,0.00214
30,0.00262
31,0.00327
32,0.00403
33,0.00484
34,0.00563
35,0.00631
36,0.00683
37,0.00711
38,0.00714
39,0.00690
40,0.00639
41,0.00571
42,0.00491
43,0.00407
44,0.00324
45,0.00249
46,0.00184
47,0.00130
48,0.00089
49,0.00058
50,0.00036
51,0.00022
52,0.00013
53,0.00005
54,0.00002
55,0.00001
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00001
79,0.00001
80,0.00002
81,0.00004
82,0.00007
83,0.00013
84,0.00021
85,0.00034
86,0.00053
87,0.00077
88,0.00109
89,0.00169
90,0.00237
91,0.00283
92,0.00324
93,0.00357
94,0.00378
95,0.00385
96,0.00379
97,0.00364
98,0.00344
99,0.00324
100,0.00311
101,0.00309
102,0.00321
103,0.00350
104,0.00395
105,0.00453
106,0.00522
107,0.00598
108,0.00677
109,0.00752
110,0.00820
111,0.00876
112,0.00915
113,0.00935
114,0.00933
115,0.00913
116,0.00877
117,0.00835
118,0.00798
119,0.00781
120,0.00799
121,0.00869
122,0.01004
123,0.01218
124,0.01706
125,0.02340
126,0.02834
127,0.03351
128,0.03858
129,0.04323
130,0.04718
131,0.05021
132,0.05229
133,0.05354
134,0.05429
135,0.05502
136,0.05631
137,0.05884
138,0.06299
139,0.06896
140,0.07666
141,0.08575
142,0.09567
143,0.10571
144,0.11512
145,0.12323
146,0.12957
147,0.13390
148,0.13628
149,0.13707
150,0.13685
151,0.13643
152,0.13668
153,0.13833
154,0.14197
155,0.14800
156,0.15664
157,0.16795
158,0.18193
159,0.19854
160,0.22878
161,0.26455
162,0.29227
163,0.32291
164,0.35640
165,0.39207
166,0.42908
167,0.46650
168,0.50341
169,0.53905
170,0.57295
171,0.60332
172,0.63229
173,0.66032
174,0.68798
175,0.71583
176,0.74427
177,0.77344
178,0.80322
179,0.83315
180,0.86257
181,0.89073
182,0.91693
183,0.94049
184,0.96082
185,0.97735
186,0.98964
187,0.99725
188,0.99985
189,0.99719
190,0.98821
191,0.97325
192,0.95273
193,0.92734
194,0.89814
195,0.86563
196,0.81661
197,0.76946
198,0.73865
199,0.70951
200,0.68235
201,0.65750
202,0.63536
203,0.61641
204,0.60114
205,0.58998
206,0.58316
207,0.58073
208,0.58179
209,0.58542
210,0.59047
211,0.59572
212,0.60011
213,0.60285
214,0.60361
215,0.60263
216,0.60072
217,0.59918
218,0.59965
219,0.60386
220,0.61342
221,0.62936
222,0.65128
223,0.67777
224,0.70649
225,0.73439
226,0.75815
227,0.77468
228,0.78162
229,0.77774
230,0.76309
231,0.73163
232,0.68183
233,0.63504
234,0.59907
235,0.56631
236,0.53782
237,0.51405
238,0.49500
239,0.48037
240,0.46974
241,0.46258
242,0.45831
243,0.45629
244,0.45580
245,0.45607
246,0.45628
247,0.45572
248,0.45382
249,0.45047
250,0.44596
251,0.44088
252,0.43595
253,0.43188
254,0.42916
255,0.42799
256,0.42814
257,0.42903
258,0.42984
259,0.42962
260,0.42748
261,0.42271
262,0.41476
263,0.40378
264,0.39021
265,0.37469
266,0.35127
267,0.32568
268,0.30743
269,0.29161
270,0.27649
271,0.26201
272,0.24813
273,0.23497
274,0.22279
275,0.21216
276,0.20358
277,0.19744
278,0.19396
279,0.19307
280,0.19446
281,0.19753
282,0.20149
283,0.20553
284,0.20883
285,0.21076
286,0.21089
287,0.20907
288,0.20545
289,0.20034
290,0.19430
291,0.18791
292,0.18165
293,0.17586
294,0.17074
295,0.16633
296,0.16253
297,0.15918
298,0.15609
299,0.15313
300,0.15021
301,0.14736
302,0.14351
303,0.14056
304,0.13941
305,0.13890
306,0.13891
307,0.13924
308,0.13960
309,0.13967
310,0.13916
311,0.13784
312,0.13560
313,0.13240
314,0.12833
315,0.12352
316,0.11816
317,0.11241
318,0.10646
319,0.10042
320,0.09440
321,0.08848
322,0.08277
323,0.07738
324,0.07246
325,0.06813
326,0.06453
327,0.06172
328,0.05973
329,0.05851
330,0.05795
331,0.05791
332,0.05814
333,0.05841
334,0.05852
335,0.05830
336,0.05762
337,0.05559
338,0.05271
339,0.05044
340,0.04813
341,0.04599
342,0.04418
343,0.04284
344,0.04204
345,0.04178
346,0.04198
347,0.04253
348,0.04329
349,0.04412
350,0.04487
351,0.04540
352,0.04560
353,0.04542
354,0.04486
355,0.04395
356,0.04277
357,0.04140
358,0.03991
359,0.00000
360,0.00000
