day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00230
5,0.00253
6,0.00280
7,0.00311
8,0.00343
9,0.00373
10,0.00396
11,0.00409
12,0.00407
13,0.00389
14,0.00356
15,0.00312
16,0.00261
17,0.00209
18,0.00141
19,0.00092
20,0.00075
21,0.00070
22,0.00075
23,0.00087
24,0.00105
25,0.00124
26,0.00142
27,0.00157
28,0.00168
29,0.00175
30,0.00178
31,0.00180
32,0.00181
33,0.00181
34,0.00180
35,0.00178
36,0.00172
37,0.00164
38,0.00155
39,0.00146
40,0.00140
41,0.00142
42,0.00151
43,0.00170
44,0.00195
45,0.00224
46,0.00251
47,0.00271
48,0.00281
49,0.00278
50,0.00262
51,0.00234
52,0.00199
53,0.00142
54,0.00094
55,0.00072
56,0.00060
57,0.00060
58,0.00073
59,0.00099
60,0.00139
61,0.00192
62,0.00256
63,0.00326
64,0.00399
65,0.00470
66,0.00539
67,0.00604
68,0.00671
69,0.00748
70,0.00842
71,0.00959
72,0.01100
73,0.01264
74,0.01444
75,0.01630
76,0.01813
77,0.01983
78,0.02134
79,0.02269
80,0.02393
81,0.02520
82,0.02672
83,0.02873
84,0.03159
85,0.03558
86,0.04099
87,0.04803
88,0.05684
89,0.07345
90,0.09286
91,0.10704
92,0.12164
93,0.13634
94,0.15101
95,0.16563
96,0.18033
97,0.19527
98,0.21056
99,0.22619
100,0.24201
101,0.25783
102,0.27349
103,0.28904
104,0.30467
105,0.32081
106,0.33798
107,0.35669
108,0.37726
109,0.39969
110,0.42357
111,0.44812
112,0.47236
113,0.49526
114,0.51607
115,0.53442
116,0.55065
117,0.56566
118,0.58053
119,0.59630
120,0.61378
121,0.63337
122,0.65506
123,0.67841
124,0.71489
125,0.75068
126,0.77285
127,0.79317
128,0.81151
129,0.82801
130,0.84298
131,0.85685
132,0.87008
133,0.88295
134,0.89558
135,0.90788
136,0.91961
137,0.93039
138,0.93981
139,0.94758
140,0.95369
141,0.95844
142,0.96246
143,0.96653
144,0.97138
145,0.97737
146,0.98434
147,0.99142
148,0.99716
149,1.00000
150,0.99847
151,0.99150
152,0.97858
153,0.95987
154,0.93614
155,0.90871
156,0.87915
157,0.84911
158,0.82002
159,0.79294
160,0.75741
161,0.72676
162,0.70894
163,0.69245
164,0.67707
165,0.66290
166,0.65023
167,0.63942
168,0.63072
169,0.62410
170,0.61918
171,0.61523
172,0.61129
173,0.60635
174,0.59951
175,0.59020
176,0.57823
177,0.56383
178,0.54754
179,0.53029
180,0.51302
181,0.49656
182,0.48160
183,0.46864
184,0.45803
185,0.44993
186,0.44440
187,0.44135
188,0.44056
189,0.44170
190,0.44441
191,0.44831
192,0.45311
193,0.45862
194,0.46477
195,0.47502
196,0.48553
197,0.49177
198,0.49647
199,0.49890
200,0.49850
201,0.49512
202,0.48903
203,0.48095
204,0.47183
205,0.46277
206,0.45471
207,0.44837
208,0.44408
209,0.44182
210,0.44130
211,0.44174
212,0.44240
213,0.44257
214,0.44164
215,0.43919
216,0.43504
217,0.42928
218,0.42225
219,0.41449
220,0.40669
221,0.39960
222,0.39383
223,0.38983
224,0.38773
225,0.38730
226,0.38802
227,0.38904
228,0.38956
229,0.38898
230,0.38695
231,0.38087
232,0.37225
233,0.36537
234,0.35809
235,0.35076
236,0.34369
237,0.33713
238,0.33126
239,0.32616
240,0.32180
241,0.31805
242,0.31468
243,0.31144
244,0.30817
245,0.30483
246,0.30147
247,0.29822
248,0.29523
249,0.29260
250,0.29033
251,0.28826
252,0.28610
253,0.28352
254,0.28016
255,0.27582
256,0.27044
257,0.26412
258,0.25709
259,0.24961
260,0.24176
261,0.23350
262,0.22469
263,0.21515
264,0.20475
265,0.19349
266,0.17538
267,0.15685
268,0.14485
269,0.13357
270,0.12327
271,0.11416
272,0.10636
273,0.10005
274,0.09514
275,0.09159
276,0.08931
277,0.08809
278,0.08769
279,0.08777
280,0.08798
281,0.08796
282,0.08737
283,0.08600
284,0.08371
285,0.08050
286,0.07645
287,0.07174
288,0.06655
289,0.06106
290,0.05545
291,0.04981
292,0.04427
293,0.03891
294,0.03388
295,0.02931
296,0.02531
297,0.02199
298,0.01937
299,0.01744
300,0.01612
301,0.01528
302,0.01466
303,0.01437
304,0.01422
305,0.01399
306,0.01364
307,0.01313
308,0.01245
309,0.01162
310,0.01066
311,0.00960
312,0.00849
313,0.00736
314,0.00625
315,0.00521
316,0.00426
317,0.00343
318,0.00276
319,0.00225
320,0.00192
321,0.00173
322,0.00167
323,0.00168
324,0.00174
325,0.00182
326,0.00192
327,0.00204
328,0.00221
329,0.00244
330,0.00274
331,0.00309
332,0.00347
333,0.00381
334,0.00406
335,0.00417
336,0.00411
337,0.00366
338,0.00296
339,0.00242
340,0.00189
341,0.00141
342,0.00100
343,0.00068
344,0.00045
345,0.00029
346,0.00020
347,0.00017
348,0.00019
349,0.00026
350,0.00038
351,0.00053
352,0.00073
353,0.00096
354,0.00121
355,0.00145
356,0.00168
357,0.00189
358,0.00210
359,0.00000
360,0.00000
