day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00000
116,0.00000
117,0.00000
118,0.00000
119,0.00000
120,0.00000
121,0.00000
122,0.00000
123,0.00000
124,0.00000
125,0.00000
126,0.00002
127,0.00017
128,0.00084
129,0.00260
130,0.00526
131,0.00744
132,0.00840
133,0.00855
134,0.00803
135,0.00645
136,0.00392
137,0.00173
138,0.00106
139,0.00224
140,0.00517
141,0.00929
142,0.01409
143,0.01882
144,0.02289
145,0.02706
146,0.03233
147,0.04159
148,0.06133
149,0.09318
150,0.13025
151,0.16743
152,0.20901
153,0.25965
154,0.31118
155,0.34585
156,0.35692
157,0.36284
158,0.39564
159,0.47423
160,0.61032
161,0.77541
162,0.89708
163,0.96800
164,0.98870
165,0.92948
166,0.83029
167,0.75205
168,0.70877
169,0.68864
170,0.68527
171,0.69550
172,0.70865
173,0.70206
174,0.64740
175,0.56317
176,0.51719
177,0.52878
178,0.55290
179,0.54565
180,0.49435
181,0.42186
182,0.36668
183,0.35564
184,0.36842
185,0.35304
186,0.30445
187,0.25828
188,0.22651
189,0.20119
190,0.18117
191,0.16659
192,0.15308
193,0.13956
194,0.12421
195,0.09822
196,0.07928
197,0.08090
198,0.08734
199,0.08114
200,0.06134
201,0.04049
202,0.02673
203,0.01944
204,0.01623
205,0.01506
206,0.01465
207,0.01534
208,0.01751
209,0.02102
210,0.02461
211,0.02460
212,0.01858
213,0.00989
214,0.00366
215,0.00133
216,0.00179
217,0.00364
218,0.00494
219,0.00416
220,0.00215
221,0.00068
222,0.00013
223,0.00001
224,0.00000
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.00000
232,0.00000
233,0.00000
234,0.00000
235,0.00000
236,0.00000
237,0.00000
238,0.00000
239,0.00000
240,0.00000
241,0.00000
242,0.00000
243,0.00000
244,0.00000
245,0.00000
246,0.00000
247,0.00000
248,0.00000
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00000
254,0.00000
255,0.00000
256,0.00000
257,0.00000
258,0.00000
259,0.00000
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.00000
282,0.00000
283,0.00000
284,0.00000
285,0.00000
286,0.00000
287,0.00000
288,0.00000
289,0.00000
290,0.00000
291,0.00000
292,0.00000
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
