day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00001
54,0.00002
55,0.00003
56,0.00006
57,0.00010
58,0.00015
59,0.00024
60,0.00034
61,0.00048
62,0.00065
63,0.00083
64,0.00102
65,0.00119
66,0.00133
67,0.00141
68,0.00144
69,0.00140
70,0.00130
71,0.00116
72,0.00099
73,0.00080
74,0.00062
75,0.00046
76,0.00033
77,0.00022
78,0.00016
79,0.00012
80,0.00011
81,0.00014
82,0.00019
83,0.00030
84,0.00045
85,0.00066
86,0.00093
87,0.00125
88,0.00161
89,0.00219
90,0.00273
91,0.00302
92,0.00325
93,0.00343
94,0.00361
95,0.00384
96,0.00420
97,0.00476
98,0.00562
99,0.00691
100,0.00874
101,0.01130
102,0.01482
103,0.01957
104,0.02588
105,0.03409
106,0.04463
107,0.05772
108,0.07333
109,0.09127
110,0.11118
111,0.13252
112,0.15467
113,0.17703
114,0.19911
115,0.22066
116,0.24164
117,0.26228
118,0.28300
119,0.30440
120,0.32712
121,0.35194
122,0.37942
123,0.40988
124,0.46166
125,0.51859
126,0.55855
127,0.59840
128,0.63662
129,0.67174
130,0.70262
131,0.72863
132,0.74979
133,0.76681
134,0.78089
135,0.79353
136,0.80637
137,0.82049
138,0.83649
139,0.85447
140,0.87415
141,0.89494
142,0.91610
143,0.93679
144,0.95613
145,0.97317
146,0.98689
147,0.99618
148,1.00000
149,0.99745
150,0.98778
151,0.97190
152,0.95106
153,0.92710
154,0.90225
155,0.87869
156,0.85819
157,0.84175
158,0.82948
159,0.82054
160,0.80962
161,0.79626
162,0.78283
163,0.76465
164,0.74173
165,0.71537
166,0.68712
167,0.65873
168,0.63185
169,0.60775
170,0.58721
171,0.57049
172,0.55740
173,0.54739
174,0.53974
175,0.53363
176,0.52832
177,0.52318
178,0.51770
179,0.51151
180,0.50445
181,0.49644
182,0.48757
183,0.47808
184,0.46837
185,0.45903
186,0.45076
187,0.44431
188,0.44035
189,0.43937
190,0.44155
191,0.44675
192,0.45446
193,0.46395
194,0.47405
195,0.48781
196,0.49781
197,0.50075
198,0.50026
199,0.49618
200,0.48858
201,0.47785
202,0.46463
203,0.44978
204,0.43430
205,0.41922
206,0.40550
207,0.39410
208,0.38547
209,0.37982
210,0.37715
211,0.37725
212,0.37977
213,0.38417
214,0.38980
215,0.39595
216,0.40185
217,0.40680
218,0.41025
219,0.41186
220,0.41160
221,0.40973
222,0.40680
223,0.40364
224,0.40095
225,0.39932
226,0.39910
227,0.40038
228,0.40299
229,0.40653
230,0.41048
231,0.41568
232,0.41880
233,0.41881
234,0.41706
235,0.41358
236,0.40863
237,0.40273
238,0.39638
239,0.39002
240,0.38401
241,0.37860
242,0.37389
243,0.36989
244,0.36653
245,0.36375
246,0.36148
247,0.35971
248,0.35842
249,0.35758
250,0.35712
251,0.35684
252,0.35653
253,0.35597
254,0.35498
255,0.35348
256,0.35138
257,0.34861
258,0.34506
259,0.34051
260,0.33471
261,0.32733
262,0.31812
263,0.30698
264,0.29399
265,0.27943
266,0.25614
267,0.23318
268,0.21915
269,0.20666
270,0.19594
271,0.18702
272,0.17976
273,0.17384
274,0.16887
275,0.16443
276,0.16011
277,0.15562
278,0.15077
279,0.14550
280,0.13990
281,0.13415
282,0.12842
283,0.12285
284,0.11751
285,0.11236
286,0.10732
287,0.10221
288,0.09688
289,0.09118
290,0.08504
291,0.07848
292,0.07159
293,0.06455
294,0.05759
295,0.05089
296,0.04461
297,0.03886
298,0.03368
299,0.02912
300,0.02519
301,0.02192
302,0.01834
303,0.01607
304,0.01537
305,0.01519
306,0.01544
307,0.01600
308,0.01673
309,0.01748
310,0.01814
311,0.01862
312,0.01887
313,0.01885
314,0.01858
315,0.01805
316,0.01732
317,0.01641
318,0.01536
319,0.01422
320,0.01300
321,0.01174
322,0.01045
323,0.00914
324,0.00785
325,0.00659
326,0.00540
327,0.00430
328,0.00332
329,0.00248
330,0.00179
331,0.00124
332,0.00083
333,0.00053
334,0.00033
335,0.00019
336,0.00011
337,0.00004
338,0.00002
339,0.00001
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
