day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.26582
5,0.26594
6,0.26555
7,0.26462
8,0.26314
9,0.26110
10,0.25850
11,0.25534
12,0.25163
13,0.24739
14,0.24259
15,0.23736
16,0.23176
17,0.22583
18,0.21643
19,0.20664
20,0.19995
21,0.19321
22,0.18648
23,0.17980
24,0.17320
25,0.16670
26,0.16035
27,0.15418
28,0.14821
29,0.14245
30,0.13689
31,0.13155
32,0.12642
33,0.12151
34,0.11680
35,0.11232
36,0.10802
37,0.10388
38,0.09990
39,0.09604
40,0.09230
41,0.08866
42,0.08511
43,0.08162
44,0.07819
45,0.07480
46,0.07146
47,0.06815
48,0.06489
49,0.06168
50,0.05855
51,0.05550
52,0.05255
53,0.04839
54,0.04453
55,0.04221
56,0.04013
57,0.03830
58,0.03672
59,0.03542
60,0.03440
61,0.03369
62,0.03328
63,0.03322
64,0.03350
65,0.03412
66,0.03505
67,0.03632
68,0.03791
69,0.03983
70,0.04209
71,0.04475
72,0.04776
73,0.05114
74,0.05490
75,0.05906
76,0.06365
77,0.06871
78,0.07434
79,0.08057
80,0.08741
81,0.09492
82,0.10317
83,0.11223
84,0.12216
85,0.13313
86,0.14526
87,0.15853
88,0.17301
89,0.19732
90,0.22438
91,0.24433
92,0.26602
93,0.28918
94,0.31380
95,0.33982
96,0.36720
97,0.39583
98,0.42562
99,0.45653
100,0.48829
101,0.52065
102,0.55342
103,0.58639
104,0.61934
105,0.65206
106,0.68429
107,0.71569
108,0.74614
109,0.77544
110,0.80344
111,0.82999
112,0.85494
113,0.87819
114,0.89933
115,0.91853
116,0.93579
117,0.95106
118,0.96433
119,0.97557
120,0.98480
121,0.99182
122,0.99667
123,0.99954
124,1.00000
125,0.99670
126,0.99207
127,0.98565
128,0.97731
129,0.96741
130,0.95604
131,0.94329
132,0.92929
133,0.91414
134,0.89795
135,0.88075
136,0.86278
137,0.84420
138,0.82514
139,0.80570
140,0.78601
141,0.76616
142,0.74625
143,0.72642
144,0.70674
145,0.68728
146,0.66810
147,0.64927
148,0.63082
149,0.61281
150,0.59537
151,0.57845
152,0.56206
153,0.54622
154,0.53094
155,0.51622
156,0.50205
157,0.48847
158,0.47545
159,0.46290
160,0.44492
161,0.42769
162,0.41661
163,0.40579
164,0.39518
165,0.38468
166,0.37427
167,0.36390
168,0.35354
169,0.34317
170,0.33276
171,0.32231
172,0.31183
173,0.30134
174,0.29087
175,0.28045
176,0.27012
177,0.25992
178,0.24994
179,0.24023
180,0.23082
181,0.22178
182,0.21313
183,0.20491
184,0.19716
185,0.18991
186,0.18325
187,0.17708
188,0.17141
189,0.16622
190,0.16148
191,0.15717
192,0.15325
193,0.14974
194,0.14655
195,0.14229
196,0.13847
197,0.13618
198,0.13405
199,0.13208
200,0.13027
201,0.12858
202,0.12704
203,0.12563
204,0.12438
205,0.12328
206,0.12235
207,0.12163
208,0.12109
209,0.12074
210,0.12058
211,0.12059
212,0.12079
213,0.12114
214,0.12167
215,0.12232
216,0.12307
217,0.12390
218,0.12478
219,0.12569
220,0.12660
221,0.12749
222,0.12834
223,0.12913
224,0.12985
225,0.13049
226,0.13105
227,0.13154
228,0.13196
229,0.13232
230,0.13265
231,0.13315
232,0.13371
233,0.13417
234,0.13475
235,0.13547
236,0.13640
237,0.13753
238,0.13889
239,0.14049
240,0.14235
241,0.14447
242,0.14686
243,0.14954
244,0.15243
245,0.15552
246,0.15876
247,0.16211
248,0.16553
249,0.16896
250,0.17232
251,0.17557
252,0.17863
253,0.18148
254,0.18405
255,0.18632
256,0.18825
257,0.18980
258,0.19092
259,0.19167
260,0.19204
261,0.19206
262,0.19175
263,0.19114
264,0.19026
265,0.18912
266,0.18712
267,0.18492
268,0.18340
269,0.18190
270,0.18046
271,0.17912
272,0.17792
273,0.17687
274,0.17598
275,0.17528
276,0.17474
277,0.17438
278,0.17418
279,0.17413
280,0.17419
281,0.17432
282,0.17451
283,0.17473
284,0.17494
285,0.17514
286,0.17528
287,0.17536
288,0.17539
289,0.17536
290,0.17528
291,0.17517
292,0.17504
293,0.17491
294,0.17482
295,0.17479
296,0.17484
297,0.17499
298,0.17525
299,0.17564
300,0.17615
301,0.17681
302,0.17802
303,0.17941
304,0.18044
305,0.18151
306,0.18260
307,0.18369
308,0.18474
309,0.18576
310,0.18672
311,0.18762
312,0.18845
313,0.18923
314,0.18997
315,0.19068
316,0.19139
317,0.19214
318,0.19295
319,0.19386
320,0.19490
321,0.19610
322,0.19752
323,0.19916
324,0.20103
325,0.20312
326,0.20544
327,0.20796
328,0.21067
329,0.21354
330,0.21652
331,0.21955
332,0.22258
333,0.22555
334,0.22843
335,0.23117
336,0.23373
337,0.23710
338,0.24001
339,0.24165
340,0.24310
341,0.24436
342,0.24549
343,0.24650
344,0.24747
345,0.24843
346,0.24943
347,0.25050
348,0.25165
349,0.25292
350,0.25430
351,0.25579
352,0.25734
353,0.25893
354,0.26049
355,0.26198
356,0.26334
357,0.26450
358,0.26534
359,0.00000
360,0.00000
