day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00001
90,0.00004
91,0.00012
92,0.00031
93,0.00072
94,0.00144
95,0.00260
96,0.00417
97,0.00599
98,0.00769
99,0.00887
100,0.00917
101,0.00851
102,0.00709
103,0.00530
104,0.00355
105,0.00213
106,0.00114
107,0.00054
108,0.00023
109,0.00009
110,0.00003
111,0.00001
112,0.00000
113,0.00000
114,0.00000
115,0.00000
116,0.00000
117,0.00000
118,0.00000
119,0.00000
120,0.00000
121,0.00000
122,0.00000
123,0.00000
124,0.00000
125,0.00000
126,0.00000
127,0.00001
128,0.00004
129,0.00011
130,0.00032
131,0.00082
132,0.00189
133,0.00399
134,0.00773
135,0.01357
136,0.02173
137,0.03220
138,0.04505
139,0.06092
140,0.08125
141,0.10778
142,0.14140
143,0.18088
144,0.22258
145,0.26149
146,0.29327
147,0.31617
148,0.33172
149,0.34329
150,0.35589
151,0.37256
152,0.39513
153,0.42471
154,0.46246
155,0.50969
156,0.56714
157,0.63363
158,0.70506
159,0.77574
160,0.85116
161,0.92514
162,0.97198
163,0.99162
164,0.99995
165,0.99789
166,0.98737
167,0.97126
168,0.95265
169,0.93410
170,0.91596
171,0.89918
172,0.88204
173,0.86197
174,0.83671
175,0.80543
176,0.76926
177,0.73080
178,0.69322
179,0.65962
180,0.63201
181,0.61003
182,0.59063
183,0.56894
184,0.54082
185,0.50535
186,0.46568
187,0.42774
188,0.39770
189,0.37973
190,0.37460
191,0.37966
192,0.38968
193,0.39859
194,0.40142
195,0.39311
196,0.36959
197,0.34155
198,0.31784
199,0.29344
200,0.26945
201,0.24776
202,0.23045
203,0.21881
204,0.21278
205,0.21105
206,0.21179
207,0.21344
208,0.21520
209,0.21701
210,0.21910
211,0.22145
212,0.22337
213,0.22356
214,0.22063
215,0.21357
216,0.20214
217,0.18682
218,0.16851
219,0.14839
220,0.12777
221,0.10799
222,0.09025
223,0.07544
224,0.06381
225,0.05521
226,0.04933
227,0.04574
228,0.04398
229,0.04367
230,0.04453
231,0.04777
232,0.05372
233,0.05999
234,0.06668
235,0.07314
236,0.07814
237,0.08079
238,0.08100
239,0.07949
240,0.07741
241,0.07561
242,0.07436
243,0.07353
244,0.07315
245,0.07372
246,0.07583
247,0.07950
248,0.08384
249,0.08721
250,0.08804
251,0.08548
252,0.07977
253,0.07205
254,0.06353
255,0.05532
256,0.04821
257,0.04283
258,0.03970
259,0.03917
260,0.04120
261,0.04515
262,0.04979
263,0.05361
264,0.05524
265,0.05398
266,0.04713
267,0.03851
268,0.03399
269,0.03139
270,0.03058
271,0.03085
272,0.03128
273,0.03119
274,0.03038
275,0.02917
276,0.02818
277,0.02793
278,0.02854
279,0.02954
280,0.03005
281,0.02917
282,0.02642
283,0.02203
284,0.01678
285,0.01168
286,0.00759
287,0.00499
288,0.00398
289,0.00445
290,0.00599
291,0.00821
292,0.01067
293,0.01302
294,0.01509
295,0.01687
296,0.01849
297,0.02002
298,0.02143
299,0.02249
300,0.02291
301,0.02244
302,0.01994
303,0.01648
304,0.01442
305,0.01309
306,0.01256
307,0.01261
308,0.01289
309,0.01315
310,0.01333
311,0.01347
312,0.01359
313,0.01367
314,0.01375
315,0.01391
316,0.01422
317,0.01468
318,0.01518
319,0.01556
320,0.01570
321,0.01556
322,0.01516
323,0.01462
324,0.01403
325,0.01344
326,0.01273
327,0.01174
328,0.01030
329,0.00843
330,0.00632
331,0.00430
332,0.00263
333,0.00146
334,0.00073
335,0.00033
336,0.00013
337,0.00003
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
