day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00565
5,0.00557
6,0.00515
7,0.00446
8,0.00372
9,0.00313
10,0.00288
11,0.00297
12,0.00320
13,0.00333
14,0.00317
15,0.00269
16,0.00203
17,0.00135
18,0.00061
19,0.00019
20,0.00008
21,0.00003
22,0.00001
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00001
55,0.00002
56,0.00006
57,0.00016
58,0.00035
59,0.00071
60,0.00125
61,0.00191
62,0.00257
63,0.00304
64,0.00315
65,0.00288
66,0.00232
67,0.00165
68,0.00103
69,0.00057
70,0.00028
71,0.00012
72,0.00004
73,0.00001
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00001
85,0.00005
86,0.00015
87,0.00039
88,0.00092
89,0.00269
90,0.00576
91,0.00870
92,0.01211
93,0.01571
94,0.01911
95,0.02182
96,0.02331
97,0.02322
98,0.02161
99,0.01910
100,0.01661
101,0.01500
102,0.01464
103,0.01537
104,0.01665
105,0.01801
106,0.01924
107,0.02058
108,0.02252
109,0.02534
110,0.02884
111,0.03223
112,0.03456
113,0.03521
114,0.03435
115,0.03287
116,0.03195
117,0.03246
118,0.03452
119,0.03751
120,0.04051
121,0.04282
122,0.04423
123,0.04491
124,0.04493
125,0.04416
126,0.04358
127,0.04391
128,0.04631
129,0.05177
130,0.06089
131,0.07331
132,0.08807
133,0.10403
134,0.12032
135,0.13671
136,0.15379
137,0.17293
138,0.19576
139,0.22364
140,0.25707
141,0.29546
142,0.33716
143,0.37976
144,0.42084
145,0.45890
146,0.49416
147,0.52854
148,0.56437
149,0.60268
150,0.64218
151,0.67963
152,0.71141
153,0.73529
154,0.75161
155,0.76358
156,0.77668
157,0.79590
158,0.82394
159,0.86003
160,0.91947
161,0.97044
162,0.99149
163,1.00000
164,0.99569
165,0.97976
166,0.95481
167,0.92455
168,0.89284
169,0.86240
170,0.83381
171,0.80557
172,0.77528
173,0.74135
174,0.70409
175,0.66556
176,0.62852
177,0.59519
178,0.56673
179,0.54305
180,0.52320
181,0.50594
182,0.48986
183,0.47361
184,0.45647
185,0.43860
186,0.42097
187,0.40467
188,0.39022
189,0.37723
190,0.36477
191,0.35183
192,0.33794
193,0.32343
194,0.30938
195,0.29256
196,0.28141
197,0.27643
198,0.27116
199,0.26447
200,0.25659
201,0.24884
202,0.24269
203,0.23849
204,0.23563
205,0.23333
206,0.23131
207,0.22992
208,0.22957
209,0.23006
210,0.23025
211,0.22829
212,0.22241
213,0.21158
214,0.19591
215,0.17661
216,0.15574
217,0.13575
218,0.11891
219,0.10671
220,0.09949
221,0.09656
222,0.09671
223,0.09891
224,0.10261
225,0.10765
226,0.11371
227,0.11993
228,0.12510
229,0.12825
230,0.12914
231,0.12767
232,0.12555
233,0.12422
234,0.12257
235,0.12030
236,0.11756
237,0.11491
238,0.11294
239,0.11193
240,0.11177
241,0.11212
242,0.11250
243,0.11235
244,0.11112
245,0.10857
246,0.10507
247,0.10162
248,0.09943
249,0.09923
250,0.10070
251,0.10251
252,0.10344
253,0.10313
254,0.10195
255,0.10040
256,0.09871
257,0.09689
258,0.09518
259,0.09429
260,0.09493
261,0.09717
262,0.10002
263,0.10172
264,0.10068
265,0.09633
266,0.08540
267,0.07373
268,0.06702
269,0.06110
270,0.05543
271,0.04975
272,0.04434
273,0.03991
274,0.03720
275,0.03628
276,0.03659
277,0.03732
278,0.03782
279,0.03787
280,0.03758
281,0.03724
282,0.03712
283,0.03754
284,0.03879
285,0.04097
286,0.04373
287,0.04618
288,0.04716
289,0.04575
290,0.04175
291,0.03582
292,0.02920
293,0.02333
294,0.01926
295,0.01744
296,0.01768
297,0.01933
298,0.02160
299,0.02373
300,0.02527
301,0.02596
302,0.02504
303,0.02235
304,0.01993
305,0.01773
306,0.01627
307,0.01578
308,0.01606
309,0.01666
310,0.01708
311,0.01696
312,0.01618
313,0.01485
314,0.01323
315,0.01164
316,0.01035
317,0.00953
318,0.00911
319,0.00886
320,0.00848
321,0.00775
322,0.00669
323,0.00557
324,0.00470
325,0.00422
326,0.00410
327,0.00414
328,0.00419
329,0.00420
330,0.00417
331,0.00408
332,0.00387
333,0.00345
334,0.00283
335,0.00208
336,0.00137
337,0.00059
338,0.00018
339,0.00007
340,0.00002
341,0.00001
342,0.00000
343,0.00001
344,0.00002
345,0.00005
346,0.00014
347,0.00032
348,0.00066
349,0.00118
350,0.00187
351,0.00262
352,0.00329
353,0.00381
354,0.00415
355,0.00441
356,0.00471
357,0.00508
358,0.00543
359,0.00000
360,0.00000
