day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00801
5,0.00871
6,0.00930
7,0.01005
8,0.00892
9,0.00582
10,0.00315
11,0.00234
12,0.00257
13,0.00274
14,0.00351
15,0.00636
16,0.01059
17,0.01299
18,0.01035
19,0.00715
20,0.00686
21,0.00644
22,0.00526
23,0.00462
24,0.00598
25,0.00868
26,0.01064
27,0.01096
28,0.01010
29,0.00820
30,0.00573
31,0.00419
32,0.00400
33,0.00423
34,0.00432
35,0.00422
36,0.00404
37,0.00446
38,0.00668
39,0.01016
40,0.01230
41,0.01251
42,0.01298
43,0.01488
44,0.01693
45,0.01729
46,0.01616
47,0.01564
48,0.01628
49,0.01661
50,0.01713
51,0.01951
52,0.02147
53,0.01756
54,0.01583
55,0.02098
56,0.02909
57,0.03996
58,0.05586
59,0.07818
60,0.10613
61,0.13468
62,0.15235
63,0.15350
64,0.14963
65,0.15129
66,0.15022
67,0.13750
68,0.12304
69,0.12114
70,0.13153
71,0.14710
72,0.16927
73,0.20249
74,0.24391
75,0.29108
76,0.34272
77,0.38371
78,0.39743
79,0.39695
80,0.41086
81,0.44922
82,0.50671
83,0.57097
84,0.61721
85,0.63514
86,0.66444
87,0.74903
88,0.85263
89,0.87882
90,0.81445
91,0.80704
92,0.83974
93,0.86721
94,0.83949
95,0.75609
96,0.67733
97,0.65978
98,0.69499
99,0.73141
100,0.73872
101,0.73276
102,0.75313
103,0.82494
104,0.92779
105,1.00000
106,0.98701
107,0.89532
108,0.78237
109,0.68611
110,0.59965
111,0.51650
112,0.45077
113,0.40857
114,0.37698
115,0.34273
116,0.30431
117,0.26982
118,0.24920
119,0.24251
120,0.23591
121,0.21727
122,0.19047
123,0.16544
124,0.13473
125,0.11298
126,0.10708
127,0.10314
128,0.09343
129,0.07510
130,0.05711
131,0.05036
132,0.05202
133,0.05053
134,0.04227
135,0.03048
136,0.01951
137,0.01304
138,0.01101
139,0.01031
140,0.00939
141,0.00975
142,0.01249
143,0.01511
144,0.01403
145,0.00933
146,0.00454
147,0.00227
148,0.00261
149,0.00464
150,0.00772
151,0.01081
152,0.01163
153,0.00906
154,0.00529
155,0.00364
156,0.00497
157,0.00720
158,0.00789
159,0.00707
160,0.00556
161,0.00303
162,0.00121
163,0.00029
164,0.00004
165,0.00000
166,0.00000
167,0.00000
168,0.00000
169,0.00000
170,0.00000
171,0.00000
172,0.00001
173,0.00005
174,0.00027
175,0.00093
176,0.00201
177,0.00261
178,0.00205
179,0.00132
180,0.00192
181,0.00399
182,0.00585
183,0.00595
184,0.00460
185,0.00279
186,0.00126
187,0.00040
188,0.00009
189,0.00001
190,0.00000
191,0.00000
192,0.00000
193,0.00000
194,0.00000
195,0.00000
196,0.00000
197,0.00000
198,0.00000
199,0.00000
200,0.00000
201,0.00000
202,0.00000
203,0.00000
204,0.00000
205,0.00000
206,0.00000
207,0.00000
208,0.00000
209,0.00000
210,0.00000
211,0.00000
212,0.00000
213,0.00000
214,0.00000
215,0.00000
216,0.00000
217,0.00000
218,0.00000
219,0.00000
220,0.00000
221,0.00000
222,0.00000
223,0.00000
224,0.00000
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.00000
232,0.00000
233,0.00000
234,0.00000
235,0.00002
236,0.00011
237,0.00047
238,0.00124
239,0.00208
240,0.00228
241,0.00167
242,0.00082
243,0.00027
244,0.00006
245,0.00001
246,0.00000
247,0.00000
248,0.00000
249,0.00001
250,0.00006
251,0.00030
252,0.00089
253,0.00175
254,0.00230
255,0.00201
256,0.00116
257,0.00043
258,0.00010
259,0.00001
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00001
277,0.00008
278,0.00037
279,0.00107
280,0.00198
281,0.00235
282,0.00183
283,0.00093
284,0.00031
285,0.00007
286,0.00001
287,0.00000
288,0.00000
289,0.00000
290,0.00000
291,0.00000
292,0.00000
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00002
306,0.00011
307,0.00044
308,0.00120
309,0.00214
310,0.00244
311,0.00172
312,0.00073
313,0.00018
314,0.00003
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00004
321,0.00023
322,0.00084
323,0.00185
324,0.00248
325,0.00205
326,0.00107
327,0.00036
328,0.00008
329,0.00001
330,0.00000
331,0.00000
332,0.00000
333,0.00002
334,0.00014
335,0.00059
336,0.00151
337,0.00296
338,0.00423
339,0.00507
340,0.00478
341,0.00309
342,0.00129
343,0.00034
344,0.00006
345,0.00002
346,0.00009
347,0.00039
348,0.00111
349,0.00204
350,0.00242
351,0.00181
352,0.00085
353,0.00025
354,0.00007
355,0.00016
356,0.00078
357,0.00262
358,0.00568
359,0.00000
360,0.00000
