day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00230
5,0.00215
6,0.00194
7,0.00163
8,0.00122
9,0.00080
10,0.00044
11,0.00022
12,0.00012
13,0.00014
14,0.00027
15,0.00053
16,0.00090
17,0.00126
18,0.00149
19,0.00125
20,0.00089
21,0.00054
22,0.00028
23,0.00012
24,0.00004
25,0.00001
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00001
55,0.00003
56,0.00009
57,0.00023
58,0.00048
59,0.00088
60,0.00138
61,0.00190
62,0.00230
63,0.00250
64,0.00245
65,0.00216
66,0.00169
67,0.00116
68,0.00068
69,0.00035
70,0.00015
71,0.00006
72,0.00002
73,0.00002
74,0.00006
75,0.00015
76,0.00033
77,0.00064
78,0.00104
79,0.00149
80,0.00190
81,0.00228
82,0.00277
83,0.00353
84,0.00468
85,0.00615
86,0.00767
87,0.00876
88,0.00902
89,0.00767
90,0.00573
91,0.00509
92,0.00533
93,0.00621
94,0.00719
95,0.00770
96,0.00749
97,0.00667
98,0.00554
99,0.00452
100,0.00389
101,0.00374
102,0.00392
103,0.00414
104,0.00418
105,0.00403
106,0.00394
107,0.00430
108,0.00541
109,0.00718
110,0.00910
111,0.01051
112,0.01103
113,0.01083
114,0.01046
115,0.01048
116,0.01106
117,0.01197
118,0.01272
119,0.01295
120,0.01248
121,0.01145
122,0.01012
123,0.00877
124,0.00697
125,0.00536
126,0.00466
127,0.00463
128,0.00544
129,0.00692
130,0.00861
131,0.00990
132,0.01037
133,0.01000
134,0.00924
135,0.00872
136,0.00891
137,0.00983
138,0.01108
139,0.01208
140,0.01254
141,0.01270
142,0.01328
143,0.01512
144,0.01870
145,0.02387
146,0.02993
147,0.03601
148,0.04143
149,0.04608
150,0.05032
151,0.05475
152,0.05984
153,0.06617
154,0.07492
155,0.08769
156,0.10590
157,0.12999
158,0.15921
159,0.19181
160,0.24276
161,0.29377
162,0.32921
163,0.36758
164,0.39937
165,0.43463
166,0.47674
167,0.52635
168,0.58009
169,0.63715
170,0.69205
171,0.73952
172,0.77740
173,0.80767
174,0.83494
175,0.86351
176,0.89459
177,0.92558
178,0.95166
179,0.96910
180,0.97707
181,0.97750
182,0.97334
183,0.96652
184,0.95691
185,0.94394
186,0.92805
187,0.90998
188,0.88361
189,0.85643
190,0.82832
191,0.80180
192,0.78139
193,0.76957
194,0.76334
195,0.75538
196,0.73926
197,0.71363
198,0.68361
199,0.65628
200,0.63603
201,0.62281
202,0.61296
203,0.59782
204,0.57583
205,0.54693
206,0.51223
207,0.47400
208,0.43578
209,0.40136
210,0.37335
211,0.35252
212,0.33789
213,0.32714
214,0.31842
215,0.31063
216,0.30304
217,0.29464
218,0.28424
219,0.27126
220,0.25640
221,0.24154
222,0.22878
223,0.21950
224,0.21369
225,0.21015
226,0.20713
227,0.20346
228,0.19919
229,0.19527
230,0.19245
231,0.18961
232,0.18448
233,0.17705
234,0.16792
235,0.15934
236,0.15316
237,0.14930
238,0.14623
239,0.14351
240,0.14062
241,0.13815
242,0.13676
243,0.13661
244,0.13717
245,0.13762
246,0.13746
247,0.13666
248,0.13555
249,0.13453
250,0.13386
251,0.13374
252,0.13425
253,0.13534
254,0.13674
255,0.13807
256,0.13888
257,0.13901
258,0.13872
259,0.13842
260,0.13806
261,0.13673
262,0.13310
263,0.12632
264,0.11664
265,0.10548
266,0.09124
267,0.08277
268,0.08065
269,0.07997
270,0.07955
271,0.07862
272,0.07693
273,0.07455
274,0.07133
275,0.06733
276,0.06253
277,0.05723
278,0.05233
279,0.04925
280,0.04932
281,0.05284
282,0.05879
283,0.06528
284,0.07070
285,0.07453
286,0.07721
287,0.07929
288,0.08048
289,0.07968
290,0.07619
291,0.07061
292,0.06476
293,0.06068
294,0.05938
295,0.06020
296,0.06144
297,0.06158
298,0.06025
299,0.05812
300,0.05593
301,0.05386
302,0.05022
303,0.04598
304,0.04352
305,0.04205
306,0.04176
307,0.04237
308,0.04334
309,0.04414
310,0.04429
311,0.04334
312,0.04089
313,0.03696
314,0.03227
315,0.02785
316,0.02448
317,0.02217
318,0.02055
319,0.01932
320,0.01834
321,0.01754
322,0.01680
323,0.01604
324,0.01519
325,0.01419
326,0.01295
327,0.01154
328,0.01015
329,0.00904
330,0.00829
331,0.00775
332,0.00717
333,0.00638
334,0.00542
335,0.00451
336,0.00381
337,0.00327
338,0.00314
339,0.00324
340,0.00345
341,0.00375
342,0.00403
343,0.00416
344,0.00406
345,0.00381
346,0.00361
347,0.00356
348,0.00359
349,0.00350
350,0.00323
351,0.00286
352,0.00258
353,0.00249
354,0.00254
355,0.00263
356,0.00265
357,0.00257
358,0.00245
359,0.00000
360,0.00000
