day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00001
116,0.00003
117,0.00009
118,0.00021
119,0.00047
120,0.00089
121,0.00149
122,0.00219
123,0.00291
124,0.00377
125,0.00443
126,0.00483
127,0.00523
128,0.00557
129,0.00575
130,0.00576
131,0.00566
132,0.00561
133,0.00566
134,0.00574
135,0.00563
136,0.00516
137,0.00430
138,0.00325
139,0.00230
140,0.00172
141,0.00158
142,0.00183
143,0.00230
144,0.00291
145,0.00368
146,0.00478
147,0.00633
148,0.00819
149,0.01002
150,0.01145
151,0.01228
152,0.01263
153,0.01274
154,0.01271
155,0.01243
156,0.01179
157,0.01093
158,0.01040
159,0.01090
160,0.01474
161,0.02078
162,0.02467
163,0.02732
164,0.02867
165,0.02948
166,0.03081
167,0.03347
168,0.03758
169,0.04263
170,0.04781
171,0.05244
172,0.05656
173,0.06125
174,0.06867
175,0.08148
176,0.10213
177,0.13220
178,0.17175
179,0.21766
180,0.26355
181,0.30207
182,0.32835
183,0.34282
184,0.35063
185,0.35840
186,0.37101
187,0.39066
188,0.41770
189,0.45148
190,0.49015
191,0.53025
192,0.56728
193,0.59800
194,0.62284
195,0.65967
196,0.70595
197,0.74019
198,0.76738
199,0.77993
200,0.77640
201,0.76260
202,0.74758
203,0.73794
204,0.73476
205,0.73502
206,0.73654
207,0.74156
208,0.75598
209,0.78538
210,0.83054
211,0.88550
212,0.93936
213,0.98032
214,1.00000
215,0.99606
216,0.97229
217,0.93666
218,0.89832
219,0.86492
220,0.84085
221,0.82684
222,0.82099
223,0.82065
224,0.82378
225,0.82906
226,0.83476
227,0.83778
228,0.83415
229,0.82138
230,0.80107
231,0.77142
232,0.75775
233,0.76010
234,0.76546
235,0.76840
236,0.76559
237,0.75664
238,0.74401
239,0.73223
240,0.72611
241,0.72809
242,0.73585
243,0.74280
244,0.74160
245,0.72881
246,0.70705
247,0.68320
248,0.66424
249,0.65380
250,0.65133
251,0.65329
252,0.65501
253,0.65193
254,0.64049
255,0.61907
256,0.58896
257,0.55471
258,0.52315
259,0.49992
260,0.48725
261,0.48318
262,0.48240
263,0.47820
264,0.46496
265,0.44035
266,0.38631
267,0.32699
268,0.29072
269,0.25882
270,0.23078
271,0.20570
272,0.18301
273,0.16256
274,0.14441
275,0.12850
276,0.11447
277,0.10177
278,0.09016
279,0.08007
280,0.07219
281,0.06663
282,0.06263
283,0.05914
284,0.05554
285,0.05173
286,0.04773
287,0.04361
288,0.03977
289,0.03688
290,0.03547
291,0.03538
292,0.03561
293,0.03494
294,0.03256
295,0.02865
296,0.02415
297,0.02012
298,0.01721
299,0.01539
300,0.01434
301,0.01378
302,0.01389
303,0.01479
304,0.01533
305,0.01514
306,0.01388
307,0.01166
308,0.00905
309,0.00674
310,0.00526
311,0.00458
312,0.00432
313,0.00407
314,0.00357
315,0.00282
316,0.00197
317,0.00121
318,0.00065
319,0.00031
320,0.00016
321,0.00015
322,0.00027
323,0.00054
324,0.00094
325,0.00145
326,0.00193
327,0.00228
328,0.00245
329,0.00248
330,0.00248
331,0.00247
332,0.00240
333,0.00216
334,0.00174
335,0.00122
336,0.00073
337,0.00027
338,0.00007
339,0.00002
340,0.00001
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
