day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00339
5,0.00331
6,0.00305
7,0.00265
8,0.00217
9,0.00168
10,0.00122
11,0.00083
12,0.00054
13,0.00032
14,0.00018
15,0.00010
16,0.00005
17,0.00002
18,0.00001
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00001
81,0.00001
82,0.00003
83,0.00006
84,0.00011
85,0.00019
86,0.00030
87,0.00046
88,0.00067
89,0.00103
90,0.00138
91,0.00157
92,0.00168
93,0.00170
94,0.00162
95,0.00147
96,0.00126
97,0.00106
98,0.00090
99,0.00084
100,0.00090
101,0.00112
102,0.00156
103,0.00224
104,0.00324
105,0.00461
106,0.00641
107,0.00868
108,0.01145
109,0.01471
110,0.01846
111,0.02266
112,0.02731
113,0.03249
114,0.03829
115,0.04483
116,0.05223
117,0.06057
118,0.06992
119,0.08024
120,0.09148
121,0.10360
122,0.11654
123,0.13032
124,0.15291
125,0.17786
126,0.19643
127,0.21672
128,0.23883
129,0.26280
130,0.28827
131,0.31486
132,0.34224
133,0.37030
134,0.39926
135,0.42966
136,0.46218
137,0.49741
138,0.53547
139,0.57574
140,0.61680
141,0.65651
142,0.69239
143,0.72223
144,0.74460
145,0.75928
146,0.76711
147,0.77087
148,0.77306
149,0.77590
150,0.78091
151,0.78896
152,0.80040
153,0.81539
154,0.83402
155,0.85631
156,0.88193
157,0.90992
158,0.93846
159,0.96487
160,0.99223
161,1.00000
162,0.98893
163,0.96671
164,0.93554
165,0.89862
166,0.85948
167,0.82148
168,0.78731
169,0.75866
170,0.73608
171,0.71899
172,0.70587
173,0.69463
174,0.68308
175,0.66933
176,0.65221
177,0.63144
178,0.60753
179,0.58193
180,0.55636
181,0.53244
182,0.51159
183,0.49484
184,0.48284
185,0.47576
186,0.47336
187,0.47499
188,0.47971
189,0.48645
190,0.49419
191,0.50211
192,0.50973
193,0.51684
194,0.52339
195,0.53142
196,0.53608
197,0.53536
198,0.53058
199,0.52119
200,0.50720
201,0.48919
202,0.46825
203,0.44576
204,0.42321
205,0.40201
206,0.38338
207,0.36823
208,0.35717
209,0.35046
210,0.34803
211,0.34972
212,0.35461
213,0.36186
214,0.37057
215,0.37975
216,0.38850
217,0.39599
218,0.40163
219,0.40505
220,0.40620
221,0.40526
222,0.40261
223,0.39869
224,0.39392
225,0.38855
226,0.38271
227,0.37634
228,0.36932
229,0.36159
230,0.35315
231,0.33941
232,0.32534
233,0.31647
234,0.30859
235,0.30209
236,0.29714
237,0.29359
238,0.29095
239,0.28849
240,0.28543
241,0.28117
242,0.27549
243,0.26857
244,0.26114
245,0.25410
246,0.24827
247,0.24426
248,0.24230
249,0.24222
250,0.24350
251,0.24538
252,0.24697
253,0.24749
254,0.24638
255,0.24342
256,0.23880
257,0.23302
258,0.22678
259,0.22082
260,0.21571
261,0.21162
262,0.20834
263,0.20541
264,0.20227
265,0.19839
266,0.19044
267,0.18049
268,0.17311
269,0.16581
270,0.15912
271,0.15341
272,0.14882
273,0.14523
274,0.14228
275,0.13955
276,0.13663
277,0.13334
278,0.12970
279,0.12588
280,0.12207
281,0.11833
282,0.11462
283,0.11076
284,0.10651
285,0.10170
286,0.09628
287,0.09033
288,0.08408
289,0.07776
290,0.07161
291,0.06581
292,0.06047
293,0.05568
294,0.05144
295,0.04780
296,0.04482
297,0.04252
298,0.04089
299,0.03983
300,0.03918
301,0.03871
302,0.03773
303,0.03594
304,0.03404
305,0.03164
306,0.02891
307,0.02606
308,0.02332
309,0.02091
310,0.01893
311,0.01744
312,0.01643
313,0.01585
314,0.01561
315,0.01558
316,0.01564
317,0.01568
318,0.01560
319,0.01536
320,0.01496
321,0.01444
322,0.01389
323,0.01337
324,0.01293
325,0.01258
326,0.01226
327,0.01188
328,0.01138
329,0.01073
330,0.00991
331,0.00900
332,0.00806
333,0.00720
334,0.00649
335,0.00595
336,0.00561
337,0.00532
338,0.00508
339,0.00484
340,0.00447
341,0.00397
342,0.00337
343,0.00273
344,0.00211
345,0.00155
346,0.00109
347,0.00075
348,0.00052
349,0.00042
350,0.00043
351,0.00055
352,0.00079
353,0.00113
354,0.00157
355,0.00206
356,0.00256
357,0.00300
358,0.00330
359,0.00000
360,0.00000
