day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.09939
5,0.10130
6,0.10217
7,0.10202
8,0.10087
9,0.09875
10,0.09573
11,0.09192
12,0.08745
13,0.08249
14,0.07718
15,0.07169
16,0.06622
17,0.06088
18,0.05341
19,0.04667
20,0.04273
21,0.03925
22,0.03622
23,0.03365
24,0.03152
25,0.02975
26,0.02829
27,0.02709
28,0.02609
29,0.02524
30,0.02447
31,0.02374
32,0.02298
33,0.02216
34,0.02125
35,0.02024
36,0.01913
37,0.01794
38,0.01670
39,0.01546
40,0.01424
41,0.01310
42,0.01212
43,0.01132
44,0.01074
45,0.01041
46,0.01034
47,0.01052
48,0.01096
49,0.01162
50,0.01248
51,0.01351
52,0.01465
53,0.01644
54,0.01821
55,0.01932
56,0.02035
57,0.02128
58,0.02212
59,0.02288
60,0.02358
61,0.02426
62,0.02498
63,0.02577
64,0.02667
65,0.02773
66,0.02900
67,0.03049
68,0.03224
69,0.03428
70,0.03662
71,0.03924
72,0.04214
73,0.04530
74,0.04874
75,0.05245
76,0.05644
77,0.06073
78,0.06538
79,0.07047
80,0.07602
81,0.08210
82,0.08878
83,0.09612
84,0.10417
85,0.11295
86,0.12246
87,0.13269
88,0.14364
89,0.16108
90,0.17924
91,0.19163
92,0.20409
93,0.21653
94,0.22889
95,0.24113
96,0.25323
97,0.26524
98,0.27721
99,0.28920
100,0.30127
101,0.31347
102,0.32586
103,0.33846
104,0.35131
105,0.36441
106,0.37779
107,0.39143
108,0.40534
109,0.41951
110,0.43396
111,0.44871
112,0.46379
113,0.47919
114,0.49493
115,0.51107
116,0.52755
117,0.54436
118,0.56148
119,0.57891
120,0.59663
121,0.61464
122,0.63293
123,0.65149
124,0.67989
125,0.70869
126,0.72801
127,0.74729
128,0.76636
129,0.78505
130,0.80318
131,0.82056
132,0.83696
133,0.85215
134,0.86615
135,0.87891
136,0.89046
137,0.90086
138,0.91022
139,0.91868
140,0.92638
141,0.93346
142,0.94002
143,0.94623
144,0.95216
145,0.95784
146,0.96329
147,0.96850
148,0.97346
149,0.97812
150,0.98247
151,0.98644
152,0.99001
153,0.99314
154,0.99579
155,0.99788
156,0.99932
157,1.00000
158,0.99979
159,0.99855
160,0.99419
161,0.98707
162,0.98052
163,0.97268
164,0.96367
165,0.95367
166,0.94291
167,0.93164
168,0.92014
169,0.90874
170,0.89774
171,0.88732
172,0.87766
173,0.86886
174,0.86097
175,0.85399
176,0.84789
177,0.84259
178,0.83804
179,0.83409
180,0.83055
181,0.82728
182,0.82413
183,0.82094
184,0.81757
185,0.81385
186,0.80962
187,0.80470
188,0.79885
189,0.79201
190,0.78412
191,0.77510
192,0.76497
193,0.75378
194,0.74162
195,0.72188
196,0.70118
197,0.68726
198,0.67366
199,0.66064
200,0.64847
201,0.63735
202,0.62746
203,0.61892
204,0.61178
205,0.60613
206,0.60189
207,0.59881
208,0.59672
209,0.59540
210,0.59459
211,0.59402
212,0.59342
213,0.59250
214,0.59097
215,0.58844
216,0.58480
217,0.57989
218,0.57366
219,0.56609
220,0.55728
221,0.54738
222,0.53662
223,0.52528
224,0.51371
225,0.50237
226,0.49160
227,0.48174
228,0.47304
229,0.46571
230,0.45987
231,0.45417
232,0.45144
233,0.45136
234,0.45219
235,0.45367
236,0.45554
237,0.45756
238,0.45953
239,0.46130
240,0.46275
241,0.46383
242,0.46453
243,0.46495
244,0.46520
245,0.46539
246,0.46562
247,0.46599
248,0.46657
249,0.46737
250,0.46839
251,0.46958
252,0.47079
253,0.47188
254,0.47268
255,0.47302
256,0.47272
257,0.47163
258,0.46963
259,0.46661
260,0.46246
261,0.45713
262,0.45077
263,0.44346
264,0.43532
265,0.42651
266,0.41237
267,0.39777
268,0.38804
269,0.37858
270,0.36953
271,0.36101
272,0.35312
273,0.34593
274,0.33947
275,0.33375
276,0.32878
277,0.32451
278,0.32093
279,0.31794
280,0.31541
281,0.31323
282,0.31128
283,0.30946
284,0.30764
285,0.30572
286,0.30358
287,0.30111
288,0.29822
289,0.29487
290,0.29107
291,0.28681
292,0.28214
293,0.27712
294,0.27182
295,0.26632
296,0.26071
297,0.25511
298,0.24957
299,0.24416
300,0.23888
301,0.23373
302,0.22617
303,0.21864
304,0.21351
305,0.20822
306,0.20269
307,0.19692
308,0.19094
309,0.18478
310,0.17853
311,0.17228
312,0.16616
313,0.16029
314,0.15481
315,0.14990
316,0.14557
317,0.14187
318,0.13877
319,0.13623
320,0.13414
321,0.13238
322,0.13080
323,0.12922
324,0.12744
325,0.12528
326,0.12264
327,0.11942
328,0.11559
329,0.11114
330,0.10613
331,0.10063
332,0.09476
333,0.08866
334,0.08252
335,0.07652
336,0.07079
337,0.06308
338,0.05651
339,0.05301
340,0.05023
341,0.04820
342,0.04701
343,0.04655
344,0.04681
345,0.04775
346,0.04934
347,0.05156
348,0.05436
349,0.05769
350,0.06151
351,0.06577
352,0.07033
353,0.07508
354,0.07989
355,0.08460
356,0.08906
357,0.09312
358,0.09662
359,0.00000
360,0.00000
