day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00205
5,0.00259
6,0.00227
7,0.00136
8,0.00056
9,0.00015
10,0.00003
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00001
100,0.00007
101,0.00027
102,0.00065
103,0.00110
104,0.00128
105,0.00104
106,0.00059
107,0.00025
108,0.00013
109,0.00025
110,0.00069
111,0.00154
112,0.00289
113,0.00483
114,0.00734
115,0.01025
116,0.01346
117,0.01707
118,0.02104
119,0.02533
120,0.03082
121,0.03913
122,0.05053
123,0.06229
124,0.07314
125,0.08005
126,0.08910
127,0.10551
128,0.12852
129,0.15282
130,0.17411
131,0.19919
132,0.24095
133,0.29640
134,0.34244
135,0.36198
136,0.36646
137,0.38378
138,0.42396
139,0.46982
140,0.49561
141,0.49542
142,0.49140
143,0.50984
144,0.55677
145,0.61582
146,0.66268
147,0.68434
148,0.68700
149,0.68416
150,0.68262
151,0.68495
152,0.69604
153,0.71604
154,0.73041
155,0.72245
156,0.69903
157,0.69179
158,0.73214
159,0.82556
160,0.97241
161,1.00000
162,0.93067
163,0.84034
164,0.75707
165,0.69038
166,0.64135
167,0.60818
168,0.58638
169,0.56420
170,0.52791
171,0.47955
172,0.43586
173,0.40699
174,0.38887
175,0.37417
176,0.36053
177,0.34931
178,0.34037
179,0.32954
180,0.31258
181,0.28857
182,0.25980
183,0.23178
184,0.20890
185,0.19072
186,0.17555
187,0.16253
188,0.15211
189,0.14701
190,0.14937
191,0.15661
192,0.16166
193,0.15925
194,0.15263
195,0.15303
196,0.16381
197,0.17143
198,0.17998
199,0.18898
200,0.19248
201,0.18454
202,0.16475
203,0.13861
204,0.11437
205,0.09818
206,0.09063
207,0.08738
208,0.08397
209,0.08039
210,0.07954
211,0.08271
212,0.08716
213,0.08731
214,0.08113
215,0.07284
216,0.06548
217,0.05757
218,0.04943
219,0.04389
220,0.04058
221,0.03622
222,0.03055
223,0.02635
224,0.02535
225,0.02749
226,0.03298
227,0.04171
228,0.05101
229,0.05702
230,0.05860
231,0.05585
232,0.05143
233,0.04864
234,0.04552
235,0.04153
236,0.03667
237,0.03121
238,0.02595
239,0.02304
240,0.02616
241,0.03754
242,0.05246
243,0.06009
244,0.05447
245,0.04101
246,0.02889
247,0.02187
248,0.01912
249,0.01949
250,0.02174
251,0.02343
252,0.02217
253,0.01807
254,0.01350
255,0.01055
256,0.00955
257,0.00970
258,0.01036
259,0.01118
260,0.01146
261,0.01027
262,0.00780
263,0.00521
264,0.00331
265,0.00227
266,0.00173
267,0.00173
268,0.00241
269,0.00335
270,0.00370
271,0.00302
272,0.00182
273,0.00084
274,0.00044
275,0.00068
276,0.00143
277,0.00224
278,0.00250
279,0.00200
280,0.00126
281,0.00096
282,0.00138
283,0.00213
284,0.00251
285,0.00211
286,0.00126
287,0.00052
288,0.00015
289,0.00003
290,0.00000
291,0.00000
292,0.00001
293,0.00005
294,0.00022
295,0.00066
296,0.00151
297,0.00259
298,0.00334
299,0.00326
300,0.00239
301,0.00129
302,0.00032
303,0.00003
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00002
309,0.00009
310,0.00031
311,0.00071
312,0.00115
313,0.00134
314,0.00126
315,0.00120
316,0.00130
317,0.00132
318,0.00104
319,0.00060
320,0.00026
321,0.00016
322,0.00041
323,0.00121
324,0.00263
325,0.00419
326,0.00486
327,0.00409
328,0.00250
329,0.00122
330,0.00081
331,0.00113
332,0.00169
333,0.00207
334,0.00203
335,0.00157
336,0.00093
337,0.00026
338,0.00002
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00001
345,0.00008
346,0.00028
347,0.00069
348,0.00115
349,0.00131
350,0.00108
351,0.00079
352,0.00083
353,0.00114
354,0.00130
355,0.00108
356,0.00072
357,0.00067
358,0.00119
359,0.00000
360,0.00000
