day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00001
104,0.00001
105,0.00003
106,0.00007
107,0.00013
108,0.00026
109,0.00048
110,0.00084
111,0.00140
112,0.00223
113,0.00339
114,0.00491
115,0.00680
116,0.00902
117,0.01148
118,0.01404
119,0.01656
120,0.01893
121,0.02111
122,0.02325
123,0.02560
124,0.03039
125,0.03730
126,0.04369
127,0.05144
128,0.06033
129,0.06996
130,0.07982
131,0.08937
132,0.09815
133,0.10590
134,0.11259
135,0.11854
136,0.12445
137,0.13111
138,0.13934
139,0.14986
140,0.16309
141,0.17910
142,0.19754
143,0.21769
144,0.23858
145,0.25915
146,0.27842
147,0.29569
148,0.31070
149,0.32318
150,0.33487
151,0.34726
152,0.36205
153,0.38099
154,0.40555
155,0.43675
156,0.47485
157,0.51935
158,0.56894
159,0.62182
160,0.68888
161,0.76641
162,0.82826
163,0.87001
164,0.90649
165,0.93743
166,0.96266
167,0.98172
168,0.99422
169,0.99995
170,0.99909
171,0.99233
172,0.97989
173,0.96376
174,0.94546
175,0.92601
176,0.90569
177,0.88403
178,0.85990
179,0.83177
180,0.79845
181,0.75966
182,0.71577
183,0.66790
184,0.61773
185,0.56724
186,0.51847
187,0.47324
188,0.43303
189,0.39880
190,0.37105
191,0.34977
192,0.33451
193,0.32459
194,0.31919
195,0.31747
196,0.31924
197,0.32310
198,0.32666
199,0.32978
200,0.33160
201,0.33121
202,0.32776
203,0.32068
204,0.30982
205,0.29561
206,0.27899
207,0.26125
208,0.24382
209,0.22785
210,0.21389
211,0.20202
212,0.19192
213,0.18311
214,0.17505
215,0.16738
216,0.15986
217,0.15245
218,0.14520
219,0.13817
220,0.13142
221,0.12495
222,0.11869
223,0.11257
224,0.10648
225,0.10044
226,0.09459
227,0.08924
228,0.08486
229,0.08201
230,0.08128
231,0.08510
232,0.09468
233,0.10579
234,0.11812
235,0.13179
236,0.14597
237,0.15986
238,0.17280
239,0.18438
240,0.19431
241,0.20250
242,0.20896
243,0.21383
244,0.21726
245,0.21945
246,0.22057
247,0.22071
248,0.21994
249,0.21826
250,0.21564
251,0.21196
252,0.20718
253,0.20130
254,0.19431
255,0.18630
256,0.17749
257,0.16819
258,0.15881
259,0.14993
260,0.14185
261,0.13480
262,0.12877
263,0.12350
264,0.11851
265,0.11321
266,0.10331
267,0.09111
268,0.08187
269,0.07244
270,0.06347
271,0.05553
272,0.04906
273,0.04428
274,0.04127
275,0.03996
276,0.04021
277,0.04182
278,0.04460
279,0.04829
280,0.05261
281,0.05716
282,0.06147
283,0.06514
284,0.06778
285,0.06915
286,0.06915
287,0.06788
288,0.06560
289,0.06268
290,0.05955
291,0.05664
292,0.05425
293,0.05256
294,0.05159
295,0.05125
296,0.05126
297,0.05133
298,0.05123
299,0.05080
300,0.04995
301,0.04870
302,0.04622
303,0.04335
304,0.04128
305,0.03909
306,0.03672
307,0.03412
308,0.03122
309,0.02798
310,0.02448
311,0.02083
312,0.01719
313,0.01371
314,0.01054
315,0.00780
316,0.00555
317,0.00378
318,0.00247
319,0.00154
320,0.00091
321,0.00052
322,0.00028
323,0.00014
324,0.00007
325,0.00003
326,0.00002
327,0.00001
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
