day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00014
5,0.00003
6,0.00001
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00001
14,0.00007
15,0.00027
16,0.00079
17,0.00176
18,0.00342
19,0.00387
20,0.00302
21,0.00183
22,0.00086
23,0.00032
24,0.00009
25,0.00002
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00001
90,0.00006
91,0.00022
92,0.00068
93,0.00157
94,0.00281
95,0.00397
96,0.00459
97,0.00467
98,0.00465
99,0.00471
100,0.00455
101,0.00399
102,0.00346
103,0.00353
104,0.00419
105,0.00490
106,0.00558
107,0.00697
108,0.00973
109,0.01325
110,0.01619
111,0.01872
112,0.02347
113,0.03436
114,0.05409
115,0.08102
116,0.10824
117,0.12887
118,0.14348
119,0.15902
120,0.17897
121,0.19954
122,0.21872
123,0.24388
124,0.31226
125,0.39430
126,0.43234
127,0.45030
128,0.45725
129,0.46585
130,0.48517
131,0.51997
132,0.57124
133,0.63394
134,0.69623
135,0.74712
136,0.78748
137,0.82860
138,0.87570
139,0.91621
140,0.93022
141,0.91228
142,0.87810
143,0.84757
144,0.82827
145,0.82171
146,0.83633
147,0.87899
148,0.93844
149,0.98708
150,1.00000
151,0.97090
152,0.91246
153,0.84591
154,0.79062
155,0.75707
156,0.74183
157,0.72992
158,0.70689
159,0.66898
160,0.59482
161,0.51773
162,0.47634
163,0.45209
164,0.44469
165,0.44384
166,0.43599
167,0.41389
168,0.38053
169,0.34348
170,0.30679
171,0.27103
172,0.23940
173,0.21879
174,0.21357
175,0.22087
176,0.23130
177,0.23327
178,0.21938
179,0.19212
180,0.16165
181,0.13787
182,0.12406
183,0.11580
184,0.10673
185,0.09479
186,0.08261
187,0.07358
188,0.06941
189,0.07054
190,0.07653
191,0.08562
192,0.09481
193,0.10094
194,0.10155
195,0.08974
196,0.07047
197,0.05964
198,0.05406
199,0.05325
200,0.05505
201,0.05745
202,0.05919
203,0.06034
204,0.06263
205,0.06723
206,0.07198
207,0.07248
208,0.06680
209,0.05788
210,0.05009
211,0.04491
212,0.04143
213,0.03930
214,0.03870
215,0.03902
216,0.03976
217,0.04158
218,0.04534
219,0.05027
220,0.05400
221,0.05416
222,0.04998
223,0.04322
224,0.03757
225,0.03559
226,0.03640
227,0.03675
228,0.03458
229,0.03129
230,0.03049
231,0.03809
232,0.04916
233,0.05321
234,0.05237
235,0.04690
236,0.03881
237,0.03114
238,0.02632
239,0.02414
240,0.02220
241,0.01890
242,0.01531
243,0.01361
244,0.01448
245,0.01691
246,0.01994
247,0.02357
248,0.02787
249,0.03189
250,0.03415
251,0.03402
252,0.03212
253,0.02976
254,0.02803
255,0.02708
256,0.02602
257,0.02391
258,0.02071
259,0.01727
260,0.01460
261,0.01318
262,0.01258
263,0.01175
264,0.00996
265,0.00768
266,0.00644
267,0.00879
268,0.01189
269,0.01536
270,0.01879
271,0.02112
272,0.02088
273,0.01788
274,0.01406
275,0.01181
276,0.01184
277,0.01308
278,0.01413
279,0.01459
280,0.01498
281,0.01546
282,0.01518
283,0.01352
284,0.01150
285,0.01108
286,0.01311
287,0.01652
288,0.01962
289,0.02153
290,0.02205
291,0.02102
292,0.01834
293,0.01451
294,0.01041
295,0.00674
296,0.00387
297,0.00196
298,0.00106
299,0.00114
300,0.00213
301,0.00384
302,0.00673
303,0.00876
304,0.00929
305,0.00937
306,0.00911
307,0.00853
308,0.00774
309,0.00693
310,0.00626
311,0.00563
312,0.00507
313,0.00486
314,0.00519
315,0.00572
316,0.00603
317,0.00600
318,0.00564
319,0.00511
320,0.00477
321,0.00471
322,0.00452
323,0.00377
324,0.00265
325,0.00182
326,0.00194
327,0.00323
328,0.00532
329,0.00717
330,0.00767
331,0.00648
332,0.00431
333,0.00225
334,0.00091
335,0.00029
336,0.00007
337,0.00001
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00001
348,0.00003
349,0.00015
350,0.00049
351,0.00125
352,0.00242
353,0.00358
354,0.00405
355,0.00351
356,0.00236
357,0.00123
358,0.00049
359,0.00000
360,0.00000
