day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00073
5,0.00063
6,0.00069
7,0.00091
8,0.00127
9,0.00172
10,0.00223
11,0.00271
12,0.00307
13,0.00326
14,0.00324
15,0.00300
16,0.00259
17,0.00209
18,0.00133
19,0.00071
20,0.00043
21,0.00025
22,0.00013
23,0.00007
24,0.00003
25,0.00001
26,0.00001
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00001
94,0.00002
95,0.00005
96,0.00010
97,0.00020
98,0.00036
99,0.00060
100,0.00095
101,0.00139
102,0.00190
103,0.00242
104,0.00288
105,0.00321
106,0.00333
107,0.00322
108,0.00291
109,0.00248
110,0.00205
111,0.00171
112,0.00156
113,0.00170
114,0.00218
115,0.00301
116,0.00420
117,0.00567
118,0.00733
119,0.00903
120,0.01061
121,0.01193
122,0.01287
123,0.01336
124,0.01315
125,0.01213
126,0.01112
127,0.01007
128,0.00913
129,0.00846
130,0.00812
131,0.00813
132,0.00847
133,0.00907
134,0.00991
135,0.01103
136,0.01253
137,0.01467
138,0.01779
139,0.02231
140,0.02865
141,0.03720
142,0.04822
143,0.06195
144,0.07832
145,0.09713
146,0.11814
147,0.14110
148,0.16581
149,0.19213
150,0.22002
151,0.24960
152,0.28101
153,0.31443
154,0.34993
155,0.38747
156,0.42687
157,0.46793
158,0.51045
159,0.55178
160,0.61490
161,0.68160
162,0.73128
163,0.77687
164,0.82157
165,0.86410
166,0.90295
167,0.93653
168,0.96345
169,0.98285
170,0.99464
171,0.99963
172,0.99935
173,0.99566
174,0.99019
175,0.98380
176,0.97554
177,0.96427
178,0.94790
179,0.92463
180,0.89443
181,0.85933
182,0.82241
183,0.78703
184,0.75580
185,0.72980
186,0.70833
187,0.68940
188,0.67055
189,0.64993
190,0.62700
191,0.60274
192,0.57925
193,0.55893
194,0.54371
195,0.53444
196,0.53127
197,0.53371
198,0.53604
199,0.53658
200,0.53428
201,0.52872
202,0.51996
203,0.50839
204,0.49456
205,0.47915
206,0.46301
207,0.44721
208,0.43307
209,0.42196
210,0.41502
211,0.41281
212,0.41497
213,0.42017
214,0.42617
215,0.43035
216,0.43052
217,0.42541
218,0.41485
219,0.39979
220,0.38201
221,0.36367
222,0.34679
223,0.33287
224,0.32265
225,0.31610
226,0.31258
227,0.31111
228,0.31061
229,0.31014
230,0.30902
231,0.30552
232,0.29890
233,0.29155
234,0.28355
235,0.27436
236,0.26434
237,0.25402
238,0.24391
239,0.23455
240,0.22631
241,0.21940
242,0.21387
243,0.20957
244,0.20625
245,0.20366
246,0.20168
247,0.20044
248,0.20037
249,0.20218
250,0.20636
251,0.21308
252,0.22201
253,0.23230
254,0.24276
255,0.25204
256,0.25891
257,0.26246
258,0.26220
259,0.25809
260,0.25050
261,0.24007
262,0.22762
263,0.21404
264,0.20024
265,0.18709
266,0.17070
267,0.15838
268,0.15286
269,0.14866
270,0.14503
271,0.14128
272,0.13687
273,0.13160
274,0.12555
275,0.11903
276,0.11243
277,0.10609
278,0.10028
279,0.09514
280,0.09073
281,0.08705
282,0.08409
283,0.08182
284,0.08014
285,0.07883
286,0.07763
287,0.07630
288,0.07460
289,0.07241
290,0.06970
291,0.06656
292,0.06315
293,0.05969
294,0.05645
295,0.05372
296,0.05175
297,0.05079
298,0.05096
299,0.05221
300,0.05430
301,0.05678
302,0.05975
303,0.06082
304,0.05997
305,0.05809
306,0.05549
307,0.05251
308,0.04941
309,0.04634
310,0.04335
311,0.04046
312,0.03771
313,0.03517
314,0.03295
315,0.03111
316,0.02969
317,0.02859
318,0.02767
319,0.02678
320,0.02582
321,0.02481
322,0.02387
323,0.02311
324,0.02257
325,0.02219
326,0.02180
327,0.02119
328,0.02018
329,0.01871
330,0.01681
331,0.01463
332,0.01240
333,0.01031
334,0.00850
335,0.00705
336,0.00597
337,0.00500
338,0.00448
339,0.00427
340,0.00406
341,0.00379
342,0.00344
343,0.00304
344,0.00265
345,0.00235
346,0.00220
347,0.00223
348,0.00243
349,0.00275
350,0.00307
351,0.00330
352,0.00336
353,0.00321
354,0.00286
355,0.00238
356,0.00186
357,0.00138
358,0.00099
359,0.00000
360,0.00000
