day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.07217
5,0.07210
6,0.07132
7,0.06981
8,0.06758
9,0.06470
10,0.06124
11,0.05734
12,0.05315
13,0.04880
14,0.04446
15,0.04027
16,0.03631
17,0.03265
18,0.02781
19,0.02361
20,0.02121
21,0.01907
22,0.01715
23,0.01544
24,0.01390
25,0.01253
26,0.01131
27,0.01022
28,0.00926
29,0.00840
30,0.00766
31,0.00701
32,0.00646
33,0.00599
34,0.00560
35,0.00528
36,0.00502
37,0.00483
38,0.00469
39,0.00461
40,0.00459
41,0.00462
42,0.00471
43,0.00484
44,0.00501
45,0.00522
46,0.00545
47,0.00567
48,0.00588
49,0.00605
50,0.00615
51,0.00618
52,0.00612
53,0.00587
54,0.00545
55,0.00510
56,0.00470
57,0.00428
58,0.00385
59,0.00344
60,0.00306
61,0.00271
62,0.00240
63,0.00213
64,0.00190
65,0.00171
66,0.00155
67,0.00143
68,0.00135
69,0.00130
70,0.00129
71,0.00132
72,0.00138
73,0.00148
74,0.00161
75,0.00177
76,0.00195
77,0.00216
78,0.00237
79,0.00258
80,0.00279
81,0.00298
82,0.00314
83,0.00326
84,0.00334
85,0.00337
86,0.00335
87,0.00329
88,0.00320
89,0.00299
90,0.00275
91,0.00257
92,0.00239
93,0.00222
94,0.00205
95,0.00191
96,0.00179
97,0.00170
98,0.00164
99,0.00161
100,0.00161
101,0.00164
102,0.00170
103,0.00179
104,0.00191
105,0.00207
106,0.00226
107,0.00250
108,0.00278
109,0.00311
110,0.00349
111,0.00394
112,0.00446
113,0.00504
114,0.00570
115,0.00643
116,0.00723
117,0.00809
118,0.00901
119,0.00997
120,0.01099
121,0.01204
122,0.01314
123,0.01426
124,0.01604
125,0.01792
126,0.01926
127,0.02068
128,0.02219
129,0.02381
130,0.02556
131,0.02747
132,0.02955
133,0.03184
134,0.03438
135,0.03722
136,0.04041
137,0.04403
138,0.04814
139,0.05281
140,0.05809
141,0.06401
142,0.07058
143,0.07782
144,0.08563
145,0.09392
146,0.10260
147,0.11158
148,0.12081
149,0.13025
150,0.13991
151,0.14985
152,0.16016
153,0.17096
154,0.18238
155,0.19459
156,0.20765
157,0.22153
158,0.23618
159,0.25146
160,0.27512
161,0.29887
162,0.31427
163,0.32896
164,0.34266
165,0.35510
166,0.36598
167,0.37515
168,0.38257
169,0.38822
170,0.39213
171,0.39437
172,0.39509
173,0.39444
174,0.39262
175,0.38982
176,0.38626
177,0.38211
178,0.37755
179,0.37273
180,0.36780
181,0.36286
182,0.35799
183,0.35329
184,0.34884
185,0.34473
186,0.34105
187,0.33788
188,0.33530
189,0.33333
190,0.33203
191,0.33137
192,0.33130
193,0.33181
194,0.33296
195,0.33650
196,0.34294
197,0.35035
198,0.36137
199,0.37727
200,0.39945
201,0.42959
202,0.46926
203,0.51834
204,0.57640
205,0.64191
206,0.71225
207,0.78377
208,0.85199
209,0.91208
210,0.95929
211,0.98955
212,1.00000
213,0.98897
214,0.95617
215,0.90609
216,0.84280
217,0.77104
218,0.69570
219,0.62128
220,0.55151
221,0.48914
222,0.43581
223,0.39213
224,0.35787
225,0.33226
226,0.31448
227,0.30242
228,0.29484
229,0.29066
230,0.28902
231,0.29012
232,0.29373
233,0.29737
234,0.30172
235,0.30665
236,0.31204
237,0.31779
238,0.32371
239,0.32969
240,0.33563
241,0.34148
242,0.34722
243,0.35288
244,0.35855
245,0.36432
246,0.37027
247,0.37647
248,0.38292
249,0.38955
250,0.39613
251,0.40241
252,0.40808
253,0.41282
254,0.41635
255,0.41843
256,0.41889
257,0.41768
258,0.41483
259,0.41045
260,0.40472
261,0.39781
262,0.39006
263,0.38175
264,0.37309
265,0.36432
266,0.35141
267,0.33920
268,0.33180
269,0.32516
270,0.31942
271,0.31475
272,0.31133
273,0.30921
274,0.30839
275,0.30884
276,0.31047
277,0.31315
278,0.31668
279,0.32085
280,0.32542
281,0.33014
282,0.33482
283,0.33929
284,0.34347
285,0.34737
286,0.35114
287,0.35497
288,0.35911
289,0.36383
290,0.36934
291,0.37579
292,0.38322
293,0.39151
294,0.40039
295,0.40942
296,0.41800
297,0.42538
298,0.43097
299,0.43420
300,0.43467
301,0.43216
302,0.42244
303,0.40737
304,0.39446
305,0.38009
306,0.36485
307,0.34928
308,0.33393
309,0.31910
310,0.30499
311,0.29164
312,0.27903
313,0.26707
314,0.25564
315,0.24460
316,0.23388
317,0.22340
318,0.21314
319,0.20313
320,0.19345
321,0.18415
322,0.17532
323,0.16705
324,0.15938
325,0.15237
326,0.14603
327,0.14035
328,0.13525
329,0.13067
330,0.12649
331,0.12257
332,0.11878
333,0.11496
334,0.11101
335,0.10685
336,0.10246
337,0.09539
338,0.08799
339,0.08296
340,0.07802
341,0.07328
342,0.06890
343,0.06506
344,0.06184
345,0.05931
346,0.05753
347,0.05650
348,0.05621
349,0.05658
350,0.05755
351,0.05899
352,0.06079
353,0.06282
354,0.06494
355,0.06701
356,0.06888
357,0.07042
358,0.07153
359,0.00000
360,0.00000
