day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.10252
5,0.10316
6,0.10231
7,0.10001
8,0.09645
9,0.09188
10,0.08660
11,0.08095
12,0.07524
13,0.06977
14,0.06479
15,0.06046
16,0.05687
17,0.05402
18,0.05101
19,0.04887
20,0.04780
21,0.04690
22,0.04610
23,0.04540
24,0.04476
25,0.04416
26,0.04356
27,0.04292
28,0.04219
29,0.04134
30,0.04035
31,0.03924
32,0.03801
33,0.03672
34,0.03538
35,0.03402
36,0.03266
37,0.03133
38,0.03005
39,0.02887
40,0.02782
41,0.02694
42,0.02622
43,0.02566
44,0.02524
45,0.02493
46,0.02470
47,0.02456
48,0.02451
49,0.02457
50,0.02475
51,0.02507
52,0.02552
53,0.02640
54,0.02745
55,0.02827
56,0.02921
57,0.03033
58,0.03167
59,0.03324
60,0.03506
61,0.03709
62,0.03927
63,0.04154
64,0.04386
65,0.04623
66,0.04866
67,0.05120
68,0.05390
69,0.05681
70,0.05995
71,0.06330
72,0.06683
73,0.07042
74,0.07395
75,0.07728
76,0.08024
77,0.08274
78,0.08469
79,0.08606
80,0.08685
81,0.08710
82,0.08689
83,0.08634
84,0.08562
85,0.08493
86,0.08449
87,0.08455
88,0.08537
89,0.08877
90,0.09515
91,0.10178
92,0.11044
93,0.12129
94,0.13439
95,0.14977
96,0.16732
97,0.18685
98,0.20811
99,0.23077
100,0.25455
101,0.27923
102,0.30472
103,0.33110
104,0.35856
105,0.38743
106,0.41782
107,0.44966
108,0.48262
109,0.51611
110,0.54935
111,0.58151
112,0.61186
113,0.63987
114,0.66532
115,0.68829
116,0.70911
117,0.72824
118,0.74621
119,0.76344
120,0.78028
121,0.79693
122,0.81347
123,0.82996
124,0.85464
125,0.87933
126,0.89578
127,0.91214
128,0.92823
129,0.94377
130,0.95839
131,0.97161
132,0.98292
133,0.99180
134,0.99760
135,1.00000
136,0.99886
137,0.99412
138,0.98588
139,0.97443
140,0.96021
141,0.94379
142,0.92586
143,0.90714
144,0.88826
145,0.86976
146,0.85191
147,0.83480
148,0.81832
149,0.80224
150,0.78634
151,0.77058
152,0.75514
153,0.74033
154,0.72661
155,0.71437
156,0.70391
157,0.69524
158,0.68812
159,0.68200
160,0.67294
161,0.66204
162,0.65259
163,0.64122
164,0.62833
165,0.61471
166,0.60119
167,0.58852
168,0.57716
169,0.56720
170,0.55825
171,0.54957
172,0.54021
173,0.52921
174,0.51580
175,0.49954
176,0.48045
177,0.45898
178,0.43587
179,0.41222
180,0.38906
181,0.36722
182,0.34730
183,0.32972
184,0.31466
185,0.30217
186,0.29214
187,0.28438
188,0.27863
189,0.27454
190,0.27174
191,0.26983
192,0.26844
193,0.26725
194,0.26602
195,0.26388
196,0.26144
197,0.25966
198,0.25778
199,0.25577
200,0.25358
201,0.25117
202,0.24853
203,0.24574
204,0.24296
205,0.24043
206,0.23837
207,0.23698
208,0.23628
209,0.23601
210,0.23580
211,0.23516
212,0.23365
213,0.23094
214,0.22689
215,0.22155
216,0.21518
217,0.20811
218,0.20073
219,0.19338
220,0.18633
221,0.17980
222,0.17394
223,0.16891
224,0.16474
225,0.16152
226,0.15931
227,0.15812
228,0.15791
229,0.15858
230,0.15996
231,0.16286
232,0.16595
233,0.16773
234,0.16913
235,0.17009
236,0.17068
237,0.17102
238,0.17125
239,0.17151
240,0.17184
241,0.17225
242,0.17274
243,0.17325
244,0.17378
245,0.17433
246,0.17495
247,0.17574
248,0.17679
249,0.17821
250,0.18006
251,0.18233
252,0.18491
253,0.18754
254,0.18992
255,0.19174
256,0.19269
257,0.19256
258,0.19123
259,0.18870
260,0.18506
261,0.18048
262,0.17520
263,0.16947
264,0.16355
265,0.15772
266,0.14978
267,0.14318
268,0.13983
269,0.13727
270,0.13544
271,0.13427
272,0.13370
273,0.13372
274,0.13435
275,0.13566
276,0.13772
277,0.14052
278,0.14397
279,0.14784
280,0.15178
281,0.15528
282,0.15789
283,0.15930
284,0.15934
285,0.15805
286,0.15565
287,0.15248
288,0.14894
289,0.14540
290,0.14218
291,0.13944
292,0.13723
293,0.13551
294,0.13417
295,0.13310
296,0.13226
297,0.13163
298,0.13132
299,0.13149
300,0.13228
301,0.13384
302,0.13770
303,0.14282
304,0.14666
305,0.15041
306,0.15372
307,0.15625
308,0.15775
309,0.15800
310,0.15683
311,0.15430
312,0.15053
313,0.14575
314,0.14023
315,0.13433
316,0.12839
317,0.12276
318,0.11770
319,0.11336
320,0.10979
321,0.10694
322,0.10466
323,0.10277
324,0.10108
325,0.09943
326,0.09773
327,0.09596
328,0.09414
329,0.09234
330,0.09060
331,0.08896
332,0.08744
333,0.08598
334,0.08452
335,0.08295
336,0.08117
337,0.07782
338,0.07364
339,0.07029
340,0.06664
341,0.06288
342,0.05923
343,0.05595
344,0.05329
345,0.05149
346,0.05073
347,0.05113
348,0.05274
349,0.05552
350,0.05935
351,0.06408
352,0.06948
353,0.07529
354,0.08124
355,0.08700
356,0.09226
357,0.09672
358,0.10010
359,0.00000
360,0.00000
