day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00674
5,0.00467
6,0.00296
7,0.00249
8,0.00334
9,0.00481
10,0.00602
11,0.00666
12,0.00674
13,0.00594
14,0.00440
15,0.00314
16,0.00279
17,0.00293
18,0.00257
19,0.00216
20,0.00273
21,0.00390
22,0.00494
23,0.00505
24,0.00398
25,0.00235
26,0.00111
27,0.00073
28,0.00116
29,0.00186
30,0.00219
31,0.00201
32,0.00190
33,0.00229
34,0.00287
35,0.00322
36,0.00334
37,0.00327
38,0.00295
39,0.00241
40,0.00180
41,0.00118
42,0.00070
43,0.00058
44,0.00083
45,0.00109
46,0.00099
47,0.00067
48,0.00055
49,0.00079
50,0.00106
51,0.00100
52,0.00063
53,0.00019
54,0.00017
55,0.00056
56,0.00134
57,0.00222
58,0.00264
59,0.00241
60,0.00174
61,0.00106
62,0.00072
63,0.00093
64,0.00156
65,0.00220
66,0.00255
67,0.00263
68,0.00251
69,0.00210
70,0.00152
71,0.00112
72,0.00110
73,0.00125
74,0.00137
75,0.00151
76,0.00183
77,0.00230
78,0.00282
79,0.00321
80,0.00336
81,0.00337
82,0.00329
83,0.00297
84,0.00232
85,0.00150
86,0.00078
87,0.00038
88,0.00038
89,0.00108
90,0.00212
91,0.00308
92,0.00460
93,0.00669
94,0.00875
95,0.00969
96,0.00906
97,0.00820
98,0.00926
99,0.01257
100,0.01616
101,0.01810
102,0.01854
103,0.01873
104,0.01912
105,0.01989
106,0.02220
107,0.02708
108,0.03368
109,0.04084
110,0.04975
111,0.06365
112,0.08425
113,0.10907
114,0.13230
115,0.14888
116,0.15918
117,0.17005
118,0.19032
119,0.22347
120,0.26294
121,0.29523
122,0.31199
123,0.31991
124,0.34609
125,0.39775
126,0.44563
127,0.50066
128,0.56977
129,0.65879
130,0.75424
131,0.83445
132,0.89394
133,0.94101
134,0.97221
135,0.96866
136,0.93406
137,0.90554
138,0.91366
139,0.95215
140,0.99018
141,1.00000
142,0.97676
143,0.94418
144,0.93620
145,0.96093
146,0.98963
147,0.98501
148,0.93998
149,0.88538
150,0.84853
151,0.81465
152,0.75544
153,0.68182
154,0.62555
155,0.58877
156,0.55582
157,0.53245
158,0.53830
159,0.57463
160,0.62928
161,0.62396
162,0.56584
163,0.47955
164,0.39245
165,0.32751
166,0.28647
167,0.25350
168,0.21778
169,0.18656
170,0.16958
171,0.16672
172,0.17172
173,0.17509
174,0.16914
175,0.15656
176,0.14876
177,0.15221
178,0.15877
179,0.15509
180,0.14216
181,0.13259
182,0.13018
183,0.12763
184,0.11916
185,0.10556
186,0.09480
187,0.09626
188,0.10909
189,0.11926
190,0.11560
191,0.10338
192,0.09196
193,0.08222
194,0.07292
195,0.06747
196,0.07321
197,0.07864
198,0.08148
199,0.08268
200,0.08354
201,0.08274
202,0.07790
203,0.06867
204,0.05765
205,0.04927
206,0.04603
207,0.04538
208,0.04366
209,0.04144
210,0.04166
211,0.04463
212,0.04736
213,0.04727
214,0.04520
215,0.04326
216,0.04159
217,0.03937
218,0.03667
219,0.03384
220,0.03171
221,0.03182
222,0.03470
223,0.03884
224,0.04221
225,0.04399
226,0.04493
227,0.04612
228,0.04719
229,0.04670
230,0.04443
231,0.04216
232,0.04458
233,0.04718
234,0.04723
235,0.04383
236,0.03788
237,0.03153
238,0.02696
239,0.02494
240,0.02475
241,0.02520
242,0.02554
243,0.02576
244,0.02612
245,0.02656
246,0.02689
247,0.02751
248,0.02900
249,0.03065
250,0.03080
251,0.02905
252,0.02677
253,0.02549
254,0.02576
255,0.02723
256,0.02984
257,0.03414
258,0.03950
259,0.04274
260,0.04112
261,0.03645
262,0.03322
263,0.03341
264,0.03588
265,0.03808
266,0.03464
267,0.02757
268,0.02489
269,0.02330
270,0.02152
271,0.02015
272,0.02006
273,0.02052
274,0.02048
275,0.01987
276,0.01893
277,0.01820
278,0.01874
279,0.02075
280,0.02301
281,0.02433
282,0.02463
283,0.02486
284,0.02611
285,0.02815
286,0.02959
287,0.02985
288,0.02972
289,0.02955
290,0.02835
291,0.02551
292,0.02266
293,0.02257
294,0.02598
295,0.03033
296,0.03191
297,0.02938
298,0.02502
299,0.02188
300,0.02067
301,0.02059
302,0.02278
303,0.02712
304,0.02918
305,0.02925
306,0.02748
307,0.02453
308,0.02198
309,0.02211
310,0.02562
311,0.03025
312,0.03176
313,0.02827
314,0.02322
315,0.02088
316,0.02135
317,0.02178
318,0.02038
319,0.01787
320,0.01604
321,0.01558
322,0.01536
323,0.01410
324,0.01190
325,0.00992
326,0.00907
327,0.00930
328,0.00969
329,0.00925
330,0.00807
331,0.00734
332,0.00795
333,0.00939
334,0.01045
335,0.01059
336,0.01013
337,0.00902
338,0.00787
339,0.00689
340,0.00524
341,0.00326
342,0.00205
343,0.00211
344,0.00303
345,0.00436
346,0.00586
347,0.00692
348,0.00702
349,0.00652
350,0.00572
351,0.00471
352,0.00395
353,0.00368
354,0.00388
355,0.00488
356,0.00664
357,0.00804
358,0.00807
359,0.00000
360,0.00000
