day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00011
5,0.00005
6,0.00002
7,0.00001
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00001
90,0.00005
91,0.00012
92,0.00026
93,0.00052
94,0.00098
95,0.00169
96,0.00270
97,0.00400
98,0.00548
99,0.00696
100,0.00819
101,0.00892
102,0.00900
103,0.00839
104,0.00731
105,0.00604
106,0.00491
107,0.00414
108,0.00389
109,0.00423
110,0.00515
111,0.00662
112,0.00865
113,0.01126
114,0.01454
115,0.01857
116,0.02344
117,0.02917
118,0.03573
119,0.04303
120,0.05093
121,0.05935
122,0.06832
123,0.07796
124,0.09416
125,0.11254
126,0.12658
127,0.14243
128,0.16085
129,0.18293
130,0.20990
131,0.24276
132,0.28174
133,0.32590
134,0.37302
135,0.41998
136,0.46364
137,0.50186
138,0.53444
139,0.57857
140,0.62252
141,0.66736
142,0.71181
143,0.75345
144,0.79006
145,0.82082
146,0.84664
147,0.86984
148,0.89287
149,0.91724
150,0.94275
151,0.96755
152,0.98896
153,0.99611
154,0.99832
155,0.99362
156,0.98583
157,0.97366
158,0.95630
159,0.93380
160,0.90720
161,0.87820
162,0.84920
163,0.82175
164,0.79656
165,0.77337
166,0.75127
167,0.72914
168,0.70599
169,0.68114
170,0.65435
171,0.62590
172,0.59661
173,0.56787
174,0.54102
175,0.51699
176,0.49609
177,0.47801
178,0.46216
179,0.44799
180,0.43519
181,0.42360
182,0.41315
183,0.40366
184,0.39488
185,0.38651
186,0.37849
187,0.37096
188,0.36421
189,0.35745
190,0.35270
191,0.34887
192,0.34405
193,0.33789
194,0.33067
195,0.32239
196,0.31520
197,0.30925
198,0.30371
199,0.29830
200,0.29275
201,0.28694
202,0.28088
203,0.27470
204,0.26851
205,0.26231
206,0.25608
207,0.24984
208,0.24360
209,0.23743
210,0.23125
211,0.22480
212,0.21775
213,0.20994
214,0.20161
215,0.19336
216,0.18599
217,0.18004
218,0.17561
219,0.17250
220,0.17026
221,0.16857
222,0.16735
223,0.16680
224,0.16725
225,0.16935
226,0.17200
227,0.17513
228,0.17868
229,0.18214
230,0.18510
231,0.18833
232,0.18890
233,0.18713
234,0.18416
235,0.18023
236,0.17577
237,0.17128
238,0.16737
239,0.16464
240,0.16359
241,0.16433
242,0.16655
243,0.16954
244,0.17228
245,0.17378
246,0.17332
247,0.17064
248,0.16596
249,0.15988
250,0.15319
251,0.14672
252,0.14116
253,0.13704
254,0.13455
255,0.13347
256,0.13318
257,0.13308
258,0.13247
259,0.13082
260,0.12786
261,0.12372
262,0.11887
263,0.11397
264,0.10967
265,0.10643
266,0.10391
267,0.10319
268,0.10333
269,0.10353
270,0.10350
271,0.10299
272,0.10163
273,0.09922
274,0.09568
275,0.09117
276,0.08609
277,0.08102
278,0.07650
279,0.07296
280,0.07053
281,0.06909
282,0.06835
283,0.06796
284,0.06770
285,0.06748
286,0.06741
287,0.06762
288,0.06817
289,0.06895
290,0.06968
291,0.06994
292,0.06935
293,0.06771
294,0.06495
295,0.06114
296,0.05645
297,0.05109
298,0.04532
299,0.03937
300,0.03354
301,0.02814
302,0.02176
303,0.01790
304,0.01736
305,0.01831
306,0.02044
307,0.02323
308,0.02606
309,0.02830
310,0.02950
311,0.02949
312,0.02830
313,0.02612
314,0.02326
315,0.02008
316,0.01692
317,0.01408
318,0.01172
319,0.00989
320,0.00855
321,0.00760
322,0.00694
323,0.00654
324,0.00636
325,0.00638
326,0.00655
327,0.00676
328,0.00688
329,0.00678
330,0.00644
331,0.00594
332,0.00539
333,0.00491
334,0.00457
335,0.00438
336,0.00429
337,0.00425
338,0.00422
339,0.00418
340,0.00411
341,0.00398
342,0.00380
343,0.00357
344,0.00334
345,0.00317
346,0.00309
347,0.00313
348,0.00322
349,0.00326
350,0.00318
351,0.00294
352,0.00254
353,0.00205
354,0.00153
355,0.00106
356,0.00068
357,0.00040
358,0.00022
359,0.00000
360,0.00000
