day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00150
5,0.00076
6,0.00035
7,0.00015
8,0.00006
9,0.00002
10,0.00002
11,0.00004
12,0.00010
13,0.00024
14,0.00054
15,0.00109
16,0.00205
17,0.00351
18,0.00678
19,0.01061
20,0.01281
21,0.01413
22,0.01425
23,0.01316
24,0.01113
25,0.00863
26,0.00614
27,0.00400
28,0.00239
29,0.00130
30,0.00065
31,0.00030
32,0.00012
33,0.00005
34,0.00002
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00001
77,0.00004
78,0.00009
79,0.00023
80,0.00054
81,0.00113
82,0.00216
83,0.00372
84,0.00585
85,0.00839
86,0.01096
87,0.01309
88,0.01429
89,0.01365
90,0.01090
91,0.00838
92,0.00602
93,0.00427
94,0.00345
95,0.00374
96,0.00531
97,0.00820
98,0.01233
99,0.01728
100,0.02221
101,0.02614
102,0.02819
103,0.02788
104,0.02530
105,0.02107
106,0.01612
107,0.01132
108,0.00729
109,0.00430
110,0.00232
111,0.00115
112,0.00052
113,0.00021
114,0.00008
115,0.00003
116,0.00001
117,0.00001
118,0.00003
119,0.00008
120,0.00021
121,0.00049
122,0.00104
123,0.00199
124,0.00449
125,0.00799
126,0.01058
127,0.01282
128,0.01425
129,0.01458
130,0.01387
131,0.01254
132,0.01132
133,0.01099
134,0.01221
135,0.01530
136,0.02016
137,0.02622
138,0.03260
139,0.03826
140,0.04244
141,0.04476
142,0.04518
143,0.04393
144,0.04140
145,0.03805
146,0.03436
147,0.03070
148,0.02729
149,0.02413
150,0.02106
151,0.01791
152,0.01462
153,0.01131
154,0.00823
155,0.00571
156,0.00402
157,0.00339
158,0.00403
159,0.00630
160,0.01370
161,0.02575
162,0.03705
163,0.05076
164,0.06686
165,0.08566
166,0.10776
167,0.13396
168,0.16491
169,0.20079
170,0.24114
171,0.28364
172,0.32842
173,0.37455
174,0.42122
175,0.46758
176,0.51244
177,0.55427
178,0.59122
179,0.62169
180,0.64478
181,0.66019
182,0.66817
183,0.66958
184,0.66598
185,0.65955
186,0.65299
187,0.64907
188,0.65004
189,0.65697
190,0.66934
191,0.68518
192,0.70172
193,0.71655
194,0.72864
195,0.74058
196,0.76024
197,0.78858
198,0.81850
199,0.85481
200,0.89413
201,0.93266
202,0.96618
203,0.99077
204,0.99964
205,0.98869
206,0.95601
207,0.90329
208,0.83663
209,0.76585
210,0.70249
211,0.65674
212,0.63465
213,0.63651
214,0.65705
215,0.68740
216,0.71776
217,0.73988
218,0.74841
219,0.74127
220,0.71982
221,0.68693
222,0.64566
223,0.59875
224,0.54851
225,0.49703
226,0.44690
227,0.40177
228,0.36616
229,0.34436
230,0.33858
231,0.35278
232,0.37892
233,0.39427
234,0.39231
235,0.37635
236,0.34979
237,0.31878
238,0.29011
239,0.26873
240,0.25676
241,0.25367
242,0.25675
243,0.26211
244,0.26583
245,0.26516
246,0.25902
247,0.24793
248,0.23332
249,0.21687
250,0.20008
251,0.18420
252,0.17031
253,0.15920
254,0.15099
255,0.14499
256,0.13980
257,0.13369
258,0.12553
259,0.11556
260,0.10498
261,0.09524
262,0.08728
263,0.08107
264,0.07567
265,0.06973
266,0.05751
267,0.04216
268,0.03137
269,0.02163
270,0.01376
271,0.00806
272,0.00433
273,0.00213
274,0.00096
275,0.00039
276,0.00015
277,0.00005
278,0.00002
279,0.00001
280,0.00000
281,0.00001
282,0.00002
283,0.00005
284,0.00013
285,0.00032
286,0.00070
287,0.00139
288,0.00252
289,0.00419
290,0.00637
291,0.00889
292,0.01137
293,0.01333
294,0.01431
295,0.01406
296,0.01263
297,0.01036
298,0.00775
299,0.00532
300,0.00335
301,0.00194
302,0.00077
303,0.00022
304,0.00009
305,0.00003
306,0.00001
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00001
340,0.00002
341,0.00007
342,0.00018
343,0.00041
344,0.00088
345,0.00171
346,0.00303
347,0.00490
348,0.00726
349,0.00985
350,0.01222
351,0.01388
352,0.01442
353,0.01371
354,0.01189
355,0.00942
356,0.00679
357,0.00448
358,0.00271
359,0.00000
360,0.00000
