day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00003
5,0.00008
6,0.00019
7,0.00041
8,0.00079
9,0.00136
10,0.00208
11,0.00286
12,0.00351
13,0.00387
14,0.00382
15,0.00337
16,0.00267
17,0.00188
18,0.00092
19,0.00033
20,0.00014
21,0.00006
22,0.00002
23,0.00001
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00001
85,0.00002
86,0.00006
87,0.00015
88,0.00033
89,0.00091
90,0.00187
91,0.00266
92,0.00340
93,0.00391
94,0.00411
95,0.00408
96,0.00402
97,0.00420
98,0.00479
99,0.00576
100,0.00685
101,0.00767
102,0.00787
103,0.00730
104,0.00608
105,0.00454
106,0.00303
107,0.00181
108,0.00096
109,0.00045
110,0.00019
111,0.00007
112,0.00003
113,0.00001
114,0.00001
115,0.00003
116,0.00007
117,0.00019
118,0.00043
119,0.00089
120,0.00163
121,0.00269
122,0.00400
123,0.00540
124,0.00694
125,0.00731
126,0.00665
127,0.00548
128,0.00408
129,0.00277
130,0.00176
131,0.00116
132,0.00099
133,0.00121
134,0.00176
135,0.00250
136,0.00327
137,0.00389
138,0.00425
139,0.00438
140,0.00448
141,0.00476
142,0.00538
143,0.00627
144,0.00717
145,0.00774
146,0.00769
147,0.00694
148,0.00565
149,0.00414
150,0.00272
151,0.00160
152,0.00085
153,0.00042
154,0.00023
155,0.00024
156,0.00042
157,0.00084
158,0.00155
159,0.00260
160,0.00462
161,0.00657
162,0.00737
163,0.00759
164,0.00728
165,0.00665
166,0.00599
167,0.00556
168,0.00550
169,0.00582
170,0.00655
171,0.00781
172,0.00975
173,0.01251
174,0.01605
175,0.02021
176,0.02492
177,0.03051
178,0.03797
179,0.04874
180,0.06380
181,0.08330
182,0.10620
183,0.13072
184,0.15500
185,0.17781
186,0.19881
187,0.21850
188,0.23791
189,0.25836
190,0.28107
191,0.30669
192,0.33497
193,0.36475
194,0.39451
195,0.43702
196,0.47877
197,0.50886
198,0.54262
199,0.58031
200,0.62048
201,0.66002
202,0.69563
203,0.72464
204,0.74573
205,0.75920
206,0.76699
207,0.77231
208,0.77899
209,0.79054
210,0.80914
211,0.83490
212,0.86571
213,0.89780
214,0.92708
215,0.95055
216,0.96726
217,0.97834
218,0.98592
219,0.99180
220,0.99662
221,0.99978
222,1.00000
223,0.99573
224,0.98603
225,0.97048
226,0.94954
227,0.92494
228,0.89949
229,0.87622
230,0.85727
231,0.83735
232,0.82121
233,0.80906
234,0.79439
235,0.77812
236,0.76275
237,0.75116
238,0.74506
239,0.74378
240,0.74413
241,0.74156
242,0.73186
243,0.71270
244,0.68422
245,0.64879
246,0.61097
247,0.57500
248,0.54420
249,0.52032
250,0.50372
251,0.49409
252,0.49106
253,0.49439
254,0.50349
255,0.51678
256,0.53132
257,0.54319
258,0.54854
259,0.54491
260,0.53213
261,0.51218
262,0.48807
263,0.46241
264,0.43664
265,0.41128
266,0.37559
267,0.34562
268,0.33146
269,0.32182
270,0.31560
271,0.31112
272,0.30664
273,0.30080
274,0.29292
275,0.28318
276,0.27247
277,0.26205
278,0.25299
279,0.24577
280,0.24012
281,0.23524
282,0.23018
283,0.22418
284,0.21686
285,0.20826
286,0.19875
287,0.18886
288,0.17920
289,0.17023
290,0.16201
291,0.15415
292,0.14602
293,0.13713
294,0.12743
295,0.11737
296,0.10767
297,0.09892
298,0.09139
299,0.08501
300,0.07955
301,0.07484
302,0.06871
303,0.06277
304,0.05840
305,0.05367
306,0.04898
307,0.04502
308,0.04237
309,0.04118
310,0.04099
311,0.04084
312,0.03966
313,0.03691
314,0.03269
315,0.02772
316,0.02298
317,0.01936
318,0.01738
319,0.01704
320,0.01783
321,0.01892
322,0.01941
323,0.01869
324,0.01663
325,0.01354
326,0.01004
327,0.00677
328,0.00413
329,0.00230
330,0.00120
331,0.00069
332,0.00062
333,0.00092
334,0.00161
335,0.00265
336,0.00398
337,0.00600
338,0.00740
339,0.00759
340,0.00725
341,0.00659
342,0.00590
343,0.00536
344,0.00501
345,0.00474
346,0.00437
347,0.00380
348,0.00304
349,0.00220
350,0.00143
351,0.00084
352,0.00043
353,0.00020
354,0.00008
355,0.00003
356,0.00001
357,0.00001
358,0.00001
359,0.00000
360,0.00000
