day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00001
112,0.00003
113,0.00008
114,0.00018
115,0.00035
116,0.00062
117,0.00098
118,0.00137
119,0.00171
120,0.00189
121,0.00187
122,0.00164
123,0.00128
124,0.00072
125,0.00030
126,0.00015
127,0.00006
128,0.00002
129,0.00001
130,0.00000
131,0.00000
132,0.00000
133,0.00000
134,0.00000
135,0.00000
136,0.00001
137,0.00002
138,0.00006
139,0.00016
140,0.00039
141,0.00085
142,0.00170
143,0.00312
144,0.00528
145,0.00833
146,0.01227
147,0.01701
148,0.02240
149,0.02833
150,0.03486
151,0.04224
152,0.05080
153,0.06077
154,0.07211
155,0.08461
156,0.09814
157,0.11285
158,0.12916
159,0.14764
160,0.18066
161,0.21917
162,0.24824
163,0.27967
164,0.31378
165,0.35137
166,0.39340
167,0.44015
168,0.49042
169,0.53941
170,0.58574
171,0.62671
172,0.66114
173,0.68970
174,0.71436
175,0.73725
176,0.75955
177,0.78113
178,0.80100
179,0.81850
180,0.83410
181,0.84915
182,0.86511
183,0.88273
184,0.90170
185,0.92082
186,0.93864
187,0.95392
188,0.96611
189,0.97543
190,0.98268
191,0.98876
192,0.99413
193,0.99835
194,0.99996
195,0.99671
196,0.98099
197,0.95755
198,0.94008
199,0.92399
200,0.90932
201,0.89397
202,0.87464
203,0.84907
204,0.81718
205,0.78139
206,0.74563
207,0.71393
208,0.68901
209,0.67179
210,0.66154
211,0.65675
212,0.65608
213,0.65884
214,0.66481
215,0.67358
216,0.68396
217,0.69383
218,0.70066
219,0.70236
220,0.69810
221,0.68866
222,0.67606
223,0.66253
224,0.64937
225,0.63634
226,0.62209
227,0.60564
228,0.58756
229,0.57017
230,0.55646
231,0.54768
232,0.54302
233,0.53828
234,0.52910
235,0.51521
236,0.49930
237,0.48536
238,0.47681
239,0.47516
240,0.47954
241,0.48708
242,0.49397
243,0.49655
244,0.49237
245,0.48092
246,0.46392
247,0.44534
248,0.42983
249,0.42132
250,0.42202
251,0.43187
252,0.44844
253,0.46744
254,0.48368
255,0.49255
256,0.49125
257,0.47946
258,0.45901
259,0.43285
260,0.40385
261,0.37391
262,0.34375
263,0.31333
264,0.28311
265,0.25321
266,0.21198
267,0.17712
268,0.15901
269,0.14460
270,0.13348
271,0.12536
272,0.11985
273,0.11631
274,0.11384
275,0.11141
276,0.10804
277,0.10305
278,0.09627
279,0.08805
280,0.07912
281,0.07037
282,0.06254
283,0.05610
284,0.05119
285,0.04766
286,0.04516
287,0.04315
288,0.04101
289,0.03818
290,0.03438
291,0.02979
292,0.02495
293,0.02043
294,0.01656
295,0.01338
296,0.01074
297,0.00853
298,0.00675
299,0.00548
300,0.00484
301,0.00481
302,0.00542
303,0.00585
304,0.00556
305,0.00478
306,0.00367
307,0.00252
308,0.00154
309,0.00083
310,0.00040
311,0.00017
312,0.00006
313,0.00002
314,0.00001
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
