day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00002
111,0.00007
112,0.00024
113,0.00072
114,0.00189
115,0.00434
116,0.00872
117,0.01550
118,0.02455
119,0.03517
120,0.04637
121,0.05737
122,0.06777
123,0.07717
124,0.08766
125,0.09388
126,0.09653
127,0.09940
128,0.10241
129,0.10494
130,0.10783
131,0.11407
132,0.12723
133,0.14913
134,0.17877
135,0.21388
136,0.25369
137,0.30093
138,0.36070
139,0.43653
140,0.52571
141,0.61756
142,0.69664
143,0.74975
144,0.77236
145,0.77063
146,0.75810
147,0.74929
148,0.75400
149,0.77475
150,0.80840
151,0.84996
152,0.89526
153,0.94008
154,0.97724
155,0.99862
156,1.00000
157,0.98485
158,0.96261
159,0.94258
160,0.92378
161,0.90802
162,0.89194
163,0.86880
164,0.83880
165,0.80284
166,0.76170
167,0.71610
168,0.66748
169,0.61821
170,0.57066
171,0.52588
172,0.48404
173,0.44661
174,0.41801
175,0.40397
176,0.40717
177,0.42390
178,0.44477
179,0.45840
180,0.45647
181,0.43464
182,0.39322
183,0.33753
184,0.27668
185,0.22020
186,0.17487
187,0.14346
188,0.12563
189,0.11953
190,0.12291
191,0.13351
192,0.14889
193,0.16620
194,0.18238
195,0.19906
196,0.20717
197,0.20782
198,0.20471
199,0.19660
200,0.18281
201,0.16499
202,0.14719
203,0.13421
204,0.12783
205,0.12570
206,0.12344
207,0.11788
208,0.10926
209,0.10059
210,0.09496
211,0.09316
212,0.09344
213,0.09317
214,0.09080
215,0.08650
216,0.08136
217,0.07623
218,0.07111
219,0.06538
220,0.05848
221,0.05047
222,0.04238
223,0.03604
224,0.03370
225,0.03709
226,0.04632
227,0.05914
228,0.07142
229,0.07880
230,0.07970
231,0.07272
232,0.06617
233,0.06653
234,0.07076
235,0.07662
236,0.08088
237,0.08105
238,0.07662
239,0.06917
240,0.06127
241,0.05498
242,0.05103
243,0.04885
244,0.04720
245,0.04492
246,0.04152
247,0.03740
248,0.03365
249,0.03134
250,0.03077
251,0.03118
252,0.03119
253,0.02964
254,0.02635
255,0.02228
256,0.01859
257,0.01604
258,0.01464
259,0.01392
260,0.01360
261,0.01404
262,0.01608
263,0.02027
264,0.02622
265,0.03251
266,0.03863
267,0.03999
268,0.03873
269,0.03688
270,0.03461
271,0.03159
272,0.02773
273,0.02359
274,0.02017
275,0.01827
276,0.01792
277,0.01839
278,0.01863
279,0.01784
280,0.01578
281,0.01271
282,0.00923
283,0.00599
284,0.00348
285,0.00185
286,0.00107
287,0.00108
288,0.00189
289,0.00366
290,0.00649
291,0.01020
292,0.01421
293,0.01757
294,0.01930
295,0.01884
296,0.01632
297,0.01253
298,0.00848
299,0.00505
300,0.00263
301,0.00119
302,0.00031
303,0.00005
304,0.00001
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
