day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00009
5,0.00005
6,0.00003
7,0.00002
8,0.00001
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00001
59,0.00002
60,0.00003
61,0.00006
62,0.00010
63,0.00018
64,0.00029
65,0.00045
66,0.00068
67,0.00101
68,0.00146
69,0.00207
70,0.00288
71,0.00394
72,0.00531
73,0.00704
74,0.00918
75,0.01174
76,0.01471
77,0.01808
78,0.02184
79,0.02599
80,0.03058
81,0.03570
82,0.04150
83,0.04817
84,0.05591
85,0.06492
86,0.07533
87,0.08722
88,0.10059
89,0.12349
90,0.14900
91,0.16777
92,0.18806
93,0.21016
94,0.23443
95,0.26117
96,0.29055
97,0.32255
98,0.35689
99,0.39309
100,0.43051
101,0.46847
102,0.50636
103,0.54373
104,0.58031
105,0.61614
106,0.65129
107,0.68587
108,0.71983
109,0.75302
110,0.78510
111,0.81567
112,0.84426
113,0.87051
114,0.89417
115,0.91520
116,0.93367
117,0.94975
118,0.96362
119,0.97525
120,0.98476
121,0.99208
122,0.99714
123,0.99994
124,1.00000
125,0.99664
126,0.99275
127,0.98814
128,0.98316
129,0.97813
130,0.97323
131,0.96854
132,0.96398
133,0.95926
134,0.95382
135,0.94699
136,0.93802
137,0.92627
138,0.91129
139,0.89298
140,0.87161
141,0.84784
142,0.82263
143,0.79707
144,0.77221
145,0.74888
146,0.72756
147,0.70830
148,0.69079
149,0.67443
150,0.65848
151,0.64244
152,0.62611
153,0.60962
154,0.59336
155,0.57789
156,0.56380
157,0.55154
158,0.54131
159,0.53299
160,0.52317
161,0.51427
162,0.50775
163,0.50006
164,0.49113
165,0.48116
166,0.47062
167,0.46005
168,0.44993
169,0.44059
170,0.43211
171,0.42433
172,0.41689
173,0.40935
174,0.40132
175,0.39257
176,0.38312
177,0.37322
178,0.36333
179,0.35408
180,0.34595
181,0.33930
182,0.33429
183,0.33086
184,0.32877
185,0.32766
186,0.32710
187,0.32665
188,0.32595
189,0.32478
190,0.32303
191,0.32079
192,0.31825
193,0.31566
194,0.31332
195,0.31080
196,0.30945
197,0.30929
198,0.30956
199,0.31015
200,0.31093
201,0.31181
202,0.31269
203,0.31352
204,0.31425
205,0.31480
206,0.31509
207,0.31500
208,0.31439
209,0.31320
210,0.31141
211,0.30911
212,0.30644
213,0.30354
214,0.30056
215,0.29755
216,0.29448
217,0.29127
218,0.28785
219,0.28421
220,0.28050
221,0.27696
222,0.27392
223,0.27168
224,0.27036
225,0.26975
226,0.26945
227,0.26894
228,0.26771
229,0.26539
230,0.26184
231,0.25435
232,0.24556
233,0.23951
234,0.23378
235,0.22865
236,0.22425
237,0.22069
238,0.21804
239,0.21625
240,0.21532
241,0.21520
242,0.21582
243,0.21708
244,0.21882
245,0.22091
246,0.22318
247,0.22551
248,0.22778
249,0.22988
250,0.23169
251,0.23306
252,0.23385
253,0.23387
254,0.23303
255,0.23131
256,0.22875
257,0.22542
258,0.22142
259,0.21683
260,0.21174
261,0.20624
262,0.20044
263,0.19450
264,0.18858
265,0.18289
266,0.17529
267,0.16892
268,0.16556
269,0.16276
270,0.16038
271,0.15828
272,0.15630
273,0.15427
274,0.15201
275,0.14939
276,0.14629
277,0.14270
278,0.13871
279,0.13451
280,0.13038
281,0.12663
282,0.12354
283,0.12135
284,0.11998
285,0.11924
286,0.11882
287,0.11835
288,0.11747
289,0.11590
290,0.11349
291,0.11026
292,0.10634
293,0.10198
294,0.09748
295,0.09311
296,0.08910
297,0.08556
298,0.08251
299,0.07983
300,0.07733
301,0.07486
302,0.07093
303,0.06671
304,0.06381
305,0.06097
306,0.05831
307,0.05589
308,0.05371
309,0.05172
310,0.04978
311,0.04777
312,0.04557
313,0.04308
314,0.04030
315,0.03731
316,0.03418
317,0.03104
318,0.02799
319,0.02513
320,0.02250
321,0.02014
322,0.01805
323,0.01622
324,0.01460
325,0.01316
326,0.01189
327,0.01075
328,0.00977
329,0.00893
330,0.00825
331,0.00771
332,0.00729
333,0.00696
334,0.00666
335,0.00637
336,0.00604
337,0.00541
338,0.00467
339,0.00413
340,0.00359
341,0.00309
342,0.00266
343,0.00230
344,0.00202
345,0.00181
346,0.00166
347,0.00154
348,0.00143
349,0.00132
350,0.00120
351,0.00106
352,0.00090
353,0.00074
354,0.00058
355,0.00044
356,0.00031
357,0.00021
358,0.00014
359,0.00000
360,0.00000
