day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.09313
5,0.09524
6,0.09583
7,0.09454
8,0.09123
9,0.08600
10,0.07932
11,0.07186
12,0.06427
13,0.05713
14,0.05086
15,0.04565
16,0.04149
17,0.03821
18,0.03443
19,0.03126
20,0.02932
21,0.02749
22,0.02580
23,0.02430
24,0.02300
25,0.02193
26,0.02106
27,0.02034
28,0.01972
29,0.01916
30,0.01860
31,0.01798
32,0.01725
33,0.01638
34,0.01536
35,0.01420
36,0.01293
37,0.01155
38,0.01012
39,0.00867
40,0.00725
41,0.00594
42,0.00483
43,0.00398
44,0.00345
45,0.00322
46,0.00326
47,0.00351
48,0.00389
49,0.00430
50,0.00468
51,0.00497
52,0.00514
53,0.00510
54,0.00478
55,0.00441
56,0.00395
57,0.00343
58,0.00289
59,0.00236
60,0.00185
61,0.00140
62,0.00101
63,0.00070
64,0.00046
65,0.00029
66,0.00017
67,0.00009
68,0.00005
69,0.00003
70,0.00002
71,0.00002
72,0.00003
73,0.00006
74,0.00011
75,0.00019
76,0.00033
77,0.00054
78,0.00082
79,0.00117
80,0.00158
81,0.00201
82,0.00241
83,0.00274
84,0.00299
85,0.00315
86,0.00326
87,0.00339
88,0.00362
89,0.00438
90,0.00566
91,0.00684
92,0.00817
93,0.00953
94,0.01079
95,0.01181
96,0.01252
97,0.01289
98,0.01296
99,0.01279
100,0.01247
101,0.01207
102,0.01166
103,0.01126
104,0.01088
105,0.01052
106,0.01019
107,0.00991
108,0.00970
109,0.00957
110,0.00949
111,0.00943
112,0.00932
113,0.00909
114,0.00874
115,0.00828
116,0.00777
117,0.00728
118,0.00688
119,0.00666
120,0.00667
121,0.00694
122,0.00745
123,0.00818
124,0.00956
125,0.01107
126,0.01211
127,0.01317
128,0.01427
129,0.01542
130,0.01659
131,0.01773
132,0.01877
133,0.01967
134,0.02039
135,0.02094
136,0.02133
137,0.02161
138,0.02177
139,0.02183
140,0.02179
141,0.02165
142,0.02146
143,0.02126
144,0.02111
145,0.02106
146,0.02109
147,0.02119
148,0.02132
149,0.02152
150,0.02187
151,0.02258
152,0.02387
153,0.02601
154,0.02919
155,0.03353
156,0.03901
157,0.04551
158,0.05283
159,0.06072
160,0.07312
161,0.08565
162,0.09394
163,0.10223
164,0.11061
165,0.11920
166,0.12805
167,0.13716
168,0.14643
169,0.15571
170,0.16490
171,0.17398
172,0.18307
173,0.19239
174,0.20224
175,0.21284
176,0.22433
177,0.23677
178,0.25018
179,0.26463
180,0.28029
181,0.29751
182,0.31674
183,0.33836
184,0.36260
185,0.38939
186,0.41834
187,0.44880
188,0.48391
189,0.51826
190,0.55074
191,0.58048
192,0.60825
193,0.63175
194,0.64952
195,0.66701
196,0.67800
197,0.68256
198,0.68597
199,0.68984
200,0.69611
201,0.70681
202,0.72396
203,0.74922
204,0.78336
205,0.82570
206,0.87356
207,0.92208
208,0.96469
209,0.99358
210,0.99932
211,0.98854
212,0.96288
213,0.92565
214,0.88096
215,0.83285
216,0.78472
217,0.73915
218,0.69794
219,0.66235
220,0.63334
221,0.61164
222,0.59762
223,0.59109
224,0.59111
225,0.59590
226,0.60293
227,0.60908
228,0.60971
229,0.59947
230,0.58653
231,0.56933
232,0.54827
233,0.52757
234,0.50847
235,0.49237
236,0.48008
237,0.47174
238,0.46685
239,0.46446
240,0.46332
241,0.46211
242,0.45979
243,0.45565
244,0.44976
245,0.44257
246,0.43472
247,0.42705
248,0.42020
249,0.41453
250,0.41004
251,0.40644
252,0.40332
253,0.40025
254,0.39692
255,0.39320
256,0.38919
257,0.38504
258,0.38098
259,0.37713
260,0.37345
261,0.36973
262,0.36566
263,0.35894
264,0.35052
265,0.34289
266,0.33160
267,0.31838
268,0.30738
269,0.29667
270,0.28689
271,0.27863
272,0.27228
273,0.26802
274,0.26574
275,0.26507
276,0.26545
277,0.26620
278,0.26675
279,0.26667
280,0.26565
281,0.26369
282,0.26087
283,0.25729
284,0.25306
285,0.24821
286,0.24279
287,0.23682
288,0.23032
289,0.22340
290,0.21622
291,0.20899
292,0.20195
293,0.19532
294,0.18927
295,0.18385
296,0.17902
297,0.17472
298,0.17084
299,0.16732
300,0.16433
301,0.16195
302,0.15991
303,0.15954
304,0.16024
305,0.16131
306,0.16239
307,0.16308
308,0.16296
309,0.16170
310,0.15910
311,0.15508
312,0.14978
313,0.14355
314,0.13697
315,0.13065
316,0.12507
317,0.12047
318,0.11683
319,0.11395
320,0.11155
321,0.10938
322,0.10728
323,0.10523
324,0.10330
325,0.10158
326,0.10017
327,0.09909
328,0.09835
329,0.09792
330,0.09779
331,0.09792
332,0.09823
333,0.09861
334,0.09888
335,0.09885
336,0.09830
337,0.09615
338,0.09260
339,0.08943
340,0.08583
341,0.08197
342,0.07801
343,0.07413
344,0.07055
345,0.06748
346,0.06514
347,0.06375
348,0.06338
349,0.06395
350,0.06530
351,0.06725
352,0.06965
353,0.07239
354,0.07545
355,0.07882
356,0.08248
357,0.08629
358,0.08997
359,0.00000
360,0.00000
